acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.058,0.75,0.568,-6.159,18.902,-1.463
-0.009,0.762,0.578,-12.561,9.085,-3.659
-0.017,0.745,0.614,-17.134,1.098,-5.671
0.008,0.736,0.641,-18.11,-0.366,-6.768
0.013,0.725,0.646,-16.098,2.561,-7.317
0.014,0.727,0.641,-13.598,6.646,-7.927
0.012,0.722,0.619,-10.549,11.098,-8.354
0.036,0.702,0.602,-7.866,17.561,-7.744
0.064,0.688,0.59,-5.915,23.841,-7.378
0.042,0.682,0.572,-5.183,24.817,-8.537
0.003,0.672,0.551,-5.305,20.61,-10.366
-0.009,0.656,0.523,-4.634,17.134,-11.89
-0.021,0.659,0.505,-3.902,15.427,-13.354
-0.049,0.667,0.492,-3.963,14.878,-15.183
-0.053,0.666,0.497,-4.756,15.671,-17.683
-0.066,0.643,0.512,-4.634,18.963,-21.037
-0.064,0.602,0.518,-3.72,22.683,-25.366
-0.057,0.566,0.505,-2.5,26.341,-29.878
-0.027,0.529,0.513,-1.341,33.293,-32.683
-0.007,0.483,0.526,0.793,40.854,-35.976
-0.025,0.452,0.518,2.256,46.707,-40.427
-0.049,0.438,0.485,2.195,51.646,-44.207
-0.076,0.432,0.434,2.988,55.366,-48.171
-0.085,0.44,0.385,4.573,60.061,-52.195
-0.11,0.449,0.319,5.793,66.585,-56.524
-0.157,0.446,0.27,5.671,73.72,-60.122
-0.194,0.474,0.238,5.427,81.159,-62.866
-0.206,0.538,0.236,4.39,87.744,-66.463
-0.224,0.591,0.282,3.232,93.537,-71.098
-0.253,0.613,0.362,3.171,98.537,-75.305
-0.257,0.597,0.452,4.207,102.378,-77.317
-0.231,0.583,0.55,4.451,102.866,-77.805
-0.26,0.618,0.631,3.171,96.89,-78.537
-0.307,0.679,0.698,0.976,90.122,-78.232
-0.314,0.75,0.766,-1.098,87.622,-76.646
-0.328,0.831,0.825,-2.5,86.585,-74.329
-0.373,0.898,0.865,-1.89,85.427,-71.159
-0.425,0.953,0.89,-0.549,82.622,-66.402
-0.452,1.007,0.907,0.244,76.768,-60.305
-0.449,1.05,0.939,1.402,68.78,-54.024
-0.46,1.069,0.974,2.866,58.963,-47.744
-0.459,1.085,0.994,3.72,49.329,-41.402
-0.439,1.082,0.995,3.963,40.854,-35.671
-0.431,1.057,0.967,4.085,33.11,-29.756
-0.435,1.044,0.916,3.963,26.28,-23.902
-0.44,1.023,0.86,3.841,19.756,-17.866
-0.443,0.993,0.832,4.512,13.415,-11.768
-0.421,0.944,0.813,6.463,7.744,-6.829
-0.408,0.905,0.786,7.622,3.659,-2.988
-0.413,0.865,0.74,7.744,0.854,0.671
-0.411,0.813,0.691,7.744,-2.195,3.049
-0.412,0.777,0.64,7.256,-5.61,4.329
-0.426,0.749,0.604,6.341,-8.963,4.939
-0.434,0.727,0.591,4.451,-10.976,6.22
-0.444,0.722,0.583,1.951,-11.585,7.439
-0.47,0.73,0.58,0.061,-12.561,8.049
-0.476,0.723,0.582,-1.829,-13.963,8.171
-0.469,0.704,0.574,-2.622,-13.72,8.354
-0.46,0.688,0.564,-2.866,-12.195,8.659
-0.453,0.68,0.556,-2.195,-9.939,9.146
-0.429,0.674,0.562,-1.22,-7.744,9.39
-0.421,0.696,0.557,-0.366,-5.976,9.085
-0.43,0.72,0.552,0.793,-3.963,8.78
-0.407,0.738,0.563,1.89,-1.585,8.354
-0.385,0.741,0.581,2.988,0.549,8.171
-0.388,0.729,0.595,3.598,0.732,7.988
-0.394,0.72,0.598,3.476,0.122,8.11
-0.403,0.706,0.599,3.78,-0.976,8.415
-0.403,0.69,0.611,4.085,-2.256,8.659
-0.387,0.689,0.62,4.024,-3.598,8.902
-0.38,0.692,0.623,4.329,-4.939,9.024
-0.364,0.683,0.619,4.939,-6.037,8.72
-0.342,0.679,0.604,4.878,-7.378,8.11
-0.335,0.671,0.591,4.878,-9.146,7.195
-0.334,0.664,0.59,4.512,-11.341,5.854
-0.342,0.653,0.592,5.122,-12.561,4.756
-0.326,0.642,0.584,6.524,-11.524,4.451
-0.306,0.644,0.578,6.341,-10.488,4.146
-0.333,0.646,0.565,6.341,-10.793,3.659
-0.361,0.655,0.543,6.402,-10.366,3.537
-0.354,0.677,0.539,4.878,-9.024,3.415
-0.348,0.687,0.562,3.232,-8.293,3.415
-0.352,0.679,0.593,3.72,-7.927,3.293
-0.341,0.652,0.617,5.671,-7.927,2.439
-0.355,0.649,0.604,8.354,-8.476,1.707
