acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.121,0.098,0.639,22.561,158.781,-58.537
-0.398,0.334,0.766,13.354,117.378,-65.976
-0.564,0.5,0.827,0.0,67.866,-70.61
-0.646,0.567,0.918,-8.78,24.207,-75.244
-0.746,0.605,1.099,-8.72,-4.634,-75.488
-0.76,0.665,1.254,-2.378,-12.683,-74.573
-0.59,0.816,1.27,8.232,5.854,-71.524
-0.473,0.919,1.184,12.561,26.89,-74.634
-0.501,0.925,1.043,11.402,38.232,-73.841
-0.474,0.926,0.878,7.134,49.024,-68.171
-0.434,0.94,0.816,0.732,59.634,-61.768
-0.527,0.948,0.846,-5.183,60.854,-54.024
-0.618,0.987,0.914,-8.598,54.451,-45.976
-0.684,1.015,0.957,-9.573,43.72,-37.805
-0.736,1.042,0.949,-10.244,29.512,-29.329
-0.704,1.065,0.936,-8.171,18.537,-21.707
-0.617,1.065,0.906,-4.146,13.171,-15.732
-0.56,1.033,0.834,-0.183,9.268,-10.854
-0.53,0.994,0.746,2.927,5.061,-6.524
-0.502,0.932,0.672,5.305,0.915,-2.622
-0.441,0.859,0.624,5.976,-1.585,0.732
-0.398,0.805,0.631,3.902,-4.329,3.232
-0.403,0.761,0.653,1.037,-8.78,4.451
-0.422,0.736,0.657,-2.073,-13.476,5.305
-0.463,0.724,0.636,-4.939,-16.098,6.707
-0.503,0.701,0.599,-3.841,-15.732,8.049
-0.522,0.699,0.555,-2.927,-13.049,9.878
-0.513,0.702,0.525,-2.744,-8.902,10.793
-0.504,0.687,0.505,-2.378,-4.756,10.61
-0.486,0.665,0.499,-0.671,-0.854,9.39
-0.47,0.647,0.506,1.159,0.366,7.866
-0.473,0.639,0.504,1.829,-0.976,6.524
-0.469,0.653,0.499,-0.61,-3.598,5.61
-0.468,0.653,0.512,-3.537,-7.256,4.573
-0.469,0.65,0.517,-5.488,-10.244,3.72
-0.463,0.655,0.525,-6.28,-11.22,2.622
-0.447,0.658,0.557,-5.0,-11.28,0.854
-0.444,0.646,0.601,-3.11,-10.671,-0.305
-0.432,0.649,0.637,-2.683,-9.573,-0.793
-0.426,0.667,0.65,-2.317,-7.256,-0.915
-0.424,0.68,0.651,-1.463,-4.451,-0.976
-0.416,0.69,0.629,-1.341,-2.439,-0.793
-0.412,0.687,0.608,-1.098,-1.463,-0.915
-0.428,0.677,0.589,-1.28,-2.195,-0.854
-0.443,0.677,0.561,-2.561,-3.841,-0.122
-0.438,0.674,0.543,-4.085,-4.39,0.122
-0.427,0.672,0.545,-5.122,-4.878,-0.488
-0.427,0.658,0.553,-5.183,-5.488,-1.585
-0.425,0.645,0.544,-5.671,-4.878,-2.317
-0.426,0.635,0.53,-4.756,-3.293,-2.866
-0.417,0.622,0.519,-2.073,-1.768,-3.415
-0.416,0.625,0.516,-0.732,-0.915,-3.659
-0.433,0.63,0.522,0.244,-1.159,-3.963
-0.439,0.624,0.527,1.28,-0.549,-3.902
-0.446,0.637,0.534,1.707,1.28,-3.476
-0.461,0.651,0.535,0.793,2.012,-3.293
-0.473,0.653,0.529,0.244,1.22,-3.232
-0.456,0.646,0.514,-0.366,0.488,-3.293
-0.448,0.643,0.505,-0.732,-0.122,-3.598
-0.458,0.636,0.516,0.122,-0.61,-3.78
-0.464,0.641,0.53,1.037,-0.671,-3.415
-0.451,0.659,0.544,1.037,-1.22,-3.232
-0.44,0.657,0.578,2.195,-1.28,-3.354
-0.421,0.639,0.597,4.146,-0.061,-3.11
-0.41,0.645,0.589,6.28,1.341,-3.293
