acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.605,0.621,0.335,0.427,21.768,19.268
-0.58,0.665,0.367,0.366,21.402,15.976
-0.547,0.685,0.369,-0.305,21.341,12.439
-0.505,0.655,0.378,-0.61,21.159,7.561
-0.476,0.648,0.39,-1.28,19.268,1.768
-0.441,0.67,0.407,-3.841,17.866,-5.366
-0.409,0.68,0.431,-7.195,20.915,-13.72
-0.396,0.674,0.445,-6.951,29.207,-20.793
-0.366,0.663,0.438,-1.829,38.11,-26.159
-0.339,0.672,0.434,7.195,42.988,-31.829
-0.335,0.69,0.43,20.061,43.537,-40.366
-0.318,0.699,0.422,31.098,41.646,-51.341
-0.294,0.71,0.422,41.524,41.28,-62.256
-0.261,0.708,0.419,51.585,36.037,-70.549
-0.218,0.685,0.421,53.171,28.963,-74.085
-0.181,0.649,0.431,48.72,22.195,-78.72
-0.161,0.631,0.423,43.537,17.317,-82.073
-0.138,0.642,0.41,36.402,20.793,-84.146
-0.113,0.674,0.406,26.402,26.89,-84.329
-0.108,0.709,0.431,17.073,25.366,-79.573
-0.123,0.705,0.458,14.573,18.78,-72.378
-0.098,0.675,0.485,16.463,14.512,-65.244
-0.056,0.657,0.507,17.561,12.5,-58.598
-0.035,0.644,0.52,21.463,8.476,-52.561
-0.001,0.634,0.518,25.976,2.866,-43.415
0.026,0.658,0.504,25.732,-0.976,-35.488
0.012,0.685,0.49,22.073,-2.683,-31.22
0.007,0.689,0.465,20.244,-2.378,-27.5
0.011,0.688,0.456,19.329,-1.22,-22.073
0.016,0.682,0.464,16.89,-0.061,-16.098
0.05,0.676,0.481,12.866,1.524,-10.976
0.084,0.668,0.492,8.78,4.695,-6.829
0.104,0.659,0.494,6.524,9.939,-3.354
0.114,0.655,0.512,6.829,16.768,-0.061
0.11,0.652,0.522,8.72,25.793,3.963
0.102,0.655,0.519,10.305,35.366,7.378
0.098,0.661,0.512,11.768,42.012,7.561
0.091,0.649,0.502,12.439,42.012,6.829
0.098,0.628,0.496,12.439,36.768,7.195
0.086,0.612,0.487,12.561,30.061,8.232
0.067,0.61,0.462,14.268,25.366,8.293
0.042,0.607,0.437,16.402,22.622,8.415
0.022,0.6,0.421,16.951,22.744,9.756
0.022,0.598,0.402,16.098,25.122,11.037
0.013,0.585,0.382,14.39,27.439,11.341
0.008,0.528,0.351,11.098,25.854,10.61
0.037,0.439,0.292,8.354,19.268,9.024
0.074,0.382,0.251,6.951,7.561,6.89
0.102,0.379,0.243,5.122,-5.61,4.024
0.165,0.447,0.249,2.622,-19.756,1.28
0.238,0.584,0.386,0.854,-32.073,-2.378
0.265,0.68,0.598,0.183,-40.61,-7.073
0.304,0.752,0.76,0.976,-44.024,-11.037
0.237,0.825,0.839,1.951,-41.829,-12.561
0.106,0.808,0.809,0.854,-37.439,-14.085
0.149,0.714,0.662,-1.585,-35.427,-18.72
0.269,0.672,0.511,-2.439,-35.122,-25.305
0.283,0.707,0.41,-1.646,-31.524,-31.951
0.161,0.759,0.371,-2.073,-26.768,-37.622
-0.029,0.817,0.459,-3.72,-22.622,-42.622
-0.197,0.917,0.585,-6.951,-19.085,-46.951
-0.297,1.034,0.642,-9.939,-15.183,-50.0
-0.37,1.129,0.666,-10.183,-9.207,-51.159
-0.44,1.218,0.663,-7.866,0.854,-52.012
-0.483,1.291,0.623,-5.244,12.012,-54.878
-0.465,1.297,0.572,-3.354,17.439,-58.963
-0.394,1.224,0.535,-2.073,22.195,-60.183
-0.31,1.133,0.501,-2.5,28.598,-58.963
-0.231,1.066,0.486,-5.061,34.451,-61.159
-0.163,1.014,0.492,-7.622,37.622,-66.159
-0.107,0.956,0.492,-9.756,35.366,-68.171
-0.083,0.907,0.499,-9.512,30.854,-67.561
-0.099,0.888,0.526,-4.268,26.402,-65.183
-0.14,0.899,0.546,1.524,24.817,-62.012
-0.186,0.936,0.553,4.268,28.963,-59.817
