acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.36,0.709,0.398,-8.78,142.317,-21.585
-0.359,0.756,0.394,12.256,132.134,-21.22
-0.361,0.813,0.404,44.268,115.305,-26.89
-0.453,0.702,0.978,56.22,86.585,-28.598
-0.725,0.554,1.341,58.841,67.378,-20.0
-0.892,0.49,0.927,55.732,70.488,-20.427
-0.74,0.564,0.558,56.341,83.049,-31.951
-0.625,0.667,0.417,55.183,84.39,-42.134
-0.568,0.777,0.411,50.305,75.671,-42.622
-0.524,0.868,0.361,44.878,60.305,-41.159
-0.583,0.906,0.264,42.012,39.268,-37.561
-0.77,0.885,0.166,36.89,12.378,-35.244
-0.918,0.884,0.139,30.793,-5.854,-39.451
-0.896,0.883,0.156,27.927,-0.183,-43.293
-0.788,0.848,0.215,28.232,22.561,-42.012
-0.682,0.802,0.244,29.329,41.341,-40.549
-0.638,0.771,0.205,30.549,42.683,-43.11
-0.682,0.773,0.169,29.39,27.988,-46.098
-0.766,0.81,0.146,26.159,10.244,-44.329
-0.85,0.845,0.131,22.866,-0.061,-39.695
-0.887,0.854,0.141,19.573,-1.707,-35.732
-0.897,0.841,0.146,16.524,1.159,-33.354
-0.897,0.855,0.142,14.878,5.549,-30.793
-0.893,0.903,0.128,12.683,8.476,-26.585
-0.873,0.927,0.132,10.427,8.598,-22.073
-0.825,0.902,0.117,8.902,8.049,-19.573
-0.783,0.862,0.101,7.866,8.11,-17.317
-0.79,0.843,0.088,6.402,5.488,-14.634
-0.813,0.851,0.091,4.024,1.037,-12.988
-0.827,0.864,0.109,2.012,-2.256,-10.793
-0.836,0.858,0.11,-0.549,-3.415,-7.805
-0.854,0.838,0.11,-3.293,-4.024,-4.39
-0.871,0.821,0.108,-5.976,-4.512,-1.037
-0.881,0.814,0.116,-8.415,-4.329,1.646
-0.863,0.817,0.124,-10.671,-3.902,3.841
-0.845,0.815,0.118,-12.988,-6.28,6.037
-0.84,0.804,0.105,-15.244,-12.683,7.439
-0.831,0.792,0.089,-17.5,-19.329,7.622
-0.814,0.795,0.087,-19.39,-24.085,8.049
-0.797,0.8,0.104,-20.122,-25.915,8.841
-0.787,0.797,0.118,-20.732,-24.939,8.963
-0.787,0.799,0.135,-21.037,-22.5,8.841
-0.791,0.8,0.154,-21.829,-21.037,9.329
-0.798,0.791,0.185,-22.683,-22.378,10.549
-0.815,0.777,0.209,-23.72,-26.098,11.646
-0.829,0.754,0.233,-24.573,-31.037,11.585
