acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.487,0.609,0.505,20.0,16.951,-33.293
-0.632,0.621,0.562,27.439,25.549,-28.11
-0.598,0.638,0.578,34.207,59.756,-25.366
-0.389,0.605,0.685,38.841,99.756,-25.61
-0.289,0.563,0.583,40.244,118.598,-31.768
-0.348,0.593,0.26,37.195,109.451,-43.232
-0.424,0.678,0.096,34.512,86.646,-57.683
-0.415,0.75,0.101,34.878,69.085,-72.683
-0.422,0.744,0.217,38.293,63.232,-81.159
-0.517,0.679,0.379,42.317,63.354,-77.927
-0.654,0.623,0.485,44.451,59.817,-69.634
-0.734,0.642,0.495,46.159,49.39,-66.402
-0.715,0.74,0.428,45.061,37.256,-66.951
-0.656,0.837,0.366,42.5,26.585,-64.512
-0.613,0.89,0.287,41.463,15.0,-61.646
-0.624,0.931,0.195,38.841,3.659,-61.22
-0.685,0.975,0.15,33.659,0.305,-59.878
-0.792,0.981,0.141,29.024,4.268,-57.195
-0.868,0.947,0.149,25.183,14.939,-52.073
-0.886,0.929,0.178,22.317,30.122,-43.293
-0.889,0.922,0.195,21.098,40.122,-35.244
-0.861,0.924,0.185,19.817,39.817,-30.244
-0.832,0.928,0.158,18.049,31.524,-26.707
-0.799,0.906,0.162,15.61,18.598,-26.159
-0.786,0.865,0.164,13.293,6.159,-27.195
-0.778,0.83,0.13,11.585,-1.646,-29.024
-0.765,0.797,0.117,10.427,-4.146,-30.427
-0.783,0.769,0.108,10.61,-1.585,-28.354
-0.844,0.766,0.105,10.671,3.659,-24.939
-0.892,0.792,0.098,10.61,9.878,-20.122
-0.93,0.815,0.081,10.061,14.146,-14.451
-0.958,0.829,0.069,8.293,13.72,-9.634
-0.976,0.834,0.071,6.28,8.78,-5.732
-0.969,0.817,0.07,4.268,0.793,-3.476
-0.914,0.795,0.067,2.622,-5.671,-3.232
-0.847,0.787,0.077,1.402,-8.537,-3.049
-0.807,0.782,0.097,-0.122,-8.232,-2.256
-0.782,0.781,0.11,-1.89,-4.817,-0.488
-0.776,0.778,0.129,-4.024,0.305,1.707
-0.794,0.774,0.142,-6.28,3.415,3.841
-0.821,0.772,0.143,-8.902,1.585,6.341
-0.85,0.785,0.139,-12.195,-3.902,10.0
-0.872,0.787,0.128,-14.878,-10.549,13.354
-0.863,0.77,0.102,-16.341,-17.439,14.512
-0.823,0.75,0.089,-17.195,-22.073,14.085
-0.79,0.743,0.092,-17.866,-23.476,13.72
-0.775,0.738,0.097,-17.744,-23.354,13.72
-0.768,0.73,0.101,-17.683,-22.866,13.72
-0.768,0.719,0.114,-18.659,-23.78,13.598
