acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.17,0.792,0.445,-3.476,39.146,13.963
0.187,0.783,0.433,-0.976,47.378,8.537
0.136,0.784,0.392,0.244,49.939,5.061
0.081,0.791,0.353,1.098,48.476,3.902
0.018,0.803,0.365,0.793,44.512,3.78
-0.039,0.812,0.389,-0.61,39.451,4.268
-0.064,0.808,0.379,-1.159,37.195,4.939
-0.046,0.806,0.351,-0.488,38.354,5.549
-0.031,0.802,0.332,0.854,41.463,5.0
-0.032,0.806,0.308,3.598,45.244,2.256
-0.009,0.83,0.311,8.11,46.646,-0.549
-0.003,0.821,0.356,11.159,44.939,-3.537
-0.018,0.8,0.396,13.659,43.11,-7.378
0.003,0.787,0.406,16.159,43.049,-11.646
0.012,0.78,0.403,18.171,42.5,-15.732
0.003,0.772,0.386,19.146,41.524,-18.963
-0.021,0.77,0.351,20.061,41.037,-23.598
-0.038,0.762,0.312,22.256,41.463,-29.329
-0.036,0.741,0.286,24.939,42.134,-33.963
-0.052,0.725,0.269,27.378,41.28,-38.598
-0.077,0.708,0.258,30.732,39.451,-42.805
-0.082,0.69,0.248,35.061,38.659,-45.061
-0.085,0.68,0.267,38.78,36.768,-46.159
-0.095,0.677,0.27,42.988,32.744,-47.073
-0.095,0.684,0.243,47.378,28.72,-47.927
-0.114,0.702,0.248,48.841,24.878,-49.451
-0.106,0.755,0.239,48.415,24.573,-52.561
-0.075,0.83,0.226,48.963,27.988,-55.671
-0.023,0.871,0.246,49.207,31.341,-57.012
-0.026,0.873,0.291,47.988,32.256,-56.768
-0.055,0.869,0.348,47.012,32.5,-55.061
-0.062,0.884,0.396,45.915,32.073,-52.988
-0.053,0.922,0.424,42.561,30.427,-51.098
-0.059,0.961,0.429,38.598,29.146,-47.317
-0.073,1.005,0.413,35.427,27.927,-42.256
-0.079,1.063,0.382,32.195,26.768,-36.037
-0.1,1.148,0.36,28.171,26.098,-30.183
-0.119,1.241,0.342,24.756,25.549,-25.366
-0.131,1.297,0.321,22.256,24.573,-21.524
