acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.157,0.94,0.721,1.098,-47.134,7.378
-0.066,0.893,0.656,4.329,-34.817,7.378
-0.025,0.885,0.596,4.268,-21.098,3.78
-0.008,0.913,0.535,4.329,-6.768,-0.122
0.031,0.918,0.491,5.671,6.037,-2.988
0.033,0.884,0.472,5.122,10.427,-2.134
-0.031,0.856,0.463,1.037,4.634,-0.122
-0.134,0.861,0.44,-4.207,-5.122,-1.402
-0.19,0.886,0.408,-7.134,-12.378,-4.573
-0.165,0.895,0.397,-7.378,-12.439,-4.634
-0.137,0.867,0.409,-6.22,-7.012,-2.744
-0.149,0.837,0.42,-4.939,-1.89,-1.89
-0.163,0.84,0.427,-4.085,1.646,-1.707
-0.167,0.863,0.443,-3.659,4.939,-0.61
-0.172,0.882,0.45,-2.927,7.012,-0.244
-0.168,0.895,0.434,-2.439,6.951,-0.671
-0.174,0.902,0.426,-2.561,4.817,0.244
-0.178,0.909,0.417,-2.622,1.707,0.854
-0.169,0.909,0.405,-2.561,-0.183,1.037
-0.169,0.9,0.405,-1.951,-0.915,1.463
-0.166,0.89,0.406,-1.098,-0.976,0.976
-0.141,0.886,0.403,0.488,0.305,0.976
-0.136,0.881,0.414,1.28,1.585,0.915
-0.143,0.871,0.416,1.28,1.829,0.854
-0.148,0.874,0.417,1.646,1.098,0.305
-0.151,0.88,0.414,1.707,0.366,1.037
-0.182,0.875,0.417,0.305,-0.183,1.646
-0.198,0.871,0.413,-0.732,-0.549,0.976
-0.163,0.882,0.412,-0.549,0.549,0.427
-0.134,0.882,0.411,-0.427,1.89,0.0
-0.132,0.867,0.413,-0.793,2.256,0.976
-0.147,0.86,0.41,-1.402,1.037,1.707
-0.167,0.866,0.41,-2.683,-1.037,1.463
-0.182,0.874,0.419,-3.902,-2.073,0.488
-0.182,0.876,0.432,-3.841,-0.854,-0.122
-0.167,0.871,0.439,-2.195,1.524,0.122
-0.15,0.855,0.44,-1.585,2.988,0.366
-0.16,0.85,0.437,-2.195,2.988,0.793
-0.171,0.858,0.43,-2.622,2.744,0.732
-0.165,0.864,0.423,-2.988,2.744,0.61
-0.163,0.861,0.416,-3.232,2.073,0.244
-0.152,0.864,0.411,-3.232,2.134,-0.183
-0.144,0.867,0.413,-2.866,2.439,-0.122
-0.147,0.86,0.417,-2.805,2.195,0.732
-0.166,0.86,0.411,-3.232,2.012,1.22
-0.183,0.867,0.411,-3.049,2.439,1.098
-0.188,0.872,0.413,-2.5,2.866,1.341
-0.175,0.867,0.412,-2.378,3.354,1.22
-0.167,0.862,0.414,-2.195,3.841,0.366
-0.154,0.861,0.412,-1.463,3.659,-0.122
-0.135,0.856,0.411,-1.28,2.378,-0.122
-0.141,0.849,0.413,-2.134,0.366,-0.427
-0.164,0.849,0.412,-2.561,-0.549,-0.854
-0.175,0.853,0.417,-2.012,0.305,-0.305
-0.182,0.853,0.419,-1.341,1.037,0.305
-0.178,0.861,0.421,-1.22,1.463,0.0
-0.182,0.868,0.427,-0.732,2.256,-0.305
-0.18,0.868,0.434,-0.061,3.415,-0.122
-0.168,0.867,0.437,0.183,4.024,0.915
-0.171,0.863,0.432,-0.61,3.476,1.037
-0.179,0.866,0.427,-1.463,2.683,-0.122
-0.167,0.874,0.425,-1.341,2.134,-0.305
-0.154,0.867,0.429,-1.402,0.854,0.122
-0.142,0.86,0.429,-1.89,-0.549,0.183
-0.148,0.869,0.432,-2.378,-2.073,-0.183
-0.17,0.871,0.437,-2.866,-3.537,-0.122
-0.175,0.871,0.437,-2.5,-3.598,-0.488
-0.163,0.873,0.441,-1.89,-3.171,-0.915
-0.155,0.862,0.452,-2.012,-3.841,-0.244
-0.153,0.858,0.459,-2.378,-5.488,-0.488
-0.153,0.86,0.455,-2.439,-7.683,-2.073
-0.149,0.859,0.46,-2.134,-10.0,-2.439
-0.148,0.85,0.472,-1.829,-12.195,-1.768
-0.158,0.841,0.485,-1.341,-15.0,-1.28
