acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.433,0.994,0.304,-10.122,-12.439,7.073
-0.36,0.953,0.305,-11.098,-12.622,8.476
-0.339,0.936,0.31,-11.768,-10.549,8.72
-0.354,0.923,0.32,-12.073,-7.134,10.122
-0.358,0.926,0.336,-10.549,-2.195,11.707
-0.338,0.924,0.343,-8.72,1.524,12.5
-0.332,0.913,0.346,-8.171,2.5,14.512
-0.349,0.912,0.347,-8.354,0.915,15.854
-0.368,0.908,0.345,-8.598,-2.256,16.22
-0.377,0.899,0.347,-8.171,-5.122,17.622
-0.385,0.881,0.358,-7.073,-7.317,18.841
-0.378,0.866,0.381,-5.427,-8.659,20.0
-0.369,0.859,0.383,-4.207,-9.512,19.756
-0.361,0.853,0.365,-3.537,-8.963,18.598
-0.342,0.849,0.353,-2.317,-5.854,18.415
-0.328,0.837,0.347,-2.012,-3.049,17.805
-0.315,0.828,0.333,-2.683,-1.585,17.561
-0.316,0.832,0.322,-3.78,-0.366,17.073
-0.327,0.838,0.317,-4.207,0.366,16.463
-0.331,0.837,0.315,-5.0,0.366,16.768
-0.335,0.837,0.325,-6.159,-0.671,16.402
-0.337,0.841,0.33,-7.256,-1.707,14.268
-0.323,0.839,0.341,-7.073,-2.012,12.988
-0.308,0.822,0.348,-6.463,-2.5,12.378
-0.292,0.805,0.367,-6.402,-3.963,11.341
-0.287,0.803,0.383,-6.463,-5.366,9.329
-0.295,0.813,0.385,-5.488,-5.671,7.317
-0.301,0.813,0.376,-4.39,-4.817,7.439
-0.307,0.815,0.373,-3.171,-3.841,7.378
-0.317,0.82,0.351,-3.78,-3.171,6.159
-0.336,0.827,0.331,-4.451,-2.317,5.305
-0.323,0.843,0.318,-3.78,-0.854,4.268
-0.308,0.841,0.315,-3.293,0.183,3.476
-0.306,0.829,0.316,-3.659,-0.183,2.988
-0.309,0.827,0.323,-3.902,-0.976,2.134
-0.313,0.83,0.328,-3.963,-1.646,1.463
-0.318,0.832,0.334,-3.841,-1.707,1.037
-0.31,0.832,0.346,-3.415,-1.159,0.549
-0.302,0.837,0.354,-2.622,0.061,-0.061
-0.306,0.841,0.358,-2.256,1.585,-0.305
-0.314,0.845,0.362,-1.524,3.232,0.183
-0.317,0.846,0.369,-0.976,4.756,0.427
-0.328,0.843,0.372,-1.22,5.0,0.793
-0.327,0.856,0.37,-1.402,3.963,1.159
-0.316,0.873,0.365,-1.524,2.073,0.793
