acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.327,0.927,0.613,2.378,-15.183,-2.622
-0.33,0.91,0.577,5.0,-7.988,-2.744
-0.369,0.876,0.527,4.146,-1.524,-5.366
-0.368,0.905,0.479,2.805,2.744,-1.22
-0.348,0.941,0.457,1.829,3.171,4.146
-0.351,0.929,0.433,-1.22,-0.671,5.854
-0.373,0.918,0.403,-4.573,-6.098,6.463
-0.385,0.925,0.382,-6.22,-11.28,8.659
-0.373,0.921,0.372,-7.256,-14.451,11.707
-0.376,0.913,0.365,-7.744,-15.061,11.951
-0.373,0.902,0.352,-7.744,-12.317,12.317
-0.354,0.896,0.353,-7.195,-6.463,14.39
-0.341,0.887,0.359,-5.976,-0.732,15.061
-0.331,0.871,0.372,-4.939,4.024,15.854
-0.365,0.859,0.389,-5.366,5.061,16.28
-0.397,0.846,0.393,-5.488,2.012,15.793
-0.395,0.849,0.4,-5.0,-1.098,15.793
-0.399,0.841,0.412,-4.634,-3.72,15.671
-0.393,0.825,0.417,-3.354,-5.183,14.695
-0.361,0.812,0.415,-2.073,-4.939,13.171
-0.333,0.805,0.407,-1.402,-3.78,12.561
-0.341,0.796,0.392,-2.317,-2.561,10.976
-0.346,0.793,0.386,-2.866,-0.488,9.817
-0.331,0.804,0.378,-2.561,0.854,8.598
-0.325,0.806,0.38,-3.171,0.793,8.11
-0.35,0.806,0.386,-4.085,-1.402,8.11
-0.359,0.81,0.385,-4.939,-4.085,7.988
-0.348,0.816,0.384,-5.793,-5.732,7.561
-0.341,0.816,0.38,-6.28,-6.22,6.89
-0.339,0.811,0.372,-6.768,-5.305,6.22
-0.326,0.809,0.374,-6.22,-3.171,5.61
-0.302,0.81,0.378,-5.061,-0.305,4.939
-0.31,0.806,0.386,-4.573,0.305,4.573
-0.323,0.803,0.379,-4.939,-1.098,3.902
-0.324,0.812,0.367,-4.634,-2.073,2.988
-0.328,0.813,0.366,-3.841,-2.317,2.134
-0.333,0.805,0.366,-2.988,-2.317,2.012
-0.32,0.803,0.383,-2.012,-1.89,1.707
-0.321,0.812,0.396,-0.61,-1.951,0.61
-0.331,0.814,0.402,0.122,-2.317,0.366
-0.341,0.809,0.414,0.427,-1.524,0.854
-0.346,0.809,0.415,1.341,0.122,0.549
-0.342,0.81,0.413,1.89,0.793,-0.244
-0.333,0.816,0.41,2.378,0.244,-1.28
