acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.305,0.846,0.464,-6.22,-6.463,-18.232
-0.173,0.851,0.488,-0.549,20.976,-18.049
-0.078,0.829,0.521,6.768,45.732,-15.915
-0.057,0.834,0.499,9.695,59.756,-15.183
-0.194,0.861,0.457,6.768,61.037,-14.024
-0.352,0.901,0.448,2.622,53.659,-13.049
-0.385,0.938,0.463,0.854,43.293,-12.866
-0.34,0.953,0.496,-0.854,31.707,-11.402
-0.309,0.941,0.535,-3.171,20.183,-10.366
-0.251,0.937,0.566,-3.659,13.902,-9.939
-0.191,0.937,0.58,-2.073,12.195,-9.756
-0.141,0.924,0.585,-0.732,11.768,-8.232
-0.126,0.922,0.581,0.305,10.61,-5.732
-0.184,0.916,0.546,-0.244,6.341,-4.695
-0.237,0.936,0.5,-2.195,1.28,-3.537
-0.277,0.967,0.475,-3.78,-1.22,-1.402
-0.302,0.968,0.459,-3.902,-0.671,1.037
-0.292,0.952,0.452,-3.659,1.768,3.902
-0.294,0.94,0.449,-3.049,3.659,5.976
-0.307,0.93,0.442,-3.537,3.415,7.195
-0.318,0.915,0.432,-4.573,2.134,7.805
-0.308,0.906,0.423,-4.878,1.585,7.622
-0.296,0.891,0.417,-5.183,1.159,7.439
-0.3,0.864,0.418,-6.524,0.854,7.805
-0.309,0.848,0.432,-6.707,1.768,7.988
-0.314,0.839,0.44,-6.341,1.524,6.524
-0.302,0.835,0.444,-5.366,0.549,6.22
-0.317,0.839,0.442,-6.159,-1.463,5.427
-0.353,0.817,0.445,-7.439,-3.293,3.841
-0.328,0.816,0.441,-6.28,-1.829,2.866
-0.287,0.819,0.455,-5.061,1.341,2.988
-0.302,0.791,0.46,-5.122,2.378,2.988
-0.298,0.793,0.444,-5.305,2.439,2.683
-0.305,0.812,0.436,-5.549,0.061,2.256
-0.307,0.813,0.423,-6.585,-2.744,1.341
-0.304,0.825,0.412,-6.89,-3.537,0.915
-0.291,0.819,0.411,-6.463,-3.415,1.22
-0.271,0.808,0.415,-6.098,-2.988,1.463
-0.267,0.811,0.415,-5.976,-3.11,0.854
-0.272,0.812,0.423,-5.61,-4.268,0.488
-0.272,0.811,0.434,-5.244,-4.512,-0.366
-0.258,0.812,0.451,-3.354,-5.732,-1.098
-0.245,0.796,0.459,-2.744,-8.72,0.366
