acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.558,0.429,0.521,-43.72,28.11,17.988
-0.55,0.433,0.511,-40.671,27.927,15.488
-0.561,0.447,0.479,-38.171,31.951,14.451
-0.562,0.454,0.459,-36.463,37.317,12.683
-0.566,0.464,0.446,-34.756,40.0,9.756
-0.596,0.47,0.421,-33.354,37.805,8.171
-0.602,0.47,0.404,-32.439,34.39,6.829
-0.589,0.479,0.41,-32.317,35.61,6.341
-0.561,0.474,0.447,-32.378,40.244,5.244
-0.557,0.453,0.458,-31.524,42.378,4.207
-0.609,0.441,0.459,-29.207,41.646,3.841
-0.642,0.449,0.463,-27.195,38.476,2.866
-0.641,0.454,0.487,-25.122,34.39,0.61
-0.641,0.456,0.51,-23.049,30.488,-1.098
-0.647,0.454,0.509,-20.732,27.744,-2.012
-0.652,0.454,0.495,-17.622,24.939,-3.171
-0.665,0.47,0.468,-15.061,22.256,-3.598
-0.668,0.486,0.466,-12.988,20.61,-4.329
-0.651,0.495,0.456,-11.402,20.061,-3.963
-0.646,0.507,0.436,-10.305,21.951,-2.988
-0.66,0.517,0.451,-9.939,24.634,-3.11
-0.681,0.511,0.458,-9.512,26.037,-2.378
-0.707,0.506,0.448,-8.72,24.634,-1.524
-0.723,0.512,0.43,-7.927,21.768,-0.915
-0.719,0.521,0.407,-7.134,18.171,-0.549
-0.721,0.524,0.371,-5.854,12.988,-0.854
-0.725,0.529,0.361,-5.305,7.439,-1.585
-0.717,0.533,0.38,-5.305,6.22,-1.402
-0.673,0.521,0.416,-5.366,9.085,-1.524
-0.642,0.5,0.441,-4.878,12.561,-2.012
-0.656,0.498,0.448,-4.146,14.085,-2.073
-0.67,0.503,0.438,-3.354,12.317,-2.561
-0.676,0.508,0.433,-2.317,8.537,-3.415
-0.692,0.521,0.415,-1.829,4.695,-3.171
-0.697,0.525,0.417,-2.073,1.098,-4.451
-0.701,0.519,0.431,-1.768,-1.707,-5.427
-0.706,0.519,0.433,-1.159,-1.341,-5.427
-0.689,0.522,0.438,-0.915,3.293,-5.244
-0.666,0.525,0.453,-0.488,10.488,-5.0
-0.669,0.521,0.451,-0.061,16.22,-4.756
-0.703,0.525,0.428,0.488,17.195,-4.695
-0.738,0.542,0.401,0.305,15.122,-4.329
-0.748,0.55,0.384,-0.61,12.378,-4.268
-0.756,0.556,0.382,-1.646,10.061,-4.451
-0.756,0.55,0.402,-2.378,8.476,-4.878
-0.745,0.548,0.427,-3.049,10.122,-4.817
-0.719,0.531,0.441,-3.049,14.268,-4.451
-0.702,0.509,0.443,-2.012,18.659,-4.451
-0.731,0.5,0.437,-0.915,20.305,-3.841
-0.746,0.508,0.423,0.0,18.963,-3.598
-0.74,0.515,0.41,0.427,16.829,-2.988
-0.742,0.513,0.397,0.976,13.354,-2.805
-0.761,0.518,0.396,1.707,8.11,-3.11
-0.768,0.527,0.411,1.951,3.171,-3.78
-0.754,0.526,0.428,2.378,0.732,-4.512
-0.737,0.511,0.439,3.11,2.012,-4.817
-0.718,0.496,0.435,3.902,4.878,-5.122
-0.708,0.495,0.417,4.268,7.805,-5.244
-0.705,0.506,0.38,4.085,10.305,-5.122
-0.702,0.508,0.346,3.902,12.195,-5.366
-0.707,0.501,0.31,3.841,12.744,-4.878
-0.71,0.492,0.303,4.146,12.378,-5.244
-0.708,0.476,0.333,5.244,11.159,-5.976
-0.701,0.46,0.361,7.073,10.0,-6.402
-0.679,0.45,0.391,8.963,11.829,-7.5
-0.633,0.435,0.406,11.585,17.561,-8.659
-0.585,0.412,0.413,15.366,24.512,-10.854
-0.545,0.389,0.407,19.939,30.366,-13.78
-0.508,0.365,0.386,25.0,35.61,-16.951
-0.461,0.333,0.363,30.61,41.159,-20.854
-0.415,0.28,0.346,37.683,47.012,-24.573
-0.365,0.233,0.321,45.183,54.024,-27.988
-0.303,0.188,0.28,52.378,63.537,-31.098
-0.269,0.142,0.223,60.61,74.268,-33.415
-0.286,0.117,0.106,69.268,84.512,-34.695
-0.349,0.142,-0.025,76.951,93.049,-35.488
-0.42,0.21,-0.154,81.463,100.671,-35.427
-0.487,0.273,-0.286,82.561,109.024,-34.146
-0.532,0.35,-0.372,80.488,117.439,-32.866
-0.578,0.432,-0.379,74.573,123.963,-32.073
-0.644,0.47,-0.336,66.28,126.951,-31.646
-0.723,0.467,-0.232,58.78,127.073,-31.402
-0.818,0.454,-0.079,52.866,125.183,-30.061
-0.939,0.438,0.058,50.305,120.488,-27.073
-1.074,0.458,0.133,49.756,110.305,-22.866
-1.193,0.53,0.126,49.573,93.537,-17.378
-1.293,0.622,0.079,50.061,76.463,-11.524
-1.347,0.735,0.034,47.927,64.573,-5.671
-1.37,0.793,0.014,45.061,56.524,-0.305
-1.382,0.804,0.031,42.561,49.756,3.476
-1.393,0.827,0.061,38.78,45.549,7.622
-1.396,0.836,0.076,33.415,42.622,10.793
-1.396,0.815,0.097,28.049,39.329,12.744
-1.363,0.796,0.112,22.683,35.488,13.963
-1.31,0.765,0.121,17.866,33.171,14.817
-1.25,0.724,0.121,15.427,32.256,14.268
-1.207,0.684,0.097,14.512,30.976,13.171
-1.177,0.667,0.064,13.72,26.585,11.341
-1.15,0.646,0.035,12.683,18.841,8.537
-1.122,0.63,0.003,11.159,9.512,5.732
-1.096,0.619,-0.03,9.146,0.0,3.293
-1.071,0.601,-0.067,7.378,-9.024,0.793
-1.071,0.6,-0.091,5.549,-15.183,-0.976
-1.063,0.599,-0.11,2.988,-17.439,-1.951
-1.048,0.588,-0.131,0.244,-16.829,-2.866
-1.042,0.573,-0.118,-2.988,-16.098,-3.902
-1.037,0.554,-0.088,-6.159,-17.012,-3.963
-1.042,0.536,-0.056,-8.415,-19.268,-3.598
-1.046,0.523,-0.017,-9.634,-23.171,-3.293
-1.025,0.513,0.01,-10.183,-28.11,-2.927
