acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.712,0.378,0.618,-24.268,138.293,0.0
-0.731,0.391,0.605,-19.695,125.183,-1.28
-0.732,0.417,0.564,-15.854,109.573,-3.11
-0.723,0.43,0.53,-12.744,95.793,-5.976
-0.708,0.447,0.508,-10.671,88.11,-6.829
-0.663,0.469,0.486,-9.695,86.463,-7.5
-0.634,0.476,0.479,-8.963,86.402,-8.902
-0.652,0.472,0.461,-7.805,86.037,-9.634
-0.698,0.479,0.43,-6.646,84.085,-10.244
-0.727,0.495,0.412,-5.671,78.415,-12.439
-0.737,0.5,0.397,-4.207,70.671,-13.11
-0.729,0.517,0.38,-3.049,63.537,-13.415
-0.723,0.521,0.396,-1.89,56.951,-14.573
-0.741,0.517,0.405,-1.341,49.573,-15.854
-0.768,0.517,0.409,-0.732,42.012,-16.463
-0.795,0.513,0.425,0.061,36.524,-16.585
-0.803,0.502,0.456,0.549,33.72,-16.585
-0.801,0.48,0.461,2.378,33.659,-15.732
-0.778,0.475,0.45,4.634,35.122,-14.085
-0.744,0.464,0.423,7.744,35.793,-13.049
-0.748,0.438,0.379,12.683,32.256,-11.646
-0.77,0.423,0.346,18.354,24.634,-10.976
-0.763,0.419,0.348,23.171,18.78,-11.341
-0.718,0.385,0.353,27.988,16.341,-12.317
-0.653,0.329,0.337,34.024,15.61,-14.329
-0.606,0.295,0.322,39.695,16.707,-17.195
-0.559,0.248,0.324,45.061,18.293,-21.463
-0.531,0.189,0.341,51.646,20.976,-25.122
-0.525,0.164,0.352,58.902,21.524,-29.024
-0.531,0.167,0.351,68.049,17.378,-33.476
-0.547,0.22,0.335,76.037,9.085,-37.256
-0.583,0.294,0.271,81.28,1.463,-39.634
-0.663,0.34,0.096,86.098,-1.037,-38.049
-0.771,0.388,-0.023,90.732,-2.073,-38.415
-0.869,0.456,-0.096,92.805,-6.951,-39.695
-0.958,0.522,-0.125,89.695,-15.793,-41.159
-1.004,0.538,-0.055,81.768,-23.171,-41.951
-1.04,0.494,0.056,73.72,-25.488,-40.183
-1.045,0.445,0.125,69.39,-25.427,-35.854
-1.025,0.48,0.149,65.244,-22.805,-30.244
-1.01,0.568,0.148,58.78,-19.024,-25.183
-0.988,0.622,0.139,52.195,-12.927,-20.854
-0.949,0.638,0.125,46.829,-3.049,-16.585
-0.93,0.646,0.098,41.341,7.256,-13.415
-0.961,0.645,0.088,36.707,14.207,-11.524
-1.012,0.636,0.095,33.232,17.805,-8.902
-1.026,0.641,0.116,29.451,17.5,-6.159
-1.003,0.639,0.135,26.28,14.512,-4.39
-0.993,0.639,0.141,23.902,8.476,-3.11
-1.006,0.653,0.138,21.098,0.488,-2.012
-1.033,0.665,0.155,17.683,-7.012,-1.829
-1.044,0.659,0.193,14.817,-11.951,-2.317
-1.041,0.644,0.233,12.378,-14.329,-2.683
-1.032,0.633,0.278,10.549,-11.951,-3.049
-1.02,0.62,0.311,8.902,-5.671,-2.256
-0.998,0.6,0.339,7.256,3.293,-2.073
-0.985,0.571,0.35,6.159,11.524,-2.195
