acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.346,0.408,0.505,-51.22,98.293,22.988
-0.375,0.409,0.479,-48.963,95.244,19.451
-0.402,0.413,0.475,-46.951,91.463,16.037
-0.416,0.408,0.472,-45.61,90.183,13.049
-0.438,0.394,0.462,-44.146,91.22,10.549
-0.461,0.387,0.464,-42.927,91.585,8.171
-0.489,0.391,0.481,-42.317,90.122,5.976
-0.513,0.399,0.492,-42.134,86.829,4.146
-0.521,0.406,0.517,-42.622,82.744,1.768
-0.528,0.411,0.544,-43.11,80.549,-0.305
-0.534,0.411,0.549,-41.89,80.0,-1.463
-0.535,0.402,0.58,-38.476,80.915,-3.232
-0.545,0.389,0.642,-32.5,85.793,-5.183
-0.519,0.371,0.722,-24.268,91.585,-7.805
-0.505,0.352,0.792,-14.329,90.854,-9.146
-0.62,0.319,0.812,-2.012,79.817,-8.354
-0.738,0.344,0.788,8.293,61.707,-7.988
-0.766,0.426,0.735,12.317,43.232,-7.073
-0.772,0.486,0.659,12.683,30.366,-6.341
-0.746,0.508,0.584,12.195,21.89,-6.768
-0.719,0.512,0.52,11.89,15.427,-7.195
-0.711,0.524,0.463,11.646,10.183,-6.89
-0.691,0.539,0.45,11.402,7.561,-7.439
-0.676,0.537,0.454,11.463,5.549,-7.256
-0.676,0.531,0.454,11.951,2.073,-6.341
-0.677,0.519,0.461,12.561,-2.317,-5.976
-0.676,0.501,0.473,13.415,-7.195,-5.854
-0.674,0.483,0.484,14.878,-11.89,-5.427
-0.666,0.481,0.506,15.549,-13.171,-5.671
-0.623,0.479,0.54,16.037,-9.512,-5.915
-0.568,0.462,0.555,17.622,-2.805,-6.402
-0.548,0.452,0.533,19.817,4.207,-7.012
-0.552,0.448,0.499,22.012,9.39,-7.561
-0.558,0.441,0.46,23.841,13.598,-8.476
-0.563,0.421,0.425,26.037,16.463,-9.695
-0.537,0.401,0.386,29.024,17.378,-11.22
-0.512,0.383,0.349,32.012,15.793,-13.415
-0.536,0.36,0.313,35.61,11.951,-15.61
-0.579,0.333,0.265,39.939,5.427,-17.927
-0.604,0.334,0.247,43.78,0.122,-20.61
-0.607,0.353,0.265,46.28,1.646,-22.683
-0.573,0.359,0.27,48.537,11.646,-23.293
-0.541,0.363,0.258,51.22,25.793,-23.78
-0.542,0.374,0.235,53.354,37.622,-24.878
-0.575,0.374,0.202,56.707,44.634,-25.061
-0.624,0.414,0.166,59.207,49.939,-25.366
-0.647,0.45,0.116,61.524,52.744,-25.854
-0.657,0.487,0.097,62.988,52.561,-27.317
-0.681,0.517,0.119,62.866,51.646,-29.451
-0.697,0.522,0.148,60.061,51.037,-31.89
-0.72,0.507,0.191,57.439,56.829,-33.963
-0.731,0.476,0.238,56.098,68.841,-34.146
-0.728,0.461,0.27,55.122,83.232,-33.049
-0.752,0.471,0.265,53.963,94.573,-31.22
-0.792,0.484,0.218,51.707,98.049,-29.573
-0.846,0.513,0.156,49.451,94.512,-28.841
-0.932,0.562,0.101,48.537,85.061,-27.683
-1.036,0.626,0.088,45.732,69.573,-27.744
-1.115,0.646,0.096,45.549,53.963,-27.744
-1.127,0.646,0.147,46.646,40.732,-25.976
-1.137,0.654,0.212,42.988,27.683,-24.756
-1.137,0.623,0.257,41.829,16.098,-24.512
-1.126,0.609,0.281,41.098,7.195,-22.5
-1.07,0.625,0.29,38.293,0.061,-21.463
-0.997,0.635,0.268,35.427,-5.854,-20.488
-0.963,0.653,0.232,32.439,-12.988,-20.366
-0.973,0.671,0.229,28.171,-21.585,-21.098
-0.989,0.679,0.252,23.171,-30.61,-21.159
-1.018,0.667,0.293,18.72,-42.622,-22.744
-1.068,0.633,0.328,15.793,-58.902,-25.488
-1.094,0.604,0.346,15.427,-76.524,-26.951
-1.076,0.6,0.363,15.122,-89.451,-25.915
-1.046,0.576,0.399,13.537,-95.305,-22.439
