acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.547,0.728,0.339,-38.537,28.232,16.159
-0.536,0.721,0.346,-31.463,15.671,14.329
-0.496,0.729,0.351,-24.268,6.585,13.232
-0.444,0.76,0.368,-19.085,2.988,12.012
-0.398,0.783,0.377,-15.793,4.207,10.0
-0.368,0.785,0.408,-13.841,7.805,7.744
-0.353,0.764,0.429,-9.817,12.012,6.829
-0.359,0.761,0.419,-5.061,16.707,6.22
-0.375,0.788,0.396,-1.585,17.744,3.72
-0.413,0.812,0.329,0.061,15.366,1.402
-0.439,0.826,0.277,-0.061,12.5,0.0
-0.413,0.842,0.243,-1.098,11.402,-0.732
-0.378,0.85,0.223,-2.439,15.244,-0.549
-0.354,0.861,0.229,-4.024,21.28,-1.463
-0.359,0.87,0.229,-4.756,26.159,-2.073
-0.386,0.873,0.245,-5.488,29.573,-2.134
-0.393,0.871,0.255,-6.28,29.695,-3.049
-0.414,0.849,0.245,-5.427,27.5,-3.171
-0.445,0.833,0.208,-6.037,24.39,-1.951
-0.441,0.843,0.213,-6.646,21.585,-1.646
-0.419,0.853,0.212,-6.707,22.256,0.366
-0.398,0.864,0.19,-7.622,25.793,2.378
-0.389,0.873,0.199,-8.72,29.573,1.646
-0.386,0.86,0.228,-8.171,32.195,1.463
-0.39,0.829,0.234,-6.098,32.866,2.195
-0.396,0.802,0.205,-5.122,32.073,2.683
-0.393,0.797,0.192,-4.878,28.049,2.561
-0.399,0.811,0.188,-4.939,21.585,2.5
-0.395,0.815,0.194,-5.183,15.793,2.5
-0.359,0.804,0.197,-4.39,14.268,2.5
-0.326,0.791,0.203,-2.439,17.805,1.646
-0.312,0.772,0.191,0.183,24.939,1.402
-0.299,0.765,0.176,2.317,33.171,1.463
-0.288,0.761,0.174,5.488,39.695,0.244
-0.292,0.75,0.146,8.78,44.39,0.366
-0.301,0.738,0.14,11.28,48.659,0.915
-0.305,0.717,0.135,14.085,50.976,0.671
-0.323,0.691,0.116,19.268,51.89,2.317
-0.332,0.688,0.091,25.549,53.78,6.951
-0.31,0.699,0.04,31.89,58.354,11.585
-0.248,0.714,-0.021,37.744,65.732,17.378
-0.171,0.722,-0.067,46.037,73.11,25.305
-0.118,0.721,-0.105,55.793,80.793,29.695
-0.097,0.698,-0.08,60.915,81.28,27.5
-0.287,0.602,-0.035,65.854,70.244,21.585
-0.551,0.488,-0.008,75.854,58.963,19.756
-0.418,0.464,-0.028,87.195,55.183,20.732
-0.082,0.564,-0.008,93.171,75.915,24.146
-0.02,0.713,0.011,93.11,104.329,20.0
-0.233,0.777,-0.039,93.78,103.171,11.159
-0.411,0.737,-0.006,97.988,88.354,8.11
-0.454,0.686,0.015,99.634,90.793,8.049
-0.459,0.724,-0.024,99.329,101.951,5.61
-0.552,0.849,-0.137,97.012,101.585,5.122
-0.767,1.042,-0.19,89.939,83.11,7.683
-0.908,1.185,-0.15,76.524,52.622,10.244
-0.872,1.161,-0.074,64.512,28.902,9.756
-0.698,1.017,-0.005,61.159,21.098,6.463
-0.538,0.974,0.035,61.463,21.037,3.598
-0.523,1.095,0.056,58.963,21.037,-0.122
-0.581,1.231,0.047,52.439,22.317,-6.28
-0.594,1.253,-0.011,46.22,28.415,-15.488
-0.547,1.188,-0.089,40.793,34.39,-21.524
-0.499,1.126,-0.153,35.488,32.378,-20.915
-0.504,1.125,-0.198,28.598,24.573,-17.012
-0.552,1.163,-0.198,20.976,18.354,-14.512
-0.617,1.187,-0.148,15.793,14.39,-13.354
-0.686,1.177,-0.075,14.451,8.293,-10.061
-0.696,1.161,-0.013,13.72,2.805,-4.634
-0.626,1.137,-0.041,11.22,-0.427,-1.707
-0.54,1.109,-0.122,8.293,-6.89,0.366
-0.508,1.12,-0.186,2.256,-13.11,2.317
-0.499,1.127,-0.214,-5.671,-16.89,1.28
-0.461,1.087,-0.209,-12.134,-15.915,-0.244
-0.443,1.02,-0.163,-15.61,-10.244,-1.341
-0.452,0.95,-0.145,-16.829,-4.573,-1.951
-0.442,0.92,-0.14,-17.744,-3.841,-1.402
-0.428,0.912,-0.142,-18.78,-4.39,-2.134
-0.425,0.914,-0.18,-21.159,-2.134,-3.72
-0.409,0.92,-0.194,-23.354,-1.037,-5.0
-0.43,0.911,-0.19,-24.817,-3.537,-5.854
-0.44,0.89,-0.188,-25.854,-8.049,-6.524
-0.415,0.854,-0.172,-25.793,-11.159,-7.622
-0.381,0.813,-0.161,-24.329,-11.524,-9.39
-0.385,0.792,-0.141,-22.256,-9.512,-9.146
-0.42,0.782,-0.145,-20.122,-7.5,-7.927
-0.448,0.783,-0.151,-17.622,-5.793,-6.951
-0.453,0.799,-0.147,-14.634,-5.915,-5.671
-0.462,0.812,-0.181,-12.195,-6.951,-4.268
-0.462,0.837,-0.217,-11.098,-9.817,-3.598
-0.449,0.853,-0.218,-10.671,-13.78,-3.72
-0.436,0.84,-0.201,-11.037,-13.841,-4.268
-0.414,0.811,-0.177,-9.512,-10.366,-4.146
-0.391,0.802,-0.162,-7.622,-4.695,-4.268
-0.387,0.827,-0.131,-6.646,0.427,-6.524
