acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.369,0.694,0.308,-61.28,49.268,10.305
-0.377,0.715,0.277,-55.0,43.11,8.841
-0.418,0.728,0.261,-48.902,35.244,8.11
-0.431,0.74,0.283,-42.927,23.902,8.293
-0.435,0.758,0.27,-39.573,11.463,6.159
-0.446,0.76,0.284,-35.671,0.0,3.841
-0.443,0.757,0.285,-31.829,-8.171,4.207
-0.419,0.767,0.296,-29.39,-14.695,3.415
-0.386,0.769,0.28,-25.976,-20.854,0.549
-0.368,0.772,0.259,-21.159,-20.122,0.61
-0.333,0.797,0.258,-18.11,-9.756,2.866
-0.294,0.834,0.275,-16.951,5.0,2.012
-0.305,0.847,0.272,-15.0,18.598,-0.183
-0.324,0.844,0.277,-12.927,27.195,-0.488
-0.34,0.833,0.26,-11.22,30.427,-0.061
-0.376,0.831,0.24,-10.549,27.439,-0.366
-0.42,0.839,0.231,-10.427,17.378,-0.671
-0.451,0.849,0.215,-11.098,3.293,-0.122
-0.46,0.847,0.225,-11.89,-8.841,0.671
-0.433,0.833,0.261,-11.524,-13.78,1.159
-0.377,0.819,0.285,-10.0,-11.28,1.28
-0.324,0.806,0.256,-8.476,-3.049,1.524
-0.289,0.81,0.233,-8.049,5.122,0.732
-0.301,0.823,0.216,-7.012,7.927,-1.22
-0.351,0.835,0.202,-6.951,3.841,-1.28
-0.393,0.834,0.181,-7.134,-4.634,0.366
-0.432,0.835,0.179,-7.317,-11.585,2.256
-0.42,0.827,0.206,-6.22,-14.817,3.354
-0.367,0.814,0.225,-4.634,-12.134,4.39
-0.316,0.81,0.228,-3.415,-4.756,4.451
-0.291,0.806,0.238,-1.402,3.171,3.415
-0.284,0.805,0.233,0.366,9.756,3.232
-0.307,0.804,0.243,1.098,13.841,2.378
-0.324,0.79,0.246,2.378,11.829,0.183
-0.331,0.764,0.243,6.098,9.695,1.159
-0.309,0.763,0.202,9.695,10.793,3.841
-0.282,0.781,0.152,10.488,10.793,2.805
-0.322,0.774,0.14,12.195,8.902,-0.427
-0.352,0.754,0.152,15.0,2.561,-1.22
-0.323,0.72,0.156,19.756,-7.683,-0.061
-0.285,0.667,0.12,27.5,-12.988,2.012
-0.24,0.638,0.062,36.341,-8.415,2.683
-0.134,0.635,-0.063,39.939,0.305,-0.122
-0.039,0.642,-0.149,38.232,8.72,-6.646
-0.106,0.643,-0.1,36.28,20.0,-16.098
-0.276,0.639,-0.044,36.098,32.073,-25.122
-0.366,0.611,-0.073,34.024,46.463,-25.549
-0.357,0.539,-0.046,38.902,71.22,-21.951
-0.305,0.459,0.012,53.354,99.39,-22.378
-0.297,0.463,0.078,73.293,117.317,-26.524
-0.407,0.569,0.109,88.841,119.146,-29.024
-0.573,0.713,0.056,91.463,109.39,-28.537
-0.687,0.802,0.01,86.89,90.976,-26.341
-0.679,0.852,0.014,80.793,65.427,-21.951
-0.632,0.936,0.088,74.878,40.183,-18.902
-0.649,1.03,0.199,68.78,22.012,-20.671
-0.686,1.083,0.276,60.793,11.707,-21.341
-0.71,1.097,0.287,56.402,16.341,-17.622
-0.655,1.185,0.296,55.549,29.939,-12.073
-0.601,1.327,0.277,49.512,40.366,-7.988
-0.633,1.402,0.217,41.585,37.805,-7.866
-0.685,1.393,0.163,32.439,23.78,-9.451
-0.717,1.336,0.148,22.988,12.988,-8.354
-0.678,1.273,0.142,15.427,7.622,-5.61
-0.626,1.224,0.16,11.402,6.098,-3.963
-0.608,1.175,0.142,8.232,7.012,-4.451
-0.602,1.109,0.101,5.671,5.854,-5.183
-0.61,1.033,0.053,3.537,2.134,-4.39
-0.624,0.983,-0.006,1.646,-1.159,-2.317
-0.582,0.967,-0.061,0.366,-4.756,-0.122
-0.533,0.975,-0.088,-2.317,-5.061,0.854
-0.503,0.956,-0.089,-5.549,-1.585,-0.732
-0.485,0.912,-0.083,-8.11,1.159,-2.134
-0.487,0.879,-0.056,-10.305,0.183,-2.256
-0.5,0.858,-0.025,-12.256,-3.415,-1.646
-0.489,0.851,0.004,-12.439,-6.463,-1.22
-0.458,0.871,0.029,-12.378,-7.256,-1.646
-0.44,0.88,0.043,-12.744,-5.61,-2.195
-0.435,0.863,0.016,-12.927,-4.451,-1.829
-0.456,0.839,0.001,-13.476,-6.402,-0.427
-0.523,0.822,-0.015,-13.72,-10.122,1.524
-0.573,0.834,-0.047,-14.939,-13.841,3.354
-0.56,0.856,-0.046,-15.732,-18.232,4.085
-0.534,0.868,-0.027,-16.463,-23.659,3.78
-0.527,0.857,-0.001,-15.793,-29.634,3.415
-0.514,0.834,0.016,-13.963,-36.22,3.354
-0.504,0.828,0.039,-11.768,-41.585,3.293
-0.496,0.849,0.058,-9.146,-43.293,2.927
-0.48,0.878,0.062,-6.951,-38.293,1.951
-0.457,0.899,0.06,-5.122,-28.171,-0.305
-0.466,0.91,0.04,-4.512,-18.232,-2.622
-0.502,0.914,0.025,-5.183,-14.573,-4.146
-0.559,0.909,-0.002,-7.744,-16.098,-3.902
-0.571,0.913,0.017,-10.305,-20.915,-3.598
-0.554,0.922,0.064,-12.378,-26.707,-4.634
-0.548,0.917,0.091,-14.146,-29.268,-5.61
-0.535,0.897,0.122,-14.817,-28.354,-6.707
-0.493,0.888,0.152,-15.183,-25.488,-8.598
-0.476,0.873,0.153,-15.732,-21.707,-9.878
-0.488,0.853,0.119,-16.585,-20.305,-10.793
-0.49,0.852,0.095,-17.073,-23.659,-11.585
-0.467,0.866,0.079,-18.902,-32.866,-12.317
-0.474,0.861,0.085,-20.366,-43.415,-13.171
-0.506,0.845,0.095,-21.037,-51.159,-13.354
-0.506,0.832,0.106,-21.768,-54.207,-13.171
-0.479,0.823,0.116,-22.439,-51.89,-13.476
-0.458,0.812,0.112,-22.927,-44.695,-14.512
-0.458,0.809,0.096,-23.476,-36.646,-16.22
-0.477,0.818,0.083,-24.268,-33.049,-17.744
-0.493,0.829,0.072,-24.146,-36.037,-16.707
-0.487,0.841,0.069,-24.451,-42.073,-14.634
-0.49,0.844,0.089,-25.061,-48.354,-13.963
-0.491,0.834,0.131,-25.488,-55.915,-13.78
-0.51,0.814,0.164,-24.939,-60.366,-12.805
-0.52,0.808,0.191,-24.573,-59.207,-11.829
-0.498,0.82,0.211,-25.183,-54.451,-12.561
-0.492,0.824,0.234,-25.732,-49.634,-14.756
-0.496,0.822,0.238,-25.183,-48.841,-15.793
-0.498,0.828,0.241,-24.695,-54.268,-15.976
-0.505,0.842,0.251,-24.329,-63.963,-15.854
-0.51,0.85,0.277,-24.39,-78.354,-17.073
-0.523,0.847,0.312,-24.512,-92.744,-17.805
-0.542,0.828,0.333,-23.415,-99.268,-16.829
-0.544,0.807,0.352,-21.829,-97.805,-16.159
-0.513,0.806,0.398,-20.244,-94.451,-18.476
-0.483,0.8,0.438,-19.207,-93.841,-21.28
-0.482,0.78,0.465,-18.11,-99.695,-22.988
-0.504,0.76,0.47,-16.768,-115.793,-23.598
-0.583,0.75,0.49,-12.439,-133.049,-23.293
-0.646,0.749,0.506,-5.061,-148.354,-22.317
-0.611,0.767,0.497,2.439,-160.305,-20.915
-0.522,0.782,0.502,9.939,-162.988,-21.159
-0.421,0.796,0.515,17.012,-155.427,-23.171
