acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.346,0.711,0.331,-40.122,37.805,-5.671
-0.325,0.717,0.307,-32.988,32.561,-7.073
-0.329,0.747,0.313,-27.805,31.951,-8.049
-0.324,0.774,0.357,-22.195,33.354,-9.695
-0.313,0.776,0.342,-16.768,36.037,-8.415
-0.35,0.772,0.304,-13.354,40.122,-7.256
-0.406,0.771,0.266,-9.817,39.451,-8.537
-0.458,0.788,0.239,-7.866,32.439,-9.329
-0.476,0.801,0.236,-6.89,24.39,-8.049
-0.439,0.8,0.242,-6.402,22.988,-4.268
-0.354,0.808,0.218,-6.098,26.89,-1.159
-0.34,0.822,0.178,-5.976,32.256,-0.793
-0.397,0.846,0.175,-6.707,30.671,-1.159
-0.443,0.858,0.181,-7.012,20.915,-0.183
-0.457,0.852,0.188,-7.317,12.561,1.707
-0.422,0.848,0.227,-8.659,8.354,2.073
-0.396,0.833,0.259,-7.744,5.854,1.524
-0.399,0.818,0.249,-6.402,3.598,2.5
-0.378,0.817,0.24,-4.634,5.122,4.634
-0.331,0.825,0.224,-3.598,11.463,6.402
-0.299,0.824,0.219,-2.805,19.939,6.159
-0.305,0.808,0.224,-1.341,26.89,5.061
-0.319,0.793,0.237,0.976,31.341,4.634
-0.338,0.78,0.252,3.415,34.512,4.634
-0.318,0.764,0.245,6.585,34.146,4.207
-0.278,0.749,0.2,10.0,32.195,4.939
-0.255,0.745,0.172,14.329,35.183,5.0
-0.21,0.75,0.159,18.415,45.366,4.268
-0.192,0.738,0.132,20.366,56.463,3.72
-0.236,0.69,0.123,23.72,62.683,-0.488
-0.276,0.622,0.11,30.549,61.585,-5.549
-0.28,0.581,0.061,37.561,56.646,-7.439
-0.239,0.588,-0.005,42.5,51.341,-10.793
-0.16,0.615,-0.049,45.427,48.293,-14.939
-0.112,0.626,-0.056,47.439,50.122,-17.988
-0.104,0.605,-0.038,51.707,52.744,-20.732
-0.144,0.553,-0.032,59.695,60.183,-21.28
-0.174,0.521,-0.054,69.085,76.037,-21.22
-0.21,0.532,-0.074,78.476,98.232,-22.317
-0.302,0.558,-0.086,88.963,119.756,-22.866
-0.421,0.604,-0.136,100.488,130.122,-18.049
-0.483,0.709,-0.229,109.085,124.146,-8.354
-0.492,0.86,-0.242,111.342,107.744,0.0
-0.472,0.953,-0.189,105.183,90.61,3.415
-0.468,0.907,-0.137,97.927,73.598,0.427
-0.533,0.771,-0.125,100.61,60.061,-1.463
-0.589,0.752,-0.138,104.268,59.573,3.963
-0.552,0.907,-0.102,104.085,71.463,8.659
-0.492,1.108,-0.051,97.866,87.805,5.732
-0.52,1.214,-0.043,89.451,97.012,1.463
-0.623,1.259,-0.08,77.988,95.671,2.378
-0.726,1.304,0.01,65.671,86.098,4.817
-0.819,1.361,0.104,55.427,69.878,7.317
-0.925,1.436,0.11,45.61,52.622,9.756
-0.979,1.525,0.099,33.232,35.793,10.549
-0.97,1.541,0.063,21.951,18.72,7.195
-0.932,1.481,-0.025,11.707,4.878,3.232
-0.806,1.406,-0.106,0.305,-5.854,2.195
-0.651,1.31,-0.145,-11.098,-8.963,0.244
-0.536,1.162,-0.15,-17.073,-7.683,-4.756
-0.478,1.013,-0.145,-18.293,-9.695,-7.256
-0.485,0.916,-0.137,-15.915,-14.878,-7.378
-0.49,0.878,-0.159,-13.537,-18.598,-7.073
-0.445,0.886,-0.191,-13.232,-18.72,-5.244
-0.428,0.9,-0.227,-14.939,-14.024,-3.72
-0.438,0.9,-0.254,-14.939,-8.72,-2.317
-0.4,0.926,-0.297,-19.085,-8.232,0.366
-0.405,0.93,-0.241,-22.805,-11.402,0.183
-0.456,0.885,-0.184,-23.415,-14.939,0.854
-0.442,0.871,-0.152,-25.0,-15.366,3.293
-0.381,0.846,-0.119,-25.793,-11.098,1.098
-0.351,0.801,-0.129,-23.902,-6.159,-0.976
-0.345,0.8,-0.169,-23.659,-5.061,0.244
-0.38,0.81,-0.164,-23.537,-9.207,-0.549
-0.444,0.796,-0.168,-22.256,-12.744,-2.195
-0.436,0.8,-0.156,-21.402,-14.207,-2.012
-0.407,0.798,-0.138,-19.39,-11.463,-3.11
-0.375,0.797,-0.147,-16.28,-6.951,-4.573
-0.354,0.826,-0.164,-14.573,-3.232,-5.427
-0.388,0.862,-0.159,-13.72,-2.012,-6.22
-0.441,0.873,-0.159,-12.073,-1.829,-6.341
-0.481,0.882,-0.17,-11.22,0.549,-6.28
-0.492,0.889,-0.166,-10.793,2.5,-6.463
-0.496,0.882,-0.16,-10.061,0.549,-5.976
-0.514,0.875,-0.179,-9.39,-3.354,-4.451
-0.513,0.894,-0.155,-10.0,-8.476,-3.476
-0.507,0.907,-0.098,-10.549,-12.744,-3.72
-0.491,0.905,-0.084,-11.159,-14.146,-3.537
-0.474,0.918,-0.058,-11.646,-14.146,-4.207
-0.501,0.916,-0.043,-12.5,-15.427,-6.646
-0.53,0.889,-0.057,-13.11,-18.476,-7.256
-0.517,0.871,-0.065,-13.963,-21.463,-6.28
-0.5,0.864,-0.06,-14.268,-22.378,-6.463
-0.484,0.864,-0.077,-14.512,-22.256,-7.256
-0.462,0.873,-0.094,-14.878,-22.866,-7.561
-0.456,0.885,-0.101,-15.793,-24.085,-7.744
-0.475,0.886,-0.094,-17.439,-25.549,-8.72
-0.485,0.862,-0.087,-18.841,-26.159,-8.963
-0.461,0.84,-0.08,-18.293,-24.024,-9.39
-0.432,0.838,-0.098,-18.659,-18.171,-9.817
-0.415,0.85,-0.096,-20.0,-14.634,-11.341
-0.44,0.846,-0.079,-20.0,-15.732,-12.988
-0.487,0.838,-0.092,-19.695,-19.512,-12.073
-0.515,0.854,-0.095,-20.0,-24.268,-10.671
-0.505,0.866,-0.081,-19.756,-29.634,-10.488
-0.5,0.872,-0.071,-18.841,-31.951,-9.878
-0.5,0.872,-0.059,-18.537,-28.963,-9.024
-0.476,0.87,-0.042,-18.293,-24.695,-10.0
-0.467,0.866,-0.023,-17.561,-21.341,-11.524
-0.479,0.865,-0.011,-17.134,-18.72,-12.622
-0.488,0.866,0.001,-16.402,-18.598,-13.537
-0.498,0.861,-0.031,-15.183,-21.098,-13.171
-0.505,0.873,-0.063,-15.427,-25.671,-11.768
-0.517,0.896,-0.056,-16.524,-30.732,-10.854
-0.534,0.907,-0.032,-17.866,-34.817,-10.183
-0.543,0.899,-0.013,-19.756,-36.524,-9.451
-0.539,0.877,0.018,-20.122,-35.976,-9.268
-0.526,0.852,0.056,-19.512,-34.39,-10.122
-0.518,0.834,0.074,-18.902,-33.537,-10.732
-0.515,0.82,0.079,-17.988,-35.976,-11.341
-0.527,0.819,0.096,-15.976,-41.951,-12.256
-0.55,0.822,0.099,-13.415,-49.634,-12.5
-0.563,0.823,0.088,-11.829,-55.854,-11.89
-0.573,0.832,0.08,-10.976,-59.146,-12.195
-0.581,0.839,0.086,-11.585,-62.683,-14.207
-0.59,0.83,0.073,-12.439,-66.707,-15.793
-0.577,0.825,0.069,-13.841,-67.927,-14.573
-0.551,0.823,0.091,-14.451,-68.415,-15.122
-0.56,0.808,0.096,-15.305,-69.085,-16.829
-0.577,0.794,0.11,-14.634,-70.366,-16.768
-0.592,0.791,0.14,-12.561,-75.183,-16.341
-0.604,0.79,0.166,-9.329,-85.366,-16.951
-0.6,0.785,0.191,-6.159,-100.915,-19.146
-0.574,0.781,0.211,-2.866,-117.866,-21.585
-0.555,0.771,0.204,0.244,-131.22,-23.537
-0.557,0.769,0.18,3.293,-137.622,-24.024
-0.57,0.777,0.176,5.122,-135.915,-22.683
-0.58,0.797,0.184,5.549,-132.5,-21.463
-0.629,0.811,0.223,7.622,-130.915,-20.915
-0.647,0.805,0.282,12.256,-135.305,-21.951
-0.625,0.791,0.33,17.012,-147.256,-22.683
-0.636,0.774,0.349,22.073,-163.049,-21.89
-0.644,0.771,0.371,28.293,-178.842,-20.305
-0.615,0.777,0.416,34.878,-192.5,-18.78
-0.581,0.787,0.464,41.402,-202.622,-19.024
