acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.416,0.646,0.435,-81.951,87.317,23.598
-0.445,0.657,0.392,-74.634,72.012,19.024
-0.481,0.652,0.364,-66.89,54.146,17.073
-0.512,0.648,0.378,-58.476,36.524,15.549
-0.511,0.661,0.39,-50.0,20.122,13.354
-0.492,0.684,0.383,-42.195,8.537,12.5
-0.446,0.705,0.375,-34.756,5.854,12.683
-0.357,0.73,0.369,-29.329,11.646,12.073
-0.311,0.748,0.395,-24.085,25.61,9.573
-0.351,0.749,0.402,-19.939,41.159,8.72
-0.409,0.733,0.4,-15.915,47.866,9.085
-0.463,0.715,0.357,-10.427,46.89,9.573
-0.485,0.743,0.336,-7.622,42.866,9.756
-0.48,0.779,0.325,-7.256,38.659,8.659
-0.467,0.801,0.32,-8.415,32.561,6.646
-0.466,0.792,0.319,-8.232,25.0,5.976
-0.456,0.775,0.273,-7.256,18.049,7.5
-0.432,0.782,0.263,-7.134,12.317,6.829
-0.431,0.788,0.307,-5.549,9.573,4.329
-0.422,0.784,0.32,-3.476,8.902,3.963
-0.404,0.781,0.31,-1.28,10.915,4.024
-0.382,0.79,0.312,0.671,15.915,1.524
-0.376,0.793,0.285,1.707,22.744,0.671
-0.383,0.798,0.251,1.463,27.561,1.402
-0.407,0.797,0.247,2.256,26.646,-0.915
-0.422,0.792,0.241,3.354,22.378,-3.354
-0.397,0.781,0.23,4.207,22.134,-2.195
-0.343,0.767,0.203,5.244,27.866,-1.098
-0.309,0.77,0.181,6.22,37.195,-1.951
-0.322,0.776,0.183,7.256,46.098,-2.805
-0.333,0.766,0.171,8.476,51.585,-2.805
-0.349,0.743,0.159,11.098,55.854,-3.598
-0.337,0.721,0.121,14.329,58.902,-5.305
-0.274,0.715,0.064,16.951,60.61,-4.329
-0.262,0.716,0.048,20.061,61.28,-2.317
-0.302,0.692,0.067,24.024,61.463,-4.329
-0.33,0.629,0.103,29.695,57.5,-5.976
-0.347,0.554,0.11,40.366,54.634,-2.195
-0.288,0.53,0.03,52.683,65.61,4.512
-0.192,0.563,-0.06,60.61,85.122,8.049
-0.151,0.591,-0.128,64.207,100.366,6.28
-0.227,0.613,-0.126,69.268,102.927,5.488
-0.338,0.64,-0.136,73.11,95.976,8.659
-0.319,0.675,-0.19,73.415,90.732,12.683
-0.25,0.729,-0.147,72.012,97.561,12.439
-0.25,0.773,-0.059,70.976,117.378,8.415
-0.306,0.808,-0.038,71.646,135.305,6.585
-0.407,0.841,-0.033,74.939,142.378,8.476
-0.486,0.871,-0.059,78.476,139.024,11.098
-0.535,0.912,-0.092,77.561,130.488,12.439
-0.592,0.956,-0.087,74.573,120.915,13.476
-0.635,0.998,-0.079,69.573,110.244,15.488
-0.673,1.012,-0.058,64.878,100.0,16.341
-0.705,1.004,-0.024,62.012,90.732,14.39
-0.763,0.987,0.021,61.89,83.537,12.378
-0.755,0.968,-0.001,61.951,74.573,12.927
-0.715,0.989,-0.042,59.634,63.171,12.012
-0.741,1.026,-0.064,56.707,54.329,7.927
-0.763,1.107,-0.1,52.622,45.915,2.195
-0.776,1.209,-0.125,44.146,39.451,-3.841
-0.827,1.258,-0.091,36.098,40.976,-9.207
-0.852,1.26,-0.06,29.512,43.659,-11.829
-0.833,1.196,-0.07,23.72,40.793,-13.537
-0.789,1.073,-0.087,20.061,32.927,-16.037
-0.743,0.991,-0.095,18.598,18.354,-15.976
-0.741,0.979,-0.088,18.902,2.744,-13.841
-0.678,1.002,-0.13,16.524,-6.524,-13.232
-0.578,1.034,-0.162,11.402,-10.0,-15.061
-0.554,1.03,-0.159,7.5,-10.061,-16.829
-0.526,1.004,-0.161,3.78,-8.963,-16.098
-0.458,0.97,-0.168,0.183,-6.768,-13.72
-0.399,0.95,-0.191,-1.159,-3.841,-11.585
-0.39,0.967,-0.231,-3.354,-3.232,-9.756
-0.451,0.995,-0.241,-6.037,-5.671,-7.683
-0.51,1.014,-0.248,-10.122,-11.524,-4.268
-0.537,0.988,-0.23,-14.817,-16.341,-0.244
-0.532,0.921,-0.179,-17.744,-18.841,1.341
-0.499,0.875,-0.128,-18.598,-21.341,3.232
-0.482,0.862,-0.109,-19.268,-22.317,5.061
-0.463,0.881,-0.089,-20.122,-22.439,3.598
-0.468,0.901,-0.1,-20.0,-20.793,1.22
-0.454,0.917,-0.188,-21.951,-22.134,-0.61
-0.496,0.912,-0.205,-22.561,-26.89,-3.293
-0.559,0.885,-0.216,-22.744,-32.317,-5.976
-0.58,0.872,-0.228,-24.329,-30.183,-4.695
-0.549,0.867,-0.211,-26.463,-19.451,-6.098
-0.496,0.86,-0.193,-26.768,-8.049,-11.037
-0.487,0.855,-0.197,-26.707,-1.585,-13.11
-0.509,0.854,-0.177,-25.671,-5.305,-14.756
-0.573,0.842,-0.134,-23.72,-17.317,-16.341
-0.642,0.825,-0.083,-20.122,-31.22,-15.061
-0.671,0.834,-0.059,-17.378,-41.037,-12.378
-0.692,0.878,-0.036,-16.402,-45.061,-11.646
-0.688,0.912,-0.055,-17.195,-46.037,-14.146
-0.663,0.93,-0.08,-18.902,-50.793,-16.89
-0.689,0.916,-0.097,-20.366,-56.524,-17.622
-0.702,0.905,-0.11,-22.073,-63.476,-16.89
-0.666,0.911,-0.109,-24.939,-70.732,-16.402
-0.61,0.913,-0.081,-27.5,-75.427,-18.476
-0.561,0.913,-0.058,-31.098,-77.927,-21.768
-0.548,0.882,0.003,-32.256,-74.512,-25.732
-0.521,0.82,0.03,-30.366,-66.89,-30.305
-0.474,0.768,0.009,-28.72,-60.061,-33.232
-0.446,0.745,-0.029,-27.378,-60.244,-34.817
-0.481,0.742,-0.084,-25.244,-66.463,-35.366
-0.538,0.772,-0.168,-26.098,-75.61,-33.659
-0.578,0.816,-0.168,-28.232,-82.439,-31.524
-0.584,0.832,-0.113,-27.988,-80.976,-30.061
-0.562,0.803,-0.112,-26.159,-71.402,-28.78
-0.534,0.789,-0.119,-26.768,-59.146,-28.476
-0.515,0.803,-0.056,-28.841,-50.183,-29.024
-0.505,0.801,-0.003,-29.512,-46.159,-28.963
-0.506,0.77,0.007,-27.744,-45.549,-27.622
-0.492,0.754,0.0,-23.963,-48.171,-25.305
