acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.688,0.019,0.826,82.683,-43.293,23.415
-0.507,-0.109,0.854,88.902,3.354,14.146
-0.332,-0.122,0.834,73.293,50.488,18.598
-0.208,-0.051,0.932,58.415,83.537,36.463
0.052,0.105,1.043,64.024,84.329,41.585
0.326,0.254,1.015,79.573,55.244,34.085
0.236,0.221,0.951,91.098,14.085,30.671
-0.189,0.08,0.914,93.598,-19.451,30.488
-0.586,0.013,0.857,87.439,-29.024,29.451
-0.723,0.048,0.884,74.817,-13.476,29.39
-0.59,0.167,0.951,62.744,13.354,30.122
-0.314,0.289,1.007,58.537,28.293,25.793
-0.057,0.327,1.04,57.988,15.549,18.293
0.022,0.281,1.053,56.585,-4.451,15.549
-0.092,0.222,1.06,53.293,-9.878,17.317
-0.229,0.221,1.089,51.341,-7.012,16.341
-0.299,0.248,1.092,47.927,-7.744,13.537
-0.324,0.273,1.037,41.037,-4.451,15.244
-0.313,0.283,0.998,31.89,-1.89,18.11
-0.274,0.311,0.972,23.902,0.732,18.537
-0.285,0.348,0.96,20.61,7.561,16.463
-0.278,0.365,0.998,18.78,6.402,10.671
-0.246,0.334,1.065,14.878,-0.061,7.256
-0.237,0.269,1.06,9.695,-5.549,7.622
-0.217,0.263,1.005,3.659,-11.646,6.159
-0.247,0.315,0.986,-0.305,-12.256,4.268
-0.302,0.361,0.998,-1.951,-9.695,3.232
-0.28,0.387,1.019,-2.561,-7.866,2.134
-0.242,0.372,1.015,-3.354,-7.866,2.622
-0.245,0.34,0.979,-5.0,-7.5,4.268
-0.283,0.34,0.957,-6.402,-6.22,4.512
-0.295,0.355,0.944,-6.402,-5.671,3.293
-0.275,0.363,0.917,-5.427,-5.244,1.707
-0.248,0.346,0.913,-4.695,-5.793,0.061
-0.226,0.315,0.913,-5.427,-5.915,-0.732
-0.216,0.297,0.909,-6.768,-4.024,-1.159
-0.21,0.299,0.912,-6.829,-2.744,-2.5
-0.196,0.307,0.909,-5.854,-1.89,-3.78
-0.196,0.303,0.901,-5.488,0.427,-3.354
-0.198,0.282,0.91,-5.183,1.768,-2.561
-0.196,0.268,0.913,-5.061,0.122,-3.11
-0.208,0.264,0.897,-5.061,-1.646,-2.805
-0.237,0.257,0.888,-5.61,-2.866,-2.683
-0.25,0.254,0.883,-6.037,-2.805,-3.171
-0.237,0.25,0.884,-6.098,-2.927,-3.415
-0.208,0.246,0.89,-5.549,-2.744,-3.049
-0.198,0.24,0.914,-4.695,-3.171,-2.988
-0.203,0.237,0.931,-4.695,-1.951,-2.073
-0.219,0.24,0.949,-4.817,1.037,-0.183
-0.218,0.252,0.954,-4.756,1.89,0.732
-0.217,0.267,0.942,-3.476,1.098,1.098
-0.227,0.266,0.94,-1.768,0.793,1.341
-0.228,0.262,0.938,-1.037,0.427,1.89
-0.228,0.25,0.926,-1.402,-1.098,2.012
-0.239,0.245,0.92,-1.829,-1.951,1.585
-0.239,0.254,0.933,-2.012,-1.829,1.037
-0.223,0.267,0.94,-2.012,-2.195,0.915
-0.208,0.269,0.944,-1.951,-3.049,0.366
-0.198,0.264,0.958,-2.195,-2.561,-0.244
-0.193,0.256,0.97,-2.561,-0.061,0.305
-0.186,0.252,0.966,-4.024,1.402,0.61
-0.188,0.255,0.959,-5.244,1.402,0.427
-0.192,0.261,0.956,-6.098,0.793,-0.122
-0.196,0.266,0.957,-7.012,-0.183,-0.854
-0.206,0.258,0.954,-7.988,-0.305,-1.402
-0.222,0.246,0.945,-8.415,-0.793,-2.195
-0.227,0.237,0.946,-7.927,-1.707,-3.171
-0.219,0.229,0.951,-7.866,-1.768,-4.268
-0.206,0.219,0.963,-8.659,-1.524,-4.878
-0.193,0.213,0.966,-9.878,-1.402,-4.817
-0.191,0.221,0.971,-10.0,-1.341,-5.061
-0.186,0.231,0.979,-9.39,-2.439,-6.22
-0.184,0.233,0.977,-8.78,-2.927,-7.317
-0.203,0.222,0.977,-9.451,-1.646,-7.256
-0.206,0.214,0.963,-11.402,0.61,-6.951
-0.188,0.221,0.958,-12.195,1.159,-7.622
-0.166,0.232,0.953,-10.976,0.793,-8.72
-0.159,0.233,0.946,-8.902,0.732,-8.72
-0.16,0.219,0.958,-7.622,1.098,-7.988
-0.161,0.199,0.968,-6.89,1.585,-7.195
-0.168,0.184,0.965,-6.707,-0.244,-6.768
-0.191,0.187,0.926,-6.402,-2.5,-6.829
-0.237,0.207,0.916,-4.634,-2.317,-7.134
-0.243,0.219,0.927,-3.171,-1.89,-8.963
-0.194,0.214,0.954,-2.866,-1.585,-11.28
-0.152,0.175,0.982,-3.72,0.244,-11.463
-0.122,0.143,0.998,-5.915,2.927,-11.28
-0.12,0.143,1.006,-8.11,6.707,-12.195
-0.133,0.156,0.968,-10.854,11.89,-13.049
-0.146,0.191,0.946,-13.049,16.037,-14.817
