acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.264,0.482,1.064,39.146,13.171,10.671
-0.242,0.324,1.088,37.195,14.024,11.159
-0.277,0.179,1.091,33.11,10.915,12.866
-0.319,0.138,1.088,29.146,5.122,12.134
-0.336,0.166,1.104,25.0,3.659,11.646
-0.343,0.2,1.089,19.756,1.646,11.463
-0.358,0.219,1.043,14.634,-3.476,9.329
-0.377,0.221,1.001,10.915,-3.232,6.22
-0.336,0.222,0.981,8.415,-0.61,3.049
-0.244,0.211,0.997,6.341,-1.463,-0.305
-0.192,0.194,1.04,5.427,-2.012,-2.256
-0.198,0.183,1.086,3.963,-3.963,-2.744
-0.234,0.186,1.096,1.22,-5.915,-3.11
-0.286,0.197,1.066,-2.683,-2.805,-2.439
-0.3,0.219,1.027,-6.829,1.098,-1.463
-0.267,0.247,1.007,-8.902,0.671,-2.073
-0.25,0.263,0.988,-8.293,-2.561,-3.78
-0.254,0.253,0.977,-8.049,-3.476,-5.244
-0.254,0.225,0.976,-9.939,-2.805,-4.817
-0.242,0.204,0.983,-12.378,-2.561,-4.878
-0.247,0.212,0.987,-13.171,-3.72,-5.976
-0.244,0.231,0.983,-12.866,-7.134,-6.646
-0.24,0.236,0.971,-12.866,-7.744,-5.915
-0.245,0.214,0.958,-12.073,-3.72,-4.024
-0.245,0.19,0.936,-9.939,-2.622,-4.329
-0.259,0.177,0.933,-8.171,-1.463,-5.427
-0.272,0.155,0.924,-8.293,1.159,-4.451
-0.25,0.141,0.912,-8.902,1.341,-4.085
-0.228,0.151,0.903,-7.683,1.524,-5.549
-0.219,0.168,0.902,-5.244,4.817,-6.768
-0.205,0.173,0.91,-2.744,7.561,-6.768
