acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.599,0.595,0.292,-40.854,59.207,30.427
-0.537,0.589,0.255,-34.939,65.671,26.768
-0.496,0.597,0.198,-28.659,71.646,21.585
-0.447,0.615,0.206,-22.195,70.793,15.732
-0.408,0.621,0.221,-17.439,59.329,10.305
-0.446,0.617,0.223,-14.756,42.195,6.768
-0.51,0.622,0.249,-12.073,26.22,5.183
-0.524,0.632,0.28,-8.963,17.012,5.671
-0.52,0.633,0.271,-6.829,10.0,4.451
-0.51,0.639,0.257,-3.78,5.366,3.415
-0.507,0.653,0.225,-1.585,2.927,2.5
-0.486,0.682,0.182,-1.159,2.073,0.854
-0.464,0.694,0.152,-0.122,0.488,-0.793
-0.512,0.693,0.143,1.28,-3.841,0.0
-0.6,0.715,0.127,2.256,-10.549,0.976
-0.653,0.751,0.13,2.561,-16.707,0.671
-0.658,0.772,0.143,3.415,-16.28,1.707
-0.632,0.775,0.158,4.39,-9.878,4.024
-0.591,0.801,0.163,5.732,-2.5,4.146
-0.555,0.828,0.142,7.805,3.78,3.415
-0.527,0.834,0.108,9.39,8.78,5.122
-0.506,0.833,0.071,11.037,11.768,5.854
-0.477,0.831,0.079,11.463,11.402,5.061
-0.463,0.803,0.09,10.915,9.878,5.244
-0.504,0.77,0.102,10.549,7.378,5.915
-0.553,0.743,0.103,10.305,4.512,5.305
-0.552,0.731,0.101,11.402,4.512,4.756
-0.503,0.731,0.121,15.061,8.11,4.756
-0.458,0.718,0.115,18.963,11.098,4.207
-0.403,0.708,0.087,24.207,9.024,3.049
-0.374,0.707,0.067,29.024,6.22,3.598
-0.404,0.701,0.033,30.915,7.561,5.671
-0.424,0.67,-0.021,33.476,11.707,7.134
-0.39,0.626,-0.045,35.793,16.768,8.293
-0.365,0.617,-0.063,38.354,23.232,8.841
-0.355,0.618,-0.055,41.402,33.293,9.512
-0.327,0.613,-0.027,45.305,44.512,9.451
-0.312,0.605,0.001,50.0,51.951,11.28
-0.339,0.598,0.012,54.329,50.549,12.805
