acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-6.774,4.189,-0.676,-100.305,65.427,35.427
-6.704,4.476,-0.679,-98.659,60.0,35.244
-6.656,4.607,-0.823,-97.378,54.756,37.195
-6.517,4.665,-0.966,-97.866,54.756,39.695
-6.071,4.638,-1.004,-102.195,57.683,42.683
-5.683,4.486,-1.371,-107.5,59.024,45.549
-5.595,4.402,-1.776,-110.793,57.866,49.756
-5.888,4.435,-1.466,-110.183,56.463,53.902
-6.499,4.684,-1.146,-105.793,52.988,57.927
-6.691,5.043,-0.825,-97.927,49.939,58.537
-6.833,5.376,-0.155,-91.89,40.915,57.683
-6.605,5.113,0.424,-84.146,32.378,61.524
-6.212,4.891,0.716,-70.244,30.488,57.683
-6.164,4.778,1.087,-64.634,15.244,59.207
-6.442,4.315,1.42,-61.159,-0.915,62.134
-6.442,3.926,1.855,-55.976,-6.951,65.976
-6.456,3.687,2.469,-52.195,-6.524,68.598
-6.767,3.761,2.521,-47.866,-7.317,71.159
-7.036,4.367,1.958,-44.146,-11.585,73.598
-6.738,4.847,1.286,-44.085,-17.195,74.634
-6.224,4.986,0.253,-46.098,-20.976,74.756
-5.835,5.101,-0.679,-49.756,-15.305,74.695
-5.038,5.194,-0.86,-54.39,-9.146,73.415
-5.039,5.113,-1.18,-55.671,-12.561,69.878
-5.467,5.276,-1.165,-55.305,-22.134,65.305
-5.305,5.595,-0.624,-60.183,-26.585,66.524
-5.167,5.524,-0.005,-65.61,-26.159,66.951
-5.064,5.253,0.55,-69.939,-23.902,66.707
-4.497,5.204,1.059,-72.256,-18.354,68.537
-4.217,5.309,0.981,-73.415,-8.841,71.89
-4.469,5.413,0.487,-75.549,-2.378,73.598
-4.434,5.49,0.048,-77.5,-6.707,72.439
-4.189,5.514,0.176,-78.476,-18.476,69.146
-4.157,5.542,0.415,-80.732,-27.866,67.317
-4.064,5.541,0.587,-83.11,-32.5,66.707
-3.716,5.439,1.242,-83.841,-33.902,62.805
-3.42,5.352,1.95,-84.329,-32.073,56.159
-3.347,5.264,2.371,-84.878,-30.366,51.524
-3.431,5.138,2.541,-82.988,-29.024,47.744
-3.63,5.056,2.267,-81.037,-25.244,44.512
-3.487,5.059,2.162,-79.024,-19.512,41.402
-2.804,5.063,2.103,-75.366,-13.415,38.049
-2.083,5.003,2.306,-67.988,-3.476,32.134
-1.769,4.953,2.571,-59.329,14.085,24.939
-1.797,4.902,2.554,-52.683,34.695,20.122
-1.952,4.897,2.308,-46.28,46.951,15.793
-2.431,4.938,1.899,-37.927,47.256,10.244
-2.953,5.011,1.251,-33.049,33.902,4.207
-3.248,5.123,1.012,-30.122,17.134,-2.134
-3.233,5.249,1.651,-24.939,26.646,-5.915
-1.15,5.167,2.691,-14.024,57.744,-6.951
0.829,5.094,2.646,6.159,105.244,-8.293
0.839,5.136,3.302,28.293,162.866,-11.341
-0.438,4.407,5.586,56.829,150.0,-35.305
-4.069,3.9,6.863,82.988,108.11,-44.634
-6.378,4.928,5.444,89.512,81.463,-16.402
-6.611,5.594,3.15,97.134,72.256,1.829
-6.618,5.534,2.04,112.134,68.841,-12.378
-7.446,6.045,1.649,115.549,59.146,-14.634
-7.629,6.921,1.47,112.195,44.695,-6.28
-6.938,7.616,1.563,109.573,27.317,-1.585
-6.286,8.109,1.893,98.537,16.402,0.305
-5.562,8.147,2.322,87.378,14.512,-0.061
-4.128,7.871,2.675,81.463,22.256,-5.061
-3.139,7.428,2.582,82.683,36.159,-11.037
-3.521,7.18,2.029,87.5,47.988,-11.951
-4.045,7.504,1.332,90.061,54.39,-10.793
-4.279,8.296,0.496,85.488,55.549,-9.756
-4.819,9.034,-0.209,75.061,50.488,-8.963
-5.416,9.478,-0.497,60.0,40.854,-9.024
-5.771,9.547,-0.528,43.11,30.793,-9.512
-6.065,9.233,-0.508,29.268,22.195,-8.963
-6.281,8.657,-0.419,20.427,13.537,-5.915
-6.016,8.242,-0.329,14.573,7.134,-3.11
-5.711,7.96,-0.341,9.634,5.305,-1.402
-5.399,7.565,-0.532,7.622,5.427,-0.244
-4.901,7.164,-0.891,7.256,7.744,0.061
-4.517,6.871,-1.088,6.098,11.768,-0.549
-4.483,6.546,-1.299,5.427,14.329,-1.341
-4.639,6.394,-1.491,3.78,15.671,-2.317
-4.795,6.208,-1.47,2.439,15.915,-2.927
-4.947,5.962,-1.448,2.439,14.512,-3.354
-5.127,5.769,-1.559,2.317,11.524,-3.232
-5.073,5.686,-1.566,2.012,7.622,-3.598
-4.906,5.549,-1.51,2.805,4.695,-4.512
-4.781,5.456,-1.514,3.72,3.841,-4.817
-4.562,5.375,-1.54,5.0,4.146,-5.122
-4.321,5.338,-1.585,6.585,5.183,-5.793
-4.191,5.332,-1.544,7.988,7.317,-6.159
-4.17,5.341,-1.548,8.841,9.695,-5.976
-4.061,5.336,-1.489,9.817,11.707,-6.402
-3.944,5.25,-1.425,10.976,13.659,-7.073
-3.833,5.18,-1.488,12.683,15.549,-7.744
-3.85,5.195,-1.591,13.841,17.195,-8.476
-4.041,5.237,-1.708,14.573,17.988,-8.72
-4.237,5.36,-1.826,14.939,17.927,-7.866
-4.408,5.547,-1.911,14.512,16.524,-6.89
-4.547,5.744,-1.868,14.207,15.0,-6.159
-4.561,5.886,-1.81,14.695,14.878,-4.878
-4.477,6.01,-1.765,15.61,16.28,-3.841
-4.422,6.13,-1.681,16.463,17.927,-3.72
