acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-5.396,4.363,1.926,-59.817,23.902,40.427
-5.341,4.71,1.887,-57.744,22.378,36.707
-5.419,4.893,1.746,-55.854,22.012,32.256
-5.519,4.807,1.999,-53.11,20.671,25.854
-5.879,4.562,2.33,-48.232,18.598,21.463
-6.251,4.478,2.198,-44.085,13.415,18.293
-6.924,4.352,2.072,-38.72,0.488,17.317
-7.616,4.166,2.311,-33.476,-19.878,15.0
-7.419,4.208,2.309,-30.183,-35.183,11.28
-6.629,4.308,2.104,-27.073,-35.671,9.756
-5.999,4.264,2.086,-21.585,-26.159,10.671
-6.089,4.218,2.093,-13.659,-17.988,8.841
-6.119,4.355,1.948,-7.683,-15.854,3.476
-5.971,4.262,1.75,-0.122,-20.549,1.341
-6.533,3.898,1.843,4.817,-24.268,3.902
-6.892,3.719,1.71,3.841,-20.854,12.439
-7.301,3.976,1.302,3.11,-12.134,12.073
-7.313,4.016,1.518,-2.378,-6.829,14.085
-6.282,3.854,1.872,-10.183,4.329,23.476
-5.777,3.958,1.452,-13.963,16.28,28.659
-6.116,3.978,0.731,-15.732,15.183,27.439
-5.795,4.199,0.731,-20.305,-0.915,22.866
-5.958,4.307,0.883,-22.134,-22.378,22.134
-7.019,4.273,0.762,-19.451,-42.561,19.695
-7.185,4.459,0.576,-15.427,-55.671,12.805
-6.313,4.599,0.992,-14.024,-51.707,11.585
-5.273,4.503,1.42,-11.951,-34.39,13.902
-5.202,4.226,1.662,-7.317,-19.207,13.232
-6.021,4.101,1.605,-4.207,-10.183,13.171
-6.381,3.985,1.521,-2.927,-2.378,16.159
-6.681,3.868,1.513,-0.61,13.659,22.744
-6.792,3.986,1.678,3.232,33.841,25.793
-6.664,4.168,1.551,6.707,46.585,26.829
-6.902,4.254,1.296,7.073,61.829,32.5
-6.864,4.225,1.247,6.89,91.707,41.646
-6.552,4.255,0.689,9.512,124.207,43.293
-6.373,4.364,0.198,12.744,153.171,46.402
-6.345,4.487,-0.066,16.28,172.805,50.366
-6.846,4.499,-0.315,21.585,179.085,54.329
-7.043,4.688,-0.798,22.378,179.024,57.317
-6.595,4.731,-1.156,21.646,180.427,56.707
