acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-6.67,4.159,-4.722,-79.878,-7.195,19.085
-6.078,4.302,-4.944,-80.671,-13.049,16.037
-5.551,4.316,-4.868,-80.671,-20.305,13.415
-6.172,4.156,-4.691,-78.902,-31.829,16.098
-6.841,4.163,-4.613,-76.585,-43.354,18.11
-6.519,4.123,-4.302,-72.622,-49.268,16.524
-6.084,3.86,-3.748,-65.915,-48.537,16.037
-5.915,3.71,-3.491,-58.476,-42.988,17.378
-5.368,3.807,-3.756,-54.573,-36.402,15.488
-5.264,3.759,-3.253,-53.963,-27.622,11.768
-6.09,3.341,-2.311,-55.122,-24.695,9.634
-6.747,2.915,-1.859,-50.61,-20.549,10.305
-6.387,2.831,-1.96,-46.829,-16.951,11.341
-6.228,3.241,-2.473,-45.854,-12.256,12.378
-5.936,3.73,-3.081,-44.939,-4.329,15.854
-5.125,3.996,-3.616,-43.11,-3.537,19.634
-5.194,4.285,-4.02,-44.39,-8.72,20.915
-5.763,4.587,-4.36,-46.402,-13.415,19.878
-5.898,4.661,-4.209,-47.195,-21.707,19.329
-6.238,4.622,-3.652,-46.402,-30.0,20.915
-6.49,4.36,-2.963,-45.122,-33.293,23.293
-6.119,4.049,-2.628,-43.78,-26.524,24.817
-5.429,4.017,-2.688,-42.683,-13.049,25.122
-4.966,4.098,-2.854,-38.537,1.951,25.244
-4.646,4.167,-3.265,-33.293,14.939,25.549
-4.716,4.454,-3.909,-31.037,23.841,26.037
-4.906,4.846,-4.286,-31.829,23.659,24.512
-5.044,4.882,-4.092,-31.585,17.195,22.378
-5.107,4.688,-3.681,-31.89,8.902,21.646
-4.945,4.544,-3.354,-32.927,3.78,22.378
-4.649,4.426,-3.505,-34.878,4.207,23.415
-4.515,4.4,-3.85,-35.854,7.683,24.268
-4.581,4.447,-3.938,-36.341,12.012,25.061
-4.454,4.608,-3.945,-37.683,17.927,26.28
-4.412,4.662,-3.857,-37.012,22.805,26.037
-4.518,4.551,-3.44,-33.963,20.976,24.451
-4.626,4.565,-3.249,-31.829,9.695,22.622
-4.609,4.681,-3.134,-33.049,-2.5,21.098
-4.199,4.552,-2.961,-33.659,-5.976,19.085
-4.032,4.362,-2.963,-32.744,-2.073,18.293
-3.841,4.318,-3.087,-32.378,5.183,17.866
-3.811,4.229,-3.084,-30.976,13.11,16.768
-3.769,4.145,-2.982,-28.659,18.963,15.488
-3.623,4.173,-2.918,-25.305,23.232,13.963
-3.481,4.15,-2.896,-20.366,23.72,11.829
-3.736,4.017,-2.838,-17.012,18.78,10.671
-3.903,4.028,-2.821,-14.695,11.28,10.061
-3.774,4.15,-2.767,-11.159,5.0,9.146
-3.745,4.376,-2.794,-8.415,3.537,9.024
-3.838,4.486,-2.707,-4.207,6.341,9.146
-3.869,4.579,-2.612,2.256,13.476,9.817
-3.565,4.732,-2.585,8.049,22.561,9.634
-3.272,4.868,-2.635,15.732,33.72,10.61
-3.606,4.856,-2.854,24.756,46.098,13.841
-4.049,4.872,-3.194,32.134,49.268,16.098
-4.325,4.921,-3.457,39.024,44.39,16.829
-4.418,4.983,-3.604,44.268,34.878,16.098
-4.236,5.274,-3.881,45.976,22.5,13.598
-4.13,5.658,-4.082,45.671,12.378,10.305
-4.193,5.918,-4.153,45.0,7.805,7.073
-4.474,6.132,-3.931,46.951,4.573,6.037
-5.014,6.289,-3.38,49.634,6.037,7.317
-5.66,6.154,-2.673,52.5,12.683,7.561
-6.195,6.104,-2.311,55.793,21.098,6.768
-6.391,6.421,-2.266,55.61,18.659,9.39
-6.246,6.386,-2.452,56.341,15.244,8.293
-5.711,6.396,-3.038,52.561,18.537,5.244
-5.147,6.632,-3.571,46.951,20.061,2.073
-4.867,6.598,-3.909,41.463,17.439,-1.037
-4.628,6.463,-4.22,34.756,16.037,-3.415
-4.208,6.286,-4.574,27.805,17.439,-5.305
-3.931,6.185,-4.983,22.256,18.415,-7.256
-4.135,6.051,-5.271,16.768,17.195,-8.72
-4.3,5.753,-5.33,11.22,14.756,-9.695
-4.292,5.448,-5.235,6.524,12.134,-9.634
-4.319,5.229,-5.191,3.232,8.72,-8.963
-4.248,5.051,-5.208,0.61,4.939,-8.72
-4.123,4.997,-5.296,-2.988,1.463,-8.232
-4.027,4.896,-5.337,-5.183,-1.646,-7.439
-3.973,4.722,-5.412,-6.402,-3.476,-6.22
-3.896,4.547,-5.426,-6.037,-3.841,-5.183
