acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-8.576,3.914,-3.731,-20.793,15.793,9.634
-8.802,3.302,-3.055,-17.927,4.146,8.963
-8.817,2.898,-2.288,-18.171,-5.244,8.659
-8.369,2.677,-1.675,-17.012,-10.427,13.049
-8.118,2.629,-1.617,-17.195,-11.341,19.329
-8.301,2.727,-2.277,-21.037,-9.085,24.817
-7.93,2.799,-3.29,-23.171,-5.793,28.293
-6.924,2.929,-4.004,-27.012,-5.793,28.232
-6.578,3.38,-4.521,-31.524,-10.854,26.89
-6.349,3.645,-4.863,-32.744,-14.939,25.366
-5.831,3.623,-4.695,-31.159,-13.72,22.195
-5.467,3.641,-4.522,-31.646,-12.5,19.329
-5.46,3.795,-4.479,-32.927,-11.341,16.22
-5.258,3.783,-4.385,-32.256,-5.305,13.049
-5.056,3.759,-4.246,-31.768,5.732,11.463
-5.144,3.78,-4.125,-31.585,17.5,9.756
-5.323,3.732,-4.153,-31.585,25.0,8.171
-5.393,3.657,-4.201,-32.317,30.0,6.829
-5.335,3.75,-4.264,-33.049,33.537,5.854
-5.34,3.867,-4.48,-32.988,31.768,4.512
-5.352,4.063,-4.859,-33.963,24.024,2.744
-5.276,4.109,-5.002,-35.549,16.463,1.646
-5.191,4.033,-5.0,-37.439,10.915,1.159
-5.332,3.918,-4.798,-38.293,7.439,1.89
-5.467,3.904,-4.668,-39.634,6.585,2.805
-5.417,3.928,-4.567,-41.707,7.439,3.598
-5.254,3.819,-4.472,-43.049,9.451,5.366
-5.205,3.741,-4.606,-44.878,9.634,7.073
-5.3,3.764,-4.631,-46.28,4.512,8.537
-5.216,3.765,-4.692,-47.866,-1.829,9.939
-5.173,3.844,-4.794,-49.39,-7.622,10.976
-5.186,3.896,-4.681,-50.549,-12.744,10.793
-5.027,3.824,-4.39,-50.793,-15.793,10.244
-4.841,3.714,-4.189,-51.402,-16.402,10.793
-4.842,3.713,-4.141,-52.744,-15.915,11.463
-4.79,3.676,-4.045,-53.598,-16.037,11.829
-4.66,3.63,-4.0,-54.268,-16.402,12.927
-4.581,3.711,-4.265,-56.098,-19.451,14.573
-4.536,3.771,-4.257,-56.28,-24.878,15.61
-4.514,3.836,-4.063,-56.402,-30.427,16.037
-4.3,3.995,-3.877,-55.976,-31.098,15.976
-4.071,4.049,-3.524,-53.537,-29.268,15.915
-4.186,3.935,-3.231,-49.817,-24.573,17.317
-4.246,3.773,-3.188,-47.378,-16.524,18.415
-4.099,3.561,-3.284,-46.402,-14.634,19.024
-4.228,3.451,-3.606,-45.061,-15.793,21.341
-4.405,3.424,-3.777,-43.963,-13.963,23.659
-4.351,3.376,-3.892,-42.683,-9.207,25.671
-4.134,3.452,-3.873,-41.28,-1.037,28.049
-3.979,3.517,-3.841,-38.537,5.671,30.305
-3.965,3.637,-3.716,-35.549,9.695,31.28
-4.024,3.561,-3.423,-31.89,16.341,31.341
-4.111,3.571,-3.167,-28.476,26.098,32.439
-4.136,3.632,-2.928,-22.683,33.841,33.293
-3.916,3.804,-2.921,-14.695,38.415,32.805
-3.703,4.312,-2.842,-5.061,37.805,31.829
-4.032,4.903,-2.807,5.366,37.622,32.622
-3.986,5.439,-2.855,17.195,38.841,33.415
-3.837,5.97,-2.899,30.122,39.146,34.512
-3.857,6.16,-2.725,41.951,37.683,34.634
-3.909,6.119,-2.558,51.463,40.305,34.695
-4.157,6.145,-2.33,58.11,42.439,35.854
-5.037,6.346,-1.653,65.793,30.61,43.659
-5.975,6.422,-0.619,72.5,19.939,49.207
-6.675,5.925,-0.211,77.073,24.146,42.5
-7.196,5.617,-1.282,72.439,30.183,28.598
-6.772,6.13,-2.571,69.756,29.695,27.805
-6.833,6.658,-3.213,66.768,30.305,26.524
-6.966,6.374,-3.859,61.098,30.976,22.927
-6.438,6.301,-4.276,54.939,32.683,18.78
-5.82,6.252,-4.591,47.866,34.878,14.146
-5.325,6.038,-5.063,39.207,34.207,9.573
-4.764,5.725,-5.458,32.256,30.244,4.695
-4.297,5.56,-5.764,26.037,26.646,-0.061
-4.454,5.496,-6.221,18.415,21.951,-2.988
-4.626,5.307,-6.282,11.28,13.11,-6.037
-4.499,5.1,-5.892,6.098,5.854,-8.293
-4.322,4.974,-5.513,2.012,0.244,-8.841
-4.329,4.827,-5.156,-0.793,-5.671,-8.659
-4.477,4.688,-4.956,-2.5,-10.183,-8.293
-4.372,4.584,-4.777,-3.537,-12.439,-8.171
-4.215,4.545,-4.573,-4.573,-13.232,-7.988
-4.131,4.491,-4.485,-5.427,-13.659,-7.378
-3.855,4.468,-4.444,-5.244,-12.256,-7.195
-3.682,4.451,-4.377,-4.207,-8.049,-7.012
-3.624,4.376,-4.382,-2.256,-2.805,-6.89
-3.573,4.298,-4.495,-0.305,3.171,-6.829
-3.638,4.287,-4.661,1.28,7.378,-6.585
-3.699,4.27,-4.754,3.11,10.61,-6.768
-3.745,4.306,-4.895,4.207,13.476,-6.524
-3.833,4.383,-4.979,4.329,14.451,-5.854
-3.857,4.383,-4.976,4.268,13.72,-5.488
-3.813,4.397,-5.004,3.415,13.11,-5.366
-3.859,4.435,-5.026,3.415,13.049,-5.183
-3.996,4.488,-5.073,3.659,12.805,-5.427
-4.123,4.6,-5.145,3.72,13.232,-5.61
-4.203,4.652,-5.101,3.902,14.146,-5.915
-4.278,4.617,-4.964,4.268,14.573,-6.037
-4.378,4.674,-4.907,4.634,15.671,-5.732
-4.511,4.796,-4.877,5.0,17.805,-5.61
-4.601,4.886,-4.839,5.061,19.451,-5.732
-4.689,4.98,-4.83,4.939,20.061,-5.549
-4.761,5.058,-4.839,4.512,18.293,-5.183
-4.863,5.123,-4.878,4.085,12.988,-4.634
-4.874,5.179,-4.867,3.78,7.988,-4.939
-4.881,5.189,-4.908,2.988,4.39,-5.915
-4.822,5.182,-4.913,1.89,2.134,-6.341
-4.488,5.14,-4.8,1.28,3.78,-7.378
-4.309,5.074,-4.667,0.976,6.159,-8.354
-4.498,4.979,-4.607,0.61,9.268,-8.72
-4.558,4.919,-4.538,0.122,10.183,-9.695
-4.489,4.849,-4.373,1.037,8.659,-11.28
-4.483,4.787,-4.172,2.134,4.756,-13.476
-4.344,4.748,-4.005,3.841,0.671,-15.671
-4.308,4.688,-4.014,6.646,-3.78,-16.28
-4.399,4.615,-4.043,8.841,-3.415,-17.744
-4.195,4.472,-4.123,11.524,0.366,-22.378
-4.285,4.462,-4.285,13.232,-1.22,-25.0
