acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-7.511,4.042,-1.548,-20.732,-2.927,23.476
-7.529,3.873,-1.13,-12.866,6.28,25.061
-7.084,3.549,-0.405,-4.695,17.439,23.963
-6.869,3.125,-0.129,2.317,25.732,24.939
-7.213,2.93,-0.61,4.512,29.878,27.805
-7.211,3.286,-1.626,1.89,29.085,29.512
-6.722,3.789,-2.582,-1.037,27.622,28.72
-5.921,4.055,-3.13,-1.768,23.659,23.78
-5.533,4.089,-3.308,-1.707,17.927,20.0
-5.592,4.147,-3.672,-4.024,9.817,20.305
-5.919,4.106,-3.895,-7.256,2.744,20.793
-6.141,4.181,-3.954,-9.817,-1.829,21.22
-6.202,4.414,-4.055,-12.378,-9.451,20.549
-5.93,4.49,-4.271,-15.671,-14.512,19.085
-5.482,4.339,-4.275,-18.598,-12.012,18.902
-5.147,4.274,-4.118,-21.159,-0.183,20.061
-4.872,4.353,-3.91,-23.537,16.098,21.402
-4.668,4.421,-3.511,-23.476,31.585,22.5
-4.578,4.483,-3.146,-22.805,40.061,23.476
-4.591,4.503,-3.259,-23.963,37.5,23.476
-4.703,4.534,-3.487,-24.329,32.927,24.695
-4.775,4.44,-3.591,-24.39,30.122,25.671
-4.901,4.407,-3.616,-25.305,27.073,27.195
-4.947,4.615,-3.458,-25.976,25.244,29.024
-4.861,4.821,-3.104,-26.646,26.585,30.976
-4.766,4.989,-2.652,-26.646,30.915,32.622
-4.656,5.08,-2.247,-25.244,35.61,33.78
-4.639,5.142,-2.214,-23.232,38.598,35.122
-4.709,4.953,-2.388,-20.488,39.817,35.793
-4.755,4.767,-2.587,-17.927,37.683,36.037
-4.773,4.69,-2.7,-14.939,31.951,36.341
-4.793,4.601,-2.788,-11.22,26.22,36.098
-4.628,4.594,-2.669,-6.951,25.122,35.244
-4.34,4.668,-2.609,-2.988,28.11,34.695
-4.214,4.854,-2.669,2.195,32.073,34.268
-4.052,5.228,-2.687,8.902,37.866,33.841
-3.908,5.578,-2.643,16.524,43.293,33.537
-3.867,5.751,-2.65,23.841,44.024,31.646
-3.92,5.971,-2.673,29.207,34.39,27.683
-4.349,6.122,-2.632,35.183,17.561,26.098
-4.414,6.026,-2.527,41.22,6.463,24.817
-4.652,5.897,-2.602,44.085,8.415,23.232
-5.052,5.994,-2.91,45.061,13.354,25.122
-5.401,6.206,-3.121,46.341,21.037,22.927
-5.584,6.211,-3.118,47.317,27.012,20.0
-5.911,6.09,-3.226,46.89,30.671,19.146
-5.994,5.979,-3.434,44.451,32.622,15.366
-5.658,5.76,-3.695,41.28,29.329,10.244
-5.274,5.631,-3.937,36.768,23.049,5.915
-5.13,5.468,-4.388,31.707,17.927,2.134
-4.975,5.336,-4.955,25.793,12.195,-1.89
-4.848,5.432,-5.327,19.878,5.61,-6.098
-4.691,5.47,-5.389,14.329,0.427,-9.634
-4.211,5.231,-5.254,10.793,-1.22,-12.439
-3.951,5.016,-4.941,9.207,-0.915,-14.268
-4.029,4.904,-4.815,8.293,-0.61,-14.817
-4.037,4.798,-4.816,8.171,0.244,-14.634
-4.026,4.697,-4.833,8.659,1.402,-13.963
-4.089,4.665,-4.848,9.207,0.793,-12.805
-3.932,4.59,-4.852,10.0,-1.159,-11.89
-3.667,4.497,-4.772,11.768,-0.732,-10.976
-3.498,4.44,-4.833,13.232,1.951,-10.183
-3.524,4.454,-4.962,13.72,4.695,-9.695
-3.652,4.403,-5.027,14.512,7.683,-9.024
-3.713,4.26,-5.003,15.671,12.683,-8.171
-3.855,4.209,-5.146,15.915,17.622,-7.012
-3.945,4.129,-5.277,16.89,19.695,-6.037
-3.958,4.107,-5.399,17.622,20.183,-4.939
-4.003,4.245,-5.618,17.134,20.488,-4.024
-4.084,4.338,-5.771,15.976,19.817,-3.476
-4.2,4.386,-5.891,14.329,17.378,-2.744
-4.263,4.441,-5.907,12.134,13.354,-2.805
-4.136,4.451,-5.71,10.366,10.061,-3.659
-3.909,4.431,-5.504,8.963,10.122,-4.207
-3.799,4.488,-5.427,7.866,11.585,-4.939
-3.777,4.557,-5.336,7.256,11.341,-6.341
-3.892,4.625,-5.246,6.768,11.646,-6.829
-4.046,4.668,-5.23,7.012,12.317,-7.195
-4.189,4.782,-5.313,6.829,13.171,-7.439
-4.352,4.903,-5.334,6.829,13.598,-7.744
-4.378,4.911,-5.226,7.195,14.146,-8.72
-4.311,4.845,-5.173,7.439,15.915,-9.39
-4.198,4.767,-5.052,7.5,17.012,-10.0
-4.042,4.712,-4.822,7.561,17.683,-11.28
-3.984,4.682,-4.646,7.927,18.841,-12.5
-3.997,4.672,-4.523,8.659,19.878,-13.902
-4.085,4.71,-4.383,10.122,19.939,-16.768
