acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.356,0.492,0.377,19.573,111.707,-8.72
-0.33,0.506,0.376,22.5,114.634,-14.085
-0.318,0.524,0.375,25.61,122.744,-16.707
-0.342,0.533,0.358,27.744,128.11,-20.183
-0.365,0.55,0.336,29.268,127.744,-25.244
-0.402,0.568,0.3,29.573,125.366,-29.207
-0.442,0.585,0.244,26.951,125.183,-32.317
-0.445,0.596,0.224,24.451,127.439,-36.707
-0.431,0.574,0.223,22.866,131.402,-40.915
-0.463,0.542,0.208,20.244,136.768,-42.744
-0.52,0.531,0.165,17.012,142.134,-44.512
-0.543,0.548,0.112,13.963,146.281,-47.561
-0.564,0.578,0.076,12.256,146.22,-53.415
-0.589,0.601,0.061,12.256,140.671,-60.671
-0.61,0.603,0.009,9.451,137.439,-65.854
-0.627,0.597,-0.123,1.402,150.183,-68.902
-0.637,0.578,-0.155,3.598,176.524,-76.159
-0.537,0.49,0.055,22.134,194.695,-88.963
-0.412,0.399,0.243,40.122,188.842,-93.232
-0.579,0.429,0.31,53.72,151.707,-88.11
-0.898,0.587,0.282,63.232,97.256,-80.61
-1.094,0.817,0.232,66.037,55.0,-74.878
-1.117,1.046,0.195,65.427,44.146,-71.524
-0.99,1.186,0.166,63.293,60.671,-67.805
-0.85,1.209,0.175,62.927,84.695,-60.061
-0.833,1.128,0.209,63.232,98.354,-51.037
-0.944,1.018,0.237,61.22,92.439,-43.354
-1.115,0.943,0.196,55.366,70.915,-37.927
-1.219,0.916,0.09,46.28,47.195,-31.829
-1.217,0.919,-0.01,37.439,31.341,-22.683
-1.167,0.935,-0.042,31.829,24.39,-17.012
-1.074,0.933,0.045,29.451,20.671,-14.634
-0.998,0.911,0.117,25.854,16.22,-10.427
-0.976,0.884,0.111,22.195,11.22,-6.22
-0.965,0.855,0.047,18.659,7.683,-3.841
-0.942,0.841,-0.026,13.415,5.61,-0.549
-0.935,0.835,-0.089,8.476,5.305,3.537
-0.961,0.814,-0.139,4.329,6.768,7.744
-0.934,0.783,-0.177,-0.122,6.463,7.927
-0.91,0.745,-0.203,-3.902,8.049,8.476
-0.851,0.678,-0.198,-5.0,10.244,8.415
-0.791,0.609,-0.186,-5.915,10.061,9.146
-0.759,0.575,-0.171,-6.524,8.354,7.988
-0.751,0.566,-0.174,-6.768,6.707,5.305
-0.743,0.564,-0.162,-5.976,4.573,4.329
-0.725,0.563,-0.158,-5.427,1.524,5.61
-0.738,0.568,-0.156,-5.122,0.488,7.012
-0.756,0.566,-0.156,-6.463,1.585,4.024
-0.747,0.567,-0.163,-6.22,1.463,1.037
-0.743,0.557,-0.167,-5.305,1.951,1.524
-0.738,0.554,-0.173,-4.573,4.39,1.22
-0.736,0.563,-0.18,-2.683,7.256,-0.366
-0.724,0.551,-0.177,-0.244,8.293,-2.622
-0.723,0.532,-0.166,1.89,7.561,-3.171
-0.743,0.532,-0.17,2.622,5.366,-2.195
-0.773,0.562,-0.187,2.378,3.354,-0.61
-0.802,0.595,-0.205,1.341,3.11,0.793
-0.826,0.615,-0.216,0.976,3.415,1.524
-0.835,0.612,-0.226,0.549,2.5,1.707
-0.854,0.61,-0.231,-0.244,0.61,2.256
-0.887,0.611,-0.231,0.61,-1.829,2.683
-0.889,0.615,-0.213,2.195,-3.415,4.146
-0.899,0.617,-0.183,3.171,-6.098,4.817
-0.93,0.634,-0.174,4.634,-10.061,5.122
-0.936,0.651,-0.164,3.537,-12.317,5.244
-0.928,0.671,-0.15,0.61,-14.207,4.878
-0.929,0.69,-0.134,-1.037,-16.22,4.268
-0.937,0.692,-0.121,0.0,-17.561,8.537
-0.935,0.681,-0.109,-1.646,-26.585,10.732
-0.946,0.687,-0.096,-4.512,-42.256,10.61
-0.992,0.687,-0.1,-7.317,-47.866,9.695
-0.965,0.682,-0.104,-7.5,-49.268,8.049
-0.892,0.676,-0.109,-10.244,-59.207,4.634
-0.902,0.678,-0.087,-4.695,-76.646,11.098
-1.0,0.653,-0.103,-11.463,-68.232,8.841
-0.917,0.659,-0.142,-8.415,-65.0,-1.89
-0.73,0.592,-0.152,-4.085,-82.256,-17.988
-0.694,0.554,-0.153,2.744,-88.232,-20.976
-0.722,0.524,-0.104,-0.366,-76.22,-22.988
-0.63,0.553,-0.061,3.293,-68.049,-30.976
