acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.027,0.592,0.362,16.463,215.976,-73.354
0.18,0.448,0.387,30.366,204.756,-82.256
-0.364,0.378,0.361,33.354,166.281,-69.573
-0.979,0.432,0.385,34.573,108.232,-57.744
-1.299,0.579,0.374,29.207,56.524,-51.159
-1.255,0.799,0.357,24.207,33.598,-48.476
-0.918,0.95,0.403,28.049,42.073,-51.89
-0.555,0.969,0.414,35.061,58.841,-55.061
-0.458,0.971,0.409,37.805,59.756,-54.695
-0.613,1.012,0.384,36.341,42.256,-49.817
-0.811,1.072,0.351,32.744,19.39,-42.134
-0.917,1.114,0.307,27.744,0.366,-32.683
-0.966,1.142,0.257,22.5,-10.366,-22.683
-0.977,1.135,0.204,18.049,-11.524,-14.268
-0.94,1.104,0.158,13.11,-6.037,-6.524
-0.896,1.07,0.117,7.439,-0.305,1.463
-0.878,1.026,0.095,3.354,0.427,7.988
-0.852,0.962,0.093,0.976,-1.341,11.22
-0.811,0.891,0.106,0.732,-3.902,11.341
-0.774,0.82,0.125,1.768,-7.256,9.39
-0.739,0.764,0.125,2.561,-11.89,7.256
-0.728,0.736,0.098,1.28,-15.244,5.427
-0.743,0.721,0.054,-1.28,-15.854,4.512
-0.742,0.709,0.021,-3.476,-12.805,4.024
-0.744,0.688,0.005,-4.634,-8.171,3.841
-0.745,0.659,0.003,-4.268,-3.415,3.476
-0.732,0.643,0.001,-3.049,0.549,2.683
-0.709,0.643,0.016,-1.402,2.439,1.098
-0.669,0.654,0.035,-0.305,3.72,-0.122
-0.639,0.668,0.054,1.28,4.695,-1.037
-0.629,0.665,0.07,3.78,4.207,-2.134
-0.633,0.647,0.075,5.915,2.256,-2.927
-0.639,0.648,0.073,6.037,0.732,-2.317
-0.662,0.66,0.058,5.732,-0.305,-1.585
-0.672,0.671,0.042,5.671,-0.915,-0.61
-0.689,0.672,0.032,5.427,-1.951,0.488
-0.701,0.68,0.029,5.305,-3.354,1.402
-0.702,0.688,0.035,5.854,-3.659,2.5
-0.714,0.692,0.04,6.707,-4.024,3.293
-0.72,0.7,0.041,7.561,-5.61,3.415
-0.717,0.71,0.05,7.622,-6.524,3.598
-0.711,0.712,0.053,7.012,-6.402,4.085
-0.708,0.708,0.057,6.402,-6.22,4.085
-0.713,0.697,0.061,6.341,-8.476,4.024
-0.743,0.693,0.075,6.707,-13.72,4.39
-0.77,0.698,0.095,7.561,-20.0,5.183
-0.768,0.707,0.114,8.171,-24.39,5.793
-0.758,0.719,0.116,8.78,-26.951,5.183
-0.764,0.714,0.123,10.549,-30.122,3.659
-0.76,0.696,0.155,14.085,-35.0,2.317
-0.756,0.685,0.139,16.585,-41.89,-0.61
-0.757,0.7,0.079,14.634,-48.415,-4.939
-0.753,0.719,0.009,9.878,-51.159,-12.805
-0.694,0.707,-0.008,9.817,-51.402,-23.598
-0.596,0.661,0.029,11.951,-50.183,-33.354
-0.568,0.639,0.068,12.988,-50.671,-40.183
-0.609,0.64,0.086,13.659,-54.573,-47.744
-0.65,0.639,0.098,13.537,-60.244,-55.732
-0.667,0.618,0.139,12.378,-66.341,-64.756
-0.65,0.581,0.189,13.171,-69.512,-74.939
-0.648,0.55,0.22,14.939,-72.683,-82.439
-0.685,0.536,0.211,15.793,-78.415,-87.622
-0.721,0.533,0.183,15.793,-88.293,-93.841
-0.741,0.537,0.176,15.183,-99.451,-100.061
-0.776,0.535,0.185,15.61,-107.622,-103.963
-0.795,0.509,0.198,14.817,-113.598,-108.72
-0.741,0.488,0.25,14.39,-119.817,-115.488
-0.679,0.466,0.319,13.354,-125.671,-121.768
-0.651,0.469,0.344,12.988,-128.842,-126.037
-0.658,0.487,0.309,11.037,-127.805,-128.598
-0.71,0.512,0.274,8.598,-124.268,-126.402
-0.817,0.536,0.262,5.671,-120.976,-122.256
