acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.253,0.478,0.14,8.841,160.0,-11.89
-0.282,0.449,0.132,11.646,155.488,-21.037
-0.252,0.437,0.135,16.707,144.024,-30.793
-0.293,0.451,0.152,22.988,130.549,-39.024
-0.388,0.463,0.176,29.756,115.854,-43.598
-0.455,0.476,0.156,34.146,109.146,-46.037
-0.515,0.493,0.157,37.683,116.768,-45.366
-0.538,0.497,0.204,43.171,134.024,-51.28
-0.435,0.503,0.256,52.256,152.683,-66.037
-0.316,0.516,0.272,59.146,166.768,-77.256
-0.364,0.541,0.245,59.329,171.281,-78.415
-0.541,0.579,0.2,58.293,161.22,-74.878
-0.72,0.596,0.173,61.037,139.024,-74.268
-0.813,0.617,0.119,61.037,120.0,-75.671
-0.822,0.712,0.073,58.659,116.524,-77.378
-0.756,0.828,0.076,58.11,122.134,-80.0
-0.631,0.89,0.109,60.915,126.22,-81.951
-0.634,0.897,0.133,64.939,122.317,-81.768
-0.772,0.918,0.14,69.329,111.22,-78.537
-0.913,0.967,0.154,73.049,97.317,-76.341
-0.964,1.032,0.18,74.695,83.963,-70.366
-0.94,1.104,0.22,73.841,74.817,-59.634
-0.9,1.166,0.257,70.854,65.366,-48.841
-0.887,1.211,0.286,65.671,52.866,-39.634
-0.931,1.241,0.285,57.378,39.39,-30.427
-0.994,1.259,0.246,45.244,26.646,-18.963
-1.041,1.281,0.186,32.195,19.085,-5.671
-1.083,1.283,0.108,18.659,16.159,6.28
-1.058,1.234,0.048,8.841,11.159,15.305
-1.038,1.125,0.021,2.927,5.976,20.976
-1.008,0.995,0.004,0.915,0.915,20.122
-0.91,0.893,-0.003,0.427,-0.366,18.841
-0.821,0.831,-0.036,0.122,1.524,17.866
-0.774,0.809,-0.075,0.671,3.476,17.012
-0.758,0.795,-0.102,0.549,4.39,15.549
-0.746,0.772,-0.139,0.0,4.573,14.268
-0.719,0.741,-0.186,-0.305,5.732,13.537
-0.711,0.711,-0.205,-0.915,7.5,12.256
-0.714,0.699,-0.212,-0.427,8.72,10.427
-0.692,0.688,-0.197,0.488,7.866,9.39
-0.679,0.679,-0.19,0.488,5.61,8.902
-0.679,0.694,-0.174,0.671,3.902,9.085
-0.665,0.706,-0.143,1.463,4.207,9.878
-0.647,0.703,-0.103,2.744,6.22,10.549
-0.631,0.695,-0.085,3.598,8.171,10.732
-0.621,0.705,-0.089,3.293,8.963,10.732
-0.619,0.721,-0.092,2.744,9.085,9.939
-0.619,0.716,-0.085,2.378,8.72,8.963
-0.622,0.697,-0.079,1.646,8.232,8.537
-0.628,0.7,-0.08,0.61,7.988,8.293
-0.631,0.71,-0.089,-0.305,7.805,8.354
-0.637,0.714,-0.104,-1.098,7.317,8.232
