acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.484,0.445,0.117,43.11,137.5,-43.354
-0.52,0.461,0.189,50.61,157.134,-51.89
-0.438,0.469,0.238,60.732,166.707,-66.037
-0.397,0.501,0.229,67.439,157.195,-80.244
-0.509,0.575,0.153,62.805,136.951,-87.683
-0.691,0.689,0.106,52.683,117.988,-86.524
-0.83,0.777,0.116,48.232,105.671,-84.939
-0.902,0.82,0.144,49.451,101.585,-85.427
-0.911,0.865,0.195,54.024,102.561,-84.512
-0.866,0.926,0.268,59.024,105.732,-79.939
-0.822,0.971,0.317,63.354,109.146,-73.72
-0.814,0.991,0.32,67.988,111.342,-70.244
-0.814,1.03,0.296,70.0,110.976,-68.476
-0.782,1.109,0.263,67.195,106.037,-62.744
-0.777,1.19,0.229,61.28,96.22,-52.439
-0.839,1.211,0.228,55.0,81.829,-41.159
-0.942,1.168,0.241,50.305,63.293,-33.293
-1.031,1.116,0.247,44.329,44.39,-26.463
-1.068,1.094,0.223,36.098,31.768,-17.439
-1.035,1.086,0.21,28.72,26.341,-10.0
-0.977,1.054,0.179,24.207,22.805,-5.183
-0.959,1.039,0.112,17.439,20.366,3.415
-0.951,1.02,0.036,8.72,13.72,5.183
-0.963,0.991,-0.052,4.634,4.939,7.866
-0.967,0.918,-0.093,0.732,0.976,12.622
-0.935,0.875,-0.121,-4.207,2.073,14.573
-0.89,0.854,-0.126,-3.11,6.341,15.244
-0.83,0.773,-0.087,-1.951,8.537,13.841
-0.782,0.709,-0.081,-1.402,7.5,12.012
-0.77,0.68,-0.104,-2.134,4.573,10.183
-0.749,0.674,-0.135,-1.768,2.622,9.024
-0.723,0.661,-0.159,-2.622,2.927,7.256
-0.704,0.657,-0.179,-2.5,3.72,6.28
-0.714,0.651,-0.193,-2.805,3.841,6.402
-0.707,0.648,-0.179,-2.256,2.927,6.037
-0.7,0.642,-0.146,-0.976,1.89,5.549
-0.696,0.636,-0.127,0.427,1.951,5.427
-0.669,0.641,-0.107,1.951,3.476,4.634
-0.645,0.649,-0.09,3.049,5.061,4.024
-0.651,0.656,-0.091,3.476,6.159,4.329
-0.665,0.664,-0.104,3.354,6.89,4.329
-0.667,0.67,-0.117,3.049,7.927,5.0
-0.674,0.666,-0.127,2.317,8.415,5.0
-0.686,0.655,-0.139,2.317,7.012,4.573
-0.706,0.644,-0.142,2.988,4.024,4.634
-0.714,0.648,-0.137,3.232,1.524,5.0
-0.717,0.664,-0.13,3.659,0.122,4.817
-0.712,0.662,-0.127,5.0,-2.012,4.024
-0.688,0.656,-0.129,5.793,-2.195,3.598
-0.676,0.664,-0.13,6.524,-0.183,2.988
-0.667,0.673,-0.116,7.561,2.439,2.073
-0.667,0.683,-0.09,7.317,3.171,1.89
-0.703,0.696,-0.081,6.768,-0.854,0.61
-0.755,0.708,-0.087,6.768,-7.622,-0.549
