acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.03,0.71,0.345,-65.0,111.646,51.098
-0.111,0.696,0.384,-69.512,97.622,42.256
-0.176,0.623,0.358,-65.671,65.366,35.854
-0.34,0.566,0.24,-54.39,26.341,31.159
-0.448,0.55,0.57,-40.61,-27.5,21.402
-0.059,0.528,0.873,-32.134,-87.5,7.927
0.202,0.579,1.129,-25.244,-55.244,15.183
0.238,0.543,1.131,-12.317,9.146,19.756
-0.066,0.55,0.888,-6.037,27.439,13.841
-0.212,0.749,0.643,-12.439,4.451,11.159
-0.098,0.911,0.565,-16.524,-5.671,2.927
-0.041,0.841,0.58,-10.549,8.415,-4.024
-0.13,0.75,0.531,-5.427,15.305,-6.524
-0.248,0.816,0.441,-7.195,7.317,-4.024
-0.276,0.882,0.392,-11.707,-6.768,0.366
-0.227,0.885,0.403,-15.61,-18.232,1.402
-0.146,0.876,0.444,-17.5,-19.939,0.671
-0.097,0.861,0.478,-16.89,-12.317,0.427
-0.101,0.827,0.507,-15.549,-3.415,1.098
-0.154,0.822,0.53,-15.183,3.902,1.28
-0.177,0.823,0.511,-15.427,9.512,2.317
-0.173,0.818,0.502,-15.0,14.39,1.463
-0.187,0.778,0.5,-14.39,14.939,0.366
-0.19,0.746,0.484,-13.963,10.427,-1.22
-0.164,0.736,0.454,-12.5,7.805,-4.268
-0.125,0.714,0.422,-9.939,9.268,-7.378
-0.104,0.702,0.396,-7.561,10.915,-10.732
-0.118,0.701,0.372,-6.707,9.512,-14.573
-0.163,0.712,0.342,-5.488,6.037,-17.5
-0.2,0.711,0.326,-2.622,1.951,-19.451
-0.205,0.696,0.336,1.159,3.537,-19.939
-0.197,0.677,0.375,6.159,11.159,-19.634
-0.202,0.625,0.419,12.439,22.317,-22.866
-0.186,0.588,0.437,19.573,36.463,-28.11
-0.148,0.572,0.438,26.707,52.317,-31.89
-0.116,0.524,0.386,34.085,62.561,-36.402
-0.131,0.5,0.305,39.268,63.963,-42.5
-0.171,0.527,0.228,42.561,58.293,-48.232
-0.212,0.529,0.174,46.951,52.195,-53.049
-0.225,0.551,0.148,53.171,50.793,-57.988
-0.231,0.578,0.151,58.963,54.451,-63.11
-0.266,0.574,0.141,65.244,60.61,-67.805
-0.321,0.559,0.137,71.89,70.305,-70.183
-0.328,0.537,0.151,78.476,83.049,-74.024
-0.321,0.532,0.164,84.024,96.829,-78.963
-0.341,0.535,0.166,89.024,107.744,-82.805
-0.361,0.535,0.175,93.171,111.585,-86.768
-0.358,0.549,0.186,96.646,108.476,-93.171
-0.368,0.567,0.2,101.098,104.695,-100.0
-0.395,0.583,0.186,107.195,102.683,-105.732
-0.456,0.696,0.124,111.829,100.549,-109.329
-0.546,0.813,0.062,114.634,99.573,-110.854
-0.612,0.833,0.001,116.159,104.024,-111.159
-0.63,0.858,-0.047,115.671,114.268,-110.061
-0.657,0.859,-0.091,113.598,125.0,-109.146
-0.721,0.845,-0.139,112.683,128.72,-105.976
-0.797,0.845,-0.162,110.793,120.671,-101.22
-0.829,0.897,-0.14,107.5,108.11,-96.159
-0.834,1.036,-0.093,105.305,100.488,-90.427
-0.869,1.158,-0.036,102.5,98.171,-83.537
-0.938,1.243,0.017,95.0,98.354,-73.963
-0.957,1.256,0.073,87.073,99.207,-64.817
-0.904,1.241,0.105,77.683,97.134,-57.073
-0.853,1.218,0.099,68.293,89.512,-51.037
-0.843,1.192,0.1,59.39,73.537,-45.122
-0.886,1.203,0.063,50.549,52.561,-38.598
-0.933,1.248,0.022,39.634,34.512,-31.037
-0.943,1.267,0.025,28.598,21.951,-23.476
-0.943,1.265,0.065,17.805,12.439,-16.037
-0.883,1.213,0.107,9.573,5.793,-10.305
-0.822,1.144,0.133,3.78,-2.378,-6.341
-0.828,1.064,0.128,-0.793,-14.939,-3.415
-0.82,1.008,0.101,-4.939,-28.476,-1.28
-0.818,0.971,0.067,-7.134,-37.988,1.22
-0.833,0.918,-0.018,-9.756,-42.073,4.024
-0.837,0.897,-0.108,-14.756,-42.744,7.805
-0.819,0.871,-0.182,-20.427,-42.744,9.756
-0.817,0.848,-0.227,-25.488,-42.378,11.89
-0.811,0.816,-0.24,-28.78,-40.671,13.78
-0.788,0.801,-0.23,-30.366,-36.707,15.366
-0.777,0.792,-0.21,-30.183,-29.695,17.439
-0.769,0.769,-0.181,-29.451,-21.585,20.061
-0.743,0.75,-0.145,-29.207,-12.683,22.256
-0.68,0.727,-0.13,-28.049,-5.732,23.293
-0.635,0.703,-0.141,-26.524,-3.72,23.293
-0.637,0.693,-0.155,-27.012,-7.256,23.049
-0.619,0.665,-0.112,-26.89,-11.159,22.073
-0.585,0.642,-0.077,-25.244,-12.5,20.183
-0.606,0.652,-0.069,-23.78,-12.439,19.512
-0.643,0.667,-0.056,-22.561,-13.049,17.683
-0.657,0.677,-0.051,-21.707,-9.512,17.073
-0.633,0.674,-0.089,-20.305,-4.878,17.805
-0.627,0.664,-0.089,-20.671,-4.207,17.988
-0.604,0.664,-0.087,-21.646,-9.268,17.012
-0.6,0.654,-0.138,-21.524,-22.866,14.451
-0.667,0.65,-0.162,-22.378,-39.756,13.72
-0.64,0.669,-0.167,-24.024,-59.634,12.439
-0.629,0.676,-0.071,-21.585,-71.341,11.159
-0.619,0.662,0.043,-17.317,-75.061,12.073
-0.599,0.658,0.11,-13.171,-75.183,9.39
-0.582,0.671,0.131,-9.634,-73.537,6.768
-0.566,0.687,0.127,-6.951,-73.293,4.451
-0.56,0.68,0.138,-1.037,-79.878,1.402
