acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.362,0.354,1.073,-2.988,2.195,-15.915
0.334,0.29,1.03,7.256,-2.439,-14.207
0.285,0.269,0.955,15.854,0.549,-11.829
0.192,0.274,0.953,16.646,7.5,-10.0
0.128,0.268,0.966,13.232,14.207,-9.939
0.123,0.281,0.988,13.902,20.61,-7.988
0.129,0.335,1.003,21.22,28.293,-5.366
0.131,0.406,1.006,28.171,33.841,-5.854
0.18,0.411,0.977,28.841,32.866,-8.537
0.237,0.326,0.967,26.098,24.329,-10.671
0.252,0.26,0.986,22.256,9.146,-11.402
0.23,0.313,0.968,16.463,-5.61,-11.524
0.173,0.438,0.915,11.402,-16.402,-10.0
0.098,0.522,0.863,9.756,-23.232,-6.585
0.061,0.55,0.813,12.805,-24.329,-3.902
0.082,0.535,0.795,14.634,-19.451,-4.207
0.164,0.464,0.778,10.488,-10.183,-7.622
0.252,0.384,0.787,4.329,0.061,-12.439
0.304,0.356,0.825,-0.671,7.744,-16.463
0.345,0.408,0.832,-3.171,12.195,-19.329
0.362,0.48,0.814,-4.085,13.293,-20.0
0.35,0.496,0.79,-4.451,13.11,-19.512
0.328,0.462,0.796,-4.207,10.427,-20.0
0.312,0.416,0.842,-4.634,6.22,-21.463
0.313,0.399,0.873,-6.22,2.805,-23.049
0.296,0.416,0.885,-8.049,0.854,-24.817
0.262,0.435,0.858,-8.78,2.134,-25.244
0.218,0.454,0.832,-9.451,6.463,-24.085
0.199,0.448,0.823,-10.427,10.427,-24.512
0.225,0.42,0.819,-9.268,13.963,-26.22
0.259,0.396,0.854,-5.122,18.537,-25.0
0.273,0.402,0.909,-3.232,21.89,-23.841
0.272,0.422,0.952,-7.866,22.073,-25.549
0.277,0.427,0.948,-14.085,17.988,-28.171
0.273,0.428,0.918,-15.427,10.427,-30.427
0.274,0.473,0.877,-12.439,0.366,-32.561
0.273,0.518,0.85,-8.78,-7.439,-34.451
0.262,0.472,0.839,-6.524,-9.024,-35.61
0.24,0.358,0.842,-6.951,-5.488,-38.293
0.236,0.273,0.863,-9.695,1.951,-42.378
0.261,0.263,0.882,-11.402,10.61,-45.732
0.285,0.307,0.909,-10.915,18.963,-48.537
0.318,0.371,0.911,-9.817,25.854,-49.878
0.354,0.41,0.883,-10.671,29.573,-51.037
0.355,0.391,0.863,-13.354,27.012,-53.841
0.332,0.35,0.839,-15.61,17.195,-57.561
0.305,0.329,0.834,-15.305,4.634,-61.037
0.271,0.345,0.845,-14.451,-6.524,-63.902
0.225,0.359,0.839,-14.573,-12.866,-67.866
0.161,0.348,0.816,-14.512,-12.866,-71.89
0.1,0.322,0.793,-14.573,-6.768,-74.146
0.075,0.294,0.787,-13.902,1.037,-74.817
0.095,0.282,0.802,-14.39,6.89,-75.61
0.139,0.272,0.802,-16.829,8.659,-77.378
0.17,0.253,0.801,-19.268,6.768,-80.061
