acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.312,0.19,1.093,14.207,-1.402,-8.049
0.36,0.206,1.0,17.439,6.037,-12.378
0.37,0.239,0.881,20.0,17.317,-15.854
0.362,0.254,0.786,22.622,26.22,-18.232
0.381,0.235,0.782,24.573,29.695,-19.817
0.454,0.204,0.84,26.89,28.476,-21.159
0.5,0.169,0.912,26.341,22.866,-22.561
0.476,0.169,0.943,20.183,13.415,-23.902
0.401,0.211,0.941,13.415,2.927,-24.207
0.327,0.274,0.902,10.915,-5.732,-22.805
0.279,0.355,0.843,11.585,-10.061,-19.695
0.25,0.427,0.807,11.646,-8.72,-15.61
0.221,0.423,0.813,9.268,-3.78,-12.683
0.219,0.367,0.813,6.341,3.415,-10.122
0.252,0.335,0.821,6.585,11.646,-8.78
0.282,0.356,0.842,11.037,20.976,-7.805
0.296,0.398,0.844,14.146,29.451,-6.159
0.288,0.411,0.842,12.134,34.146,-3.78
0.284,0.395,0.85,6.89,32.622,-2.622
0.304,0.386,0.854,3.11,23.293,-3.049
0.333,0.434,0.865,2.927,9.634,-3.171
0.319,0.502,0.89,5.305,-2.012,-2.378
0.261,0.52,0.91,9.878,-8.841,-1.098
0.203,0.462,0.899,13.415,-8.72,1.646
0.169,0.374,0.899,12.378,-5.0,4.329
0.183,0.311,0.916,6.646,0.427,5.366
0.261,0.306,0.902,2.134,6.585,5.244
0.311,0.375,0.897,1.829,11.22,3.78
0.335,0.469,0.9,2.683,14.695,1.829
0.342,0.496,0.907,2.622,17.744,0.854
0.347,0.425,0.905,0.976,18.171,0.671
0.344,0.338,0.904,-1.768,14.573,-0.183
0.353,0.313,0.901,-4.268,5.976,-1.646
0.374,0.333,0.883,-6.159,-3.659,-3.049
0.38,0.364,0.856,-5.671,-11.098,-4.817
0.339,0.368,0.844,-1.768,-13.354,-6.28
0.288,0.339,0.856,2.317,-9.39,-7.134
0.275,0.302,0.896,3.902,-1.707,-7.561
0.295,0.279,0.915,1.646,6.524,-7.683
0.335,0.285,0.889,-2.683,12.073,-7.561
0.365,0.339,0.851,-7.622,13.476,-6.402
0.376,0.416,0.814,-10.671,10.915,-5.183
0.366,0.47,0.794,-10.061,5.488,-4.939
0.349,0.461,0.821,-5.122,-0.915,-5.732
0.342,0.387,0.861,1.341,-4.268,-6.524
0.326,0.283,0.894,4.024,-2.561,-6.768
0.3,0.201,0.918,1.768,3.049,-6.768
0.291,0.18,0.911,-2.805,10.61,-7.134
0.306,0.242,0.881,-6.402,15.732,-7.378
0.338,0.36,0.835,-7.317,16.28,-7.561
0.36,0.453,0.801,-5.0,13.415,-7.927
0.356,0.478,0.787,0.244,7.561,-7.866
0.342,0.425,0.799,5.366,2.5,-7.561
0.314,0.339,0.838,6.22,-0.061,-7.561
0.291,0.266,0.857,4.756,-0.732,-7.561
0.284,0.236,0.853,2.805,-0.366,-7.561
0.278,0.277,0.833,0.61,0.305,-6.159
0.267,0.354,0.813,-0.671,1.707,-3.293
0.262,0.389,0.805,0.915,4.207,-0.976
0.269,0.378,0.812,3.598,7.012,-0.427
0.281,0.346,0.83,4.207,11.037,-0.854
0.286,0.32,0.872,3.11,14.634,-1.829
0.285,0.323,0.902,2.012,16.524,-3.963
0.292,0.373,0.887,2.012,16.098,-6.402
0.292,0.431,0.856,4.268,13.232,-8.78
0.289,0.442,0.823,8.232,5.732,-11.28
0.292,0.4,0.797,10.0,-4.268,-15.183
0.299,0.327,0.792,8.72,-13.598,-19.939
0.298,0.244,0.805,8.415,-19.146,-25.122
0.293,0.199,0.822,9.817,-18.72,-30.793
0.289,0.226,0.849,10.61,-12.622,-36.341
0.306,0.269,0.87,8.963,-3.354,-42.317
0.344,0.279,0.879,5.305,6.707,-48.78
0.393,0.28,0.865,1.646,15.122,-55.854
0.43,0.295,0.839,-1.341,21.037,-62.5
0.46,0.314,0.808,-4.268,22.927,-69.329
0.475,0.311,0.781,-7.134,20.0,-77.561
0.47,0.278,0.767,-9.512,13.232,-87.378
0.446,0.227,0.76,-10.854,6.951,-97.195
0.41,0.179,0.749,-11.463,3.11,-105.671
0.377,0.14,0.742,-11.829,1.89,-112.866
0.342,0.102,0.723,-13.049,3.11,-119.146
0.308,0.061,0.705,-16.463,4.329,-125.244
0.287,0.023,0.696,-20.488,3.537,-132.073
0.282,0.009,0.707,-24.146,0.549,-140.305
