acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.036,-0.018,0.823,2.561,110.061,68.659
-0.147,-0.026,0.931,2.439,94.268,66.402
-0.248,-0.07,1.016,5.732,82.317,60.244
-0.231,-0.055,1.098,10.305,86.646,51.524
-0.109,-0.006,1.188,17.012,101.768,43.537
0.0,0.038,1.25,24.207,119.878,38.963
0.084,0.089,1.272,26.89,132.195,32.439
0.024,0.176,1.276,25.732,130.366,25.244
-0.144,0.251,1.264,21.951,113.415,21.098
-0.316,0.317,1.268,14.39,89.024,19.085
-0.462,0.392,1.288,4.756,64.024,21.159
-0.582,0.438,1.32,-1.707,41.646,24.817
-0.657,0.424,1.342,-4.207,24.207,25.183
-0.651,0.391,1.358,-4.878,13.902,26.159
-0.574,0.378,1.378,-4.39,10.427,27.683
-0.5,0.38,1.382,-4.268,10.0,28.354
-0.444,0.394,1.356,-6.159,9.451,28.476
-0.432,0.399,1.317,-7.561,6.768,29.512
-0.447,0.368,1.254,-6.768,1.524,28.963
-0.441,0.331,1.185,-7.866,-5.244,28.841
-0.454,0.331,1.128,-10.549,-14.573,28.78
-0.469,0.329,1.078,-12.927,-23.11,26.646
-0.43,0.31,1.033,-15.976,-28.11,24.268
-0.363,0.29,1.008,-19.146,-30.061,21.463
-0.293,0.264,0.988,-22.134,-29.512,17.622
-0.241,0.229,0.97,-25.0,-28.72,12.866
-0.204,0.202,0.959,-27.988,-29.817,5.671
-0.184,0.196,0.944,-31.707,-32.927,-2.012
-0.169,0.204,0.934,-36.646,-37.256,-10.366
-0.164,0.223,0.928,-42.073,-42.317,-19.695
