acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.283,0.003,0.953,6.89,-55.0,132.866
-0.25,0.006,0.966,10.549,-46.402,128.781
-0.206,0.013,0.955,15.0,-35.671,125.671
-0.172,0.009,0.92,19.939,-25.915,122.378
-0.152,-0.007,0.875,25.61,-18.171,118.598
-0.133,-0.001,0.847,31.89,-12.317,114.085
-0.122,0.008,0.821,36.463,-7.622,108.415
-0.103,-0.018,0.811,40.061,-2.561,101.951
-0.08,-0.056,0.838,40.854,2.317,94.573
-0.064,-0.078,0.86,38.11,5.305,86.341
-0.042,-0.097,0.859,35.122,4.939,78.049
-0.054,-0.115,0.872,33.171,1.28,70.61
-0.06,-0.145,0.875,32.195,-2.439,64.39
-0.019,-0.171,0.848,30.61,-6.098,59.756
0.021,-0.178,0.821,27.073,-7.5,55.793
0.05,-0.194,0.795,21.22,-5.488,50.976
0.073,-0.204,0.787,15.244,-1.28,45.122
0.083,-0.22,0.795,10.671,2.012,39.024
0.097,-0.254,0.805,8.598,2.195,33.963
0.112,-0.274,0.821,6.585,0.244,30.244
0.143,-0.269,0.823,5.549,-3.049,25.0
0.185,-0.248,0.826,7.744,-8.78,20.427
0.24,-0.251,0.836,10.732,-17.988,18.78
0.289,-0.282,0.848,9.268,-26.646,15.0
0.325,-0.308,0.857,3.963,-32.195,10.915
0.354,-0.315,0.841,-0.549,-33.963,9.634
0.373,-0.303,0.802,-4.146,-31.768,7.805
0.392,-0.265,0.756,-9.512,-27.561,2.866
0.426,-0.192,0.729,-15.366,-19.39,-3.78
0.478,-0.113,0.719,-17.683,-6.829,-8.78
0.524,-0.03,0.715,-15.366,6.341,-10.793
0.542,0.052,0.722,-10.976,16.22,-12.866
0.524,0.098,0.738,-7.744,22.988,-16.463
0.506,0.113,0.764,-5.793,29.268,-20.854
0.484,0.125,0.79,-4.573,35.061,-25.366
0.483,0.141,0.792,-3.293,37.378,-29.146
0.488,0.194,0.802,-2.134,33.902,-30.915
0.494,0.241,0.823,-3.354,26.341,-33.476
