acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.426,0.042,0.695,5.61,-15.854,154.085
-0.418,0.035,0.699,5.793,-17.317,152.866
-0.396,0.034,0.721,4.573,-21.829,150.915
-0.357,0.026,0.736,3.293,-26.037,148.72
-0.33,-0.018,0.762,4.207,-28.841,145.305
-0.288,-0.03,0.782,4.512,-29.024,142.744
-0.247,-0.014,0.769,1.524,-30.732,140.366
-0.236,-0.01,0.763,0.061,-35.122,135.488
-0.226,0.009,0.775,2.317,-38.354,129.939
-0.223,0.025,0.776,5.122,-38.354,125.183
-0.232,-0.003,0.802,7.317,-36.463,120.732
-0.213,-0.049,0.849,8.293,-32.256,116.098
-0.172,-0.072,0.871,6.463,-27.622,109.939
-0.146,-0.073,0.896,5.976,-24.878,103.598
-0.112,-0.072,0.915,8.902,-23.232,97.988
-0.084,-0.074,0.908,14.939,-21.341,92.927
-0.055,-0.084,0.894,17.439,-18.963,86.402
-0.022,-0.092,0.895,17.378,-16.707,76.402
0.001,-0.081,0.909,16.89,-16.037,66.585
0.013,-0.101,0.924,16.159,-17.439,58.11
-0.008,-0.144,0.941,16.341,-18.537,49.756
-0.021,-0.152,0.946,18.232,-17.561,41.951
-0.049,-0.16,0.951,22.683,-13.293,35.0
-0.03,-0.151,0.941,24.268,-4.207,27.927
0.008,-0.119,0.916,22.073,7.195,20.488
0.033,-0.101,0.905,14.573,17.012,13.72
0.07,-0.092,0.899,6.22,23.049,7.012
0.104,-0.092,0.902,1.098,25.793,1.098
0.12,-0.064,0.896,0.427,24.329,-3.902
0.117,-0.031,0.869,4.451,21.646,-8.11
0.141,-0.036,0.85,6.951,20.549,-10.732
0.2,-0.044,0.854,4.573,20.0,-14.756
0.271,-0.034,0.839,2.073,18.963,-19.512
0.318,-0.014,0.833,0.488,19.024,-24.634
0.353,-0.01,0.836,-2.744,18.841,-28.963
