acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.53,0.092,0.777,-29.756,-56.89,177.256
-0.506,0.081,0.779,-24.39,-56.707,176.524
-0.501,0.088,0.784,-25.366,-51.098,175.854
-0.5,0.1,0.809,-32.134,-47.256,172.988
-0.47,0.065,0.804,-34.512,-48.78,168.476
-0.44,0.023,0.787,-30.122,-51.707,162.378
-0.421,0.022,0.792,-23.902,-50.488,156.585
-0.396,0.002,0.813,-20.0,-45.488,152.439
-0.398,-0.042,0.812,-19.634,-40.915,147.561
-0.416,-0.06,0.785,-17.378,-37.012,140.793
-0.412,-0.072,0.743,-15.061,-32.5,133.781
-0.394,-0.057,0.726,-13.963,-29.329,125.671
-0.37,-0.05,0.712,-9.939,-26.341,117.988
-0.389,-0.071,0.71,-7.5,-23.293,110.122
-0.388,-0.108,0.715,-5.061,-20.61,102.5
-0.34,-0.142,0.703,-1.89,-17.195,97.439
-0.292,-0.164,0.693,0.122,-12.012,91.159
-0.246,-0.149,0.688,0.915,-6.22,84.329
-0.177,-0.13,0.668,-0.732,-2.927,76.28
-0.125,-0.093,0.664,-1.829,-1.951,66.646
-0.104,-0.031,0.688,-5.0,-3.11,58.11
-0.095,-0.041,0.714,-8.78,-7.866,50.61
-0.053,-0.118,0.72,-6.585,-12.5,42.012
0.005,-0.167,0.723,-1.585,-13.963,33.72
0.063,-0.15,0.748,1.402,-9.817,27.439
0.126,-0.104,0.766,0.427,-2.073,20.61
0.168,-0.077,0.767,-1.463,5.61,11.22
0.207,-0.083,0.774,-0.976,12.866,3.841
0.243,-0.088,0.781,2.012,16.707,0.488
0.28,-0.08,0.784,3.902,17.256,-2.317
0.306,-0.029,0.782,5.61,16.89,-7.683
0.326,0.008,0.785,7.073,18.537,-12.866
