acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.302,0.459,0.817,9.939,-14.268,-20.244
-0.354,0.399,0.82,4.268,-20.0,-23.659
-0.302,0.408,0.854,0.732,-18.11,-23.354
-0.23,0.408,0.908,-0.427,-13.293,-21.463
-0.199,0.391,0.958,0.061,-9.756,-20.732
-0.202,0.375,0.984,1.646,-7.744,-20.854
-0.211,0.337,0.988,2.683,-6.768,-22.195
-0.196,0.306,0.99,2.744,-7.622,-23.476
-0.182,0.295,0.974,1.524,-8.049,-24.451
-0.188,0.301,0.934,0.488,-9.512,-26.524
-0.213,0.341,0.915,1.585,-12.439,-28.537
-0.242,0.382,0.912,3.902,-15.427,-31.524
-0.234,0.397,0.931,5.976,-17.744,-35.366
-0.202,0.391,0.94,4.756,-21.768,-37.317
-0.195,0.36,0.928,5.732,-25.976,-38.11
-0.23,0.363,0.919,6.037,-26.402,-39.878
-0.221,0.295,0.904,2.927,-23.78,-40.427
-0.189,0.255,0.882,0.915,-18.537,-41.037
-0.162,0.28,0.859,-0.366,-12.927,-42.439
-0.137,0.319,0.845,-2.561,-6.707,-43.537
-0.125,0.341,0.817,-6.098,-1.037,-43.902
-0.139,0.359,0.787,-7.744,1.402,-44.329
-0.175,0.372,0.786,-8.049,0.122,-44.878
-0.217,0.34,0.809,-7.988,-5.305,-46.037
-0.252,0.292,0.838,-6.829,-11.89,-47.805
-0.267,0.232,0.865,-5.061,-14.756,-50.305
-0.255,0.165,0.862,-7.378,-12.439,-52.195
-0.219,0.123,0.801,-14.451,-5.915,-52.561
-0.182,0.153,0.736,-21.585,2.805,-51.646
-0.15,0.239,0.737,-25.732,11.341,-50.549
-0.121,0.308,0.782,-27.5,20.793,-51.037
-0.113,0.339,0.827,-26.341,29.39,-52.927
-0.114,0.332,0.856,-23.78,34.39,-56.098
-0.161,0.308,0.893,-19.939,34.085,-60.122
-0.231,0.268,0.915,-18.72,30.366,-63.537
-0.281,0.215,0.908,-23.11,29.268,-65.366
-0.29,0.204,0.83,-26.098,31.22,-67.439
-0.29,0.254,0.734,-24.939,33.171,-68.598
-0.313,0.32,0.713,-24.512,31.28,-68.659
-0.335,0.352,0.757,-24.024,26.829,-66.646
-0.344,0.345,0.831,-21.707,24.451,-64.024
-0.347,0.318,0.896,-17.5,24.756,-62.073
-0.357,0.27,0.942,-12.866,26.037,-63.11
-0.381,0.198,0.966,-9.512,26.951,-65.549
-0.386,0.121,0.941,-9.939,29.878,-66.159
-0.364,0.069,0.867,-12.744,35.488,-66.159
-0.334,0.091,0.803,-13.232,43.659,-65.915
-0.337,0.169,0.787,-11.707,49.634,-66.646
-0.359,0.226,0.797,-10.305,50.183,-66.402
-0.383,0.222,0.838,-8.415,48.232,-65.0
-0.417,0.181,0.889,-3.841,44.39,-64.146
-0.447,0.135,0.927,1.646,39.634,-62.927
-0.463,0.09,0.934,4.573,35.0,-63.598
-0.467,0.044,0.911,4.573,32.378,-66.159
-0.458,0.031,0.877,4.268,33.902,-67.012
-0.449,0.1,0.85,5.854,39.512,-69.695
-0.438,0.192,0.803,7.5,45.61,-74.024
-0.419,0.273,0.788,10.061,50.183,-77.439
-0.409,0.322,0.805,13.598,53.72,-78.598
-0.424,0.305,0.822,17.927,55.183,-77.012
-0.482,0.247,0.848,23.841,53.841,-75.671
-0.56,0.172,0.871,27.195,47.622,-75.61
-0.625,0.102,0.862,24.634,38.841,-76.159
-0.625,0.087,0.823,21.098,31.037,-74.695
-0.585,0.11,0.768,19.695,32.195,-72.683
-0.57,0.161,0.752,19.268,39.634,-73.232
-0.566,0.264,0.791,19.329,46.829,-75.366
-0.583,0.351,0.84,21.341,51.098,-73.293
-0.616,0.362,0.89,23.476,51.341,-69.939
-0.633,0.357,0.94,26.098,49.695,-66.707
-0.645,0.333,0.972,27.317,48.598,-63.902
-0.677,0.272,0.971,27.805,45.244,-61.22
-0.699,0.195,0.919,27.012,38.598,-58.11
-0.69,0.149,0.828,26.463,32.866,-58.537
