acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.077,0.547,0.858,2.561,17.012,-29.207
-0.078,0.568,0.792,1.707,19.634,-26.89
-0.091,0.559,0.749,0.244,19.817,-25.061
-0.097,0.541,0.743,-2.195,19.39,-22.927
-0.106,0.538,0.764,-5.0,14.878,-20.854
-0.126,0.537,0.806,-8.476,5.427,-20.366
-0.156,0.537,0.847,-12.256,-3.11,-19.756
-0.148,0.534,0.878,-12.622,-6.159,-19.939
-0.068,0.509,0.906,-11.829,-3.476,-20.671
-0.019,0.474,0.907,-12.195,0.549,-21.402
0.006,0.456,0.892,-14.329,3.415,-23.537
0.018,0.442,0.863,-17.378,5.793,-26.463
0.015,0.437,0.833,-20.183,8.354,-29.207
0.014,0.465,0.821,-22.317,10.183,-32.256
0.026,0.502,0.813,-23.72,11.037,-35.671
0.033,0.504,0.807,-25.183,10.488,-39.695
0.019,0.481,0.791,-26.646,7.866,-44.085
0.015,0.453,0.789,-26.585,4.939,-48.415
0.011,0.393,0.798,-25.671,4.085,-51.829
-0.02,0.316,0.815,-24.329,5.061,-54.512
-0.068,0.278,0.833,-23.72,5.976,-56.585
-0.098,0.306,0.84,-25.061,6.159,-57.073
-0.116,0.361,0.834,-27.256,5.793,-57.012
-0.129,0.405,0.833,-30.61,4.085,-57.927
-0.125,0.419,0.832,-33.659,2.256,-60.0
-0.093,0.416,0.816,-35.244,1.646,-62.439
-0.045,0.369,0.812,-35.244,2.073,-64.634
-0.025,0.295,0.823,-33.598,5.671,-68.598
-0.035,0.212,0.842,-30.793,13.232,-73.415
-0.065,0.143,0.838,-28.659,20.0,-74.268
-0.128,0.141,0.828,-29.695,18.354,-70.366
-0.2,0.233,0.832,-32.317,8.049,-67.805
-0.26,0.353,0.853,-36.829,-6.098,-68.476
-0.269,0.419,0.871,-40.183,-17.683,-70.61
-0.218,0.417,0.896,-39.756,-22.622,-73.415
-0.137,0.353,0.938,-35.488,-21.463,-77.683
