acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.387,0.236,0.57,20.183,7.439,21.646
0.4,0.321,0.711,16.89,25.061,15.122
0.37,0.38,0.884,13.598,40.488,9.695
0.285,0.438,1.003,8.171,39.207,5.183
0.182,0.455,1.055,0.305,28.902,-1.768
0.05,0.452,1.059,-6.707,24.756,-9.268
0.132,0.528,1.044,-3.171,27.5,-10.61
0.178,0.455,1.04,1.402,29.573,-13.476
0.101,0.403,1.007,2.5,23.963,-18.598
0.096,0.456,0.911,3.232,15.915,-20.915
0.042,0.496,0.831,2.988,4.878,-20.061
-0.048,0.526,0.816,1.707,-4.634,-18.841
-0.096,0.573,0.85,2.317,-9.146,-18.11
-0.104,0.598,0.893,7.012,-9.024,-16.524
-0.1,0.565,0.92,13.415,-5.671,-13.354
-0.104,0.549,0.959,16.524,0.427,-10.915
-0.136,0.531,0.983,17.805,3.598,-8.354
-0.142,0.485,0.957,18.902,4.207,-4.573
-0.146,0.469,0.902,19.634,2.012,-2.012
-0.14,0.518,0.842,18.78,-1.402,-0.061
-0.097,0.558,0.812,17.134,-2.195,0.549
-0.035,0.544,0.798,15.061,-0.854,0.0
0.0,0.491,0.771,13.476,-0.732,-0.549
0.004,0.441,0.746,12.012,-0.793,-2.073
-0.011,0.431,0.743,10.793,1.768,-3.902
-0.012,0.446,0.76,9.939,3.72,-6.098
-0.005,0.482,0.789,8.049,4.329,-9.024
0.008,0.52,0.819,5.671,3.963,-12.317
0.005,0.551,0.82,3.659,2.439,-15.061
0.0,0.575,0.812,1.829,0.793,-17.866
0.015,0.575,0.822,-0.427,-0.915,-20.488
0.047,0.544,0.828,-3.476,-3.598,-23.171
0.055,0.496,0.825,-7.256,-6.89,-26.159
