acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
1.068,-0.847,0.822,-35.427,-113.902,-40.0
1.109,-0.967,0.785,-40.0,-87.927,-15.793
0.745,-0.762,0.697,-36.463,-66.707,-22.927
0.631,-0.546,0.685,-27.744,-48.537,-36.585
0.845,-0.549,0.722,-23.598,-31.829,-29.146
0.988,-0.518,0.746,-23.78,-20.244,-11.585
0.926,-0.376,0.636,-28.537,-10.61,1.585
0.951,-0.232,0.502,-30.793,-7.622,18.232
0.95,-0.23,0.448,-20.793,-8.537,31.524
0.871,-0.279,0.424,-10.0,-14.878,34.024
0.786,-0.369,0.472,2.561,-18.659,30.915
0.784,-0.493,0.532,7.683,-16.89,30.793
0.745,-0.551,0.565,7.805,-12.988,29.024
0.646,-0.58,0.584,10.793,-8.78,20.732
0.597,-0.484,0.569,3.659,-8.598,11.524
0.593,-0.432,0.587,-6.22,-12.256,6.28
0.642,-0.45,0.587,-11.402,-18.232,3.293
0.739,-0.458,0.513,-10.976,-23.293,3.11
0.781,-0.382,0.468,-11.098,-27.195,3.537
0.758,-0.344,0.469,-9.268,-31.524,1.28
0.725,-0.395,0.521,-9.634,-35.976,-2.195
0.71,-0.468,0.53,-9.085,-32.805,-3.72
0.747,-0.51,0.542,-10.488,-22.439,-2.561
0.747,-0.56,0.554,-11.768,-4.756,0.0
0.699,-0.555,0.585,-13.537,16.463,0.427
0.701,-0.555,0.582,-17.927,29.024,-2.012
0.709,-0.515,0.526,-23.902,30.793,-2.256
0.739,-0.495,0.477,-28.598,24.756,-0.061
0.692,-0.469,0.472,-30.793,17.256,-1.646
0.671,-0.44,0.465,-30.671,9.329,-5.061
0.675,-0.386,0.462,-28.354,3.72,-6.22
0.691,-0.417,0.484,-23.232,2.012,-2.561
0.666,-0.466,0.502,-17.988,0.976,-0.549
0.651,-0.466,0.485,-12.256,3.476,1.402
0.661,-0.452,0.473,-7.683,8.963,3.963
0.695,-0.469,0.512,-5.305,12.866,5.793
0.696,-0.481,0.535,-4.146,15.671,7.5
0.685,-0.493,0.563,-4.024,13.11,9.207
0.677,-0.497,0.567,-3.598,9.634,10.122
0.676,-0.475,0.532,-3.963,7.378,11.22
0.665,-0.488,0.519,-2.927,7.988,11.341
0.671,-0.502,0.52,-2.378,9.817,12.134
0.644,-0.508,0.512,-2.012,10.061,11.768
0.624,-0.515,0.495,-0.793,9.634,10.793
0.634,-0.529,0.482,0.488,9.634,10.61
0.637,-0.54,0.502,2.5,9.634,9.939
0.634,-0.53,0.501,4.695,9.634,9.756
0.63,-0.517,0.499,5.854,8.841,10.427
0.627,-0.52,0.525,4.939,8.537,10.183
0.625,-0.517,0.534,1.89,9.512,9.695
0.63,-0.518,0.538,-1.585,10.549,9.329
0.626,-0.525,0.547,-3.841,10.732,7.927
0.636,-0.526,0.529,-4.512,10.183,7.683
0.651,-0.527,0.528,-3.72,8.659,7.5
0.664,-0.528,0.538,-2.378,6.463,7.439
0.656,-0.532,0.548,-1.524,5.244,5.854
0.637,-0.538,0.55,-2.012,4.878,3.78
0.646,-0.523,0.535,-2.012,5.122,3.415
0.669,-0.51,0.524,-1.89,5.061,4.573
0.664,-0.505,0.532,-1.829,5.122,6.098
0.634,-0.499,0.547,-1.585,5.671,6.585
0.622,-0.508,0.549,-1.22,6.28,7.073
0.635,-0.524,0.56,-0.488,6.829,7.195
0.655,-0.525,0.545,0.061,7.073,7.866
0.647,-0.519,0.556,0.122,5.732,7.195
0.628,-0.521,0.576,-0.671,2.744,5.183
0.621,-0.518,0.559,-2.073,0.305,4.207
0.633,-0.516,0.563,-2.683,-1.585,3.902
0.646,-0.518,0.574,-2.927,-1.89,3.659
0.641,-0.513,0.559,-3.11,-0.854,4.146
0.645,-0.512,0.549,-2.378,-1.524,5.427
0.652,-0.514,0.543,-0.854,-1.585,6.768
0.661,-0.514,0.535,0.854,0.244,8.598
0.665,-0.515,0.535,4.268,1.89,10.183
0.675,-0.501,0.532,8.72,3.049,12.134
0.688,-0.487,0.524,13.841,4.024,14.634
0.708,-0.46,0.518,20.0,4.512,18.659
0.727,-0.43,0.519,28.598,4.329,23.659
0.737,-0.407,0.522,38.171,5.976,30.366
0.753,-0.382,0.521,47.378,8.78,38.963
0.771,-0.369,0.528,56.402,14.817,47.744
0.795,-0.353,0.53,63.963,26.768,55.793
0.842,-0.341,0.538,70.366,45.366,64.207
0.869,-0.34,0.551,75.0,68.476,68.598
0.868,-0.301,0.577,75.061,90.976,68.11
0.841,-0.246,0.602,67.561,98.72,74.146
0.767,-0.219,0.608,58.537,91.098,80.732
0.716,-0.216,0.595,57.012,80.793,77.256
0.667,-0.227,0.616,60.244,67.195,71.707
0.591,-0.252,0.641,64.085,47.744,72.866
0.562,-0.262,0.674,66.22,22.744,71.707
0.539,-0.231,0.766,68.659,-0.915,67.195
0.461,-0.161,0.822,66.098,-22.439,63.049
0.424,-0.078,0.893,60.793,-44.939,64.817
0.436,-0.061,0.906,62.866,-61.89,74.634
0.469,-0.255,0.82,71.524,-73.963,87.012
0.569,-0.324,0.812,67.805,-67.927,82.744
0.643,-0.115,0.851,43.78,-36.402,56.707
0.601,-0.085,0.866,36.402,-7.5,44.268
0.595,-0.463,0.815,51.463,4.634,60.122
0.597,-0.577,0.78,62.256,7.5,84.634
0.591,-0.435,0.79,62.683,10.122,104.207
0.586,-0.387,0.811,62.195,16.037,120.183
0.559,-0.369,0.843,56.585,23.11,127.744
0.495,-0.364,0.862,49.268,24.756,130.976
0.428,-0.384,0.835,45.0,14.634,135.305
0.386,-0.407,0.8,42.988,-4.573,141.829
0.341,-0.417,0.742,42.256,-28.171,150.366
0.3,-0.396,0.699,41.646,-51.402,156.707
0.272,-0.38,0.681,42.439,-70.061,159.329
0.284,-0.394,0.706,44.268,-80.122,160.061
0.333,-0.41,0.744,43.293,-79.085,160.671
