acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.557,0.124,1.133,-57.195,165.488,-158.598
0.54,0.0,1.083,-56.037,191.037,-151.159
0.488,-0.146,0.991,-53.171,191.463,-138.781
0.338,-0.443,0.75,-29.329,127.073,-131.342
0.384,-0.556,0.359,1.585,5.854,-128.902
0.989,-0.403,0.098,7.5,-74.329,-98.598
1.67,-0.275,-0.096,-10.732,-60.549,-60.549
1.742,-0.366,0.063,-28.354,-0.854,-31.037
1.154,-0.489,0.61,-27.134,61.768,-21.159
0.707,-0.388,1.013,-24.512,115.732,-24.268
0.825,-0.269,1.22,-24.939,139.512,-0.488
0.844,-0.454,1.115,-14.146,121.768,22.622
0.494,-0.632,0.997,3.415,82.134,25.305
0.056,-0.593,0.821,11.829,48.78,22.073
-0.074,-0.498,0.733,7.317,37.195,24.695
-0.026,-0.371,0.709,-4.695,35.732,19.329
-0.073,-0.217,0.764,-28.72,14.695,-9.939
-0.179,-0.297,0.859,-36.037,-32.134,-38.72
0.132,-0.684,0.937,-17.561,-51.159,-32.988
0.65,-0.725,0.974,-10.61,-32.134,-11.951
0.703,-0.492,0.942,-22.134,-3.78,1.829
0.546,-0.485,0.834,-27.5,7.256,13.11
0.404,-0.563,0.759,-24.695,6.159,19.817
0.274,-0.583,0.75,-20.549,1.28,20.732
0.185,-0.599,0.772,-17.134,-5.183,17.622
0.157,-0.59,0.777,-16.951,-7.012,14.634
0.213,-0.575,0.764,-20.427,-5.305,12.988
0.256,-0.554,0.756,-23.049,-1.829,11.585
0.25,-0.524,0.772,-22.866,1.524,11.951
0.262,-0.55,0.779,-20.366,1.341,16.829
0.246,-0.558,0.778,-16.646,-2.866,21.037
0.216,-0.535,0.763,-13.598,-6.098,22.195
0.261,-0.496,0.788,-14.085,-6.951,20.915
0.279,-0.493,0.869,-13.902,-4.268,17.256
0.277,-0.552,0.935,-15.061,-2.805,13.72
0.287,-0.602,0.931,-17.012,-3.171,6.524
0.267,-0.626,0.896,-19.39,-3.659,-3.537
0.246,-0.685,0.886,-17.988,-3.598,-8.841
0.26,-0.741,0.882,-13.963,-4.634,-10.732
0.259,-0.739,0.871,-11.341,-7.683,-11.098
0.262,-0.726,0.854,-8.232,-9.756,-10.305
0.287,-0.715,0.846,-5.183,-10.488,-6.037
0.279,-0.708,0.833,-2.439,-12.256,-2.439
0.241,-0.666,0.795,-0.549,-15.671,-2.317
0.224,-0.627,0.79,1.402,-17.134,-1.707
0.24,-0.64,0.759,5.122,-16.524,2.195
0.236,-0.611,0.739,7.988,-15.122,3.72
0.267,-0.602,0.736,8.78,-12.5,5.732
0.281,-0.625,0.751,8.049,-10.305,9.207
0.238,-0.632,0.797,7.195,-11.341,7.5
0.219,-0.629,0.811,6.159,-13.232,2.012
0.22,-0.623,0.8,4.268,-11.89,-1.646
0.244,-0.604,0.781,3.049,-11.098,-4.207
0.252,-0.583,0.765,3.293,-9.268,-6.463
0.27,-0.572,0.755,4.268,-7.866,-5.854
0.272,-0.563,0.755,5.671,-7.439,-3.659
0.275,-0.556,0.762,7.012,-5.488,-1.463
0.29,-0.554,0.761,7.561,-2.256,0.549
0.297,-0.537,0.761,7.256,0.488,1.646
0.293,-0.54,0.754,6.098,2.317,2.256
0.289,-0.544,0.753,4.756,3.537,3.293
0.309,-0.551,0.758,4.451,2.927,5.732
0.301,-0.563,0.763,6.585,2.317,9.146
0.286,-0.572,0.761,9.512,3.293,12.561
0.286,-0.566,0.759,9.695,5.0,15.61
0.277,-0.553,0.763,8.171,6.402,16.89
0.265,-0.547,0.767,7.317,5.488,16.768
0.257,-0.551,0.751,8.354,4.268,16.463
0.268,-0.548,0.739,9.146,4.817,17.378
0.285,-0.535,0.75,9.024,6.402,19.573
0.279,-0.515,0.763,7.927,8.11,20.366
0.242,-0.504,0.763,7.195,6.951,19.634
0.232,-0.516,0.747,6.829,3.537,19.207
0.263,-0.535,0.752,7.622,2.439,21.463
0.292,-0.532,0.765,7.927,2.5,24.451
0.291,-0.518,0.761,7.317,3.659,26.463
0.276,-0.514,0.754,7.5,4.512,27.439
0.298,-0.517,0.76,7.988,6.89,27.744
0.321,-0.522,0.771,8.171,11.402,28.232
0.328,-0.541,0.776,8.476,16.524,27.805
0.32,-0.542,0.807,8.963,19.451,25.305
0.285,-0.535,0.84,11.159,17.5,22.744
0.282,-0.531,0.848,15.183,12.927,23.232
0.317,-0.515,0.839,17.622,9.024,25.732
0.332,-0.495,0.845,17.378,6.951,28.659
0.312,-0.467,0.843,16.22,5.671,31.22
0.296,-0.453,0.828,15.305,3.537,35.549
0.299,-0.445,0.809,15.427,1.524,39.939
0.322,-0.454,0.799,16.402,1.768,44.024
0.339,-0.445,0.807,17.927,4.939,47.561
0.325,-0.416,0.818,19.634,9.39,50.427
0.304,-0.375,0.834,18.476,10.793,52.012
0.263,-0.321,0.843,16.159,5.854,50.915
0.21,-0.322,0.859,16.28,-6.524,52.5
0.211,-0.474,0.888,24.695,-22.622,63.476
