acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.535,-0.46,0.47,-13.78,14.207,-87.927
0.812,-0.502,0.25,-5.122,-21.707,-71.402
1.314,-0.445,0.03,-4.695,-23.72,-60.122
1.55,-0.435,0.209,-16.829,40.0,-40.671
1.204,-0.389,0.604,-28.659,133.415,-18.171
0.736,-0.389,0.829,-24.756,199.451,-13.598
0.379,-0.362,0.941,-19.146,234.329,-21.341
0.086,-0.324,0.951,-20.915,243.963,-22.439
-0.072,-0.377,0.867,-20.854,210.122,-10.732
-0.131,-0.469,0.8,-11.829,140.915,2.195
-0.194,-0.473,0.785,-2.561,81.646,0.427
-0.176,-0.445,0.839,-2.317,53.476,-7.744
0.016,-0.483,0.943,-3.354,44.085,-10.305
0.288,-0.531,1.042,-3.963,59.695,-6.707
0.483,-0.518,1.03,-8.78,88.476,-4.512
0.463,-0.442,0.972,-23.415,103.659,-9.817
0.087,-0.324,0.873,-49.024,66.402,-22.744
-0.427,-0.326,0.98,-63.354,-16.768,-39.817
-0.454,-0.59,1.075,-47.195,-94.329,-46.707
-0.007,-0.737,0.976,-23.78,-116.707,-40.061
0.44,-0.609,0.956,-25.671,-75.915,-21.098
0.491,-0.45,0.835,-41.159,-18.963,-14.085
0.231,-0.413,0.685,-54.695,10.183,-18.232
0.06,-0.486,0.71,-54.756,0.061,-16.524
0.138,-0.605,0.778,-43.049,-17.927,-11.829
0.229,-0.63,0.788,-35.854,-18.293,-4.695
0.261,-0.577,0.757,-36.402,-8.902,0.244
0.22,-0.552,0.729,-35.427,-1.159,0.671
0.227,-0.543,0.702,-30.671,0.549,3.963
0.229,-0.524,0.712,-27.805,1.89,8.293
0.14,-0.492,0.744,-27.439,3.293,9.39
0.108,-0.501,0.764,-28.902,2.012,8.963
0.184,-0.53,0.758,-33.598,-0.183,7.073
0.156,-0.541,0.716,-38.232,3.72,8.11
0.1,-0.572,0.685,-40.854,7.012,14.329
0.121,-0.623,0.706,-42.561,5.854,16.768
0.116,-0.645,0.772,-45.732,1.89,10.061
0.087,-0.695,0.844,-44.207,-0.915,3.232
0.094,-0.74,0.883,-40.0,-5.427,-2.012
0.151,-0.704,0.908,-39.39,-7.134,-10.854
0.223,-0.712,0.915,-38.11,-5.0,-13.476
0.23,-0.774,0.876,-36.646,-1.89,-12.378
0.176,-0.788,0.814,-34.817,-4.024,-15.183
0.153,-0.762,0.791,-29.695,-6.159,-18.293
0.163,-0.753,0.845,-22.927,-6.829,-13.049
0.192,-0.788,0.856,-17.561,-9.512,-5.061
0.161,-0.78,0.833,-12.439,-8.902,-3.293
0.2,-0.775,0.813,-9.024,-8.598,-1.646
