acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
2.629,-0.223,0.042,45.305,167.134,-136.707
2.024,-0.167,0.768,18.537,292.866,-105.488
0.339,-0.323,1.061,14.268,333.781,-102.073
-1.022,-0.155,1.451,7.5,204.085,-110.915
-1.025,-0.202,1.747,-9.451,16.951,-24.573
-0.096,-0.367,1.689,-19.573,-109.756,75.854
0.481,-0.445,1.545,-18.841,-109.207,80.976
0.396,-0.43,1.25,-23.049,-29.512,17.073
-0.043,-0.399,0.888,-30.915,34.39,-16.463
-0.456,-0.406,0.54,-36.524,25.122,-17.012
-0.695,-0.416,0.388,-41.037,-23.78,-23.232
-0.595,-0.403,0.572,-45.61,-59.146,-33.415
-0.164,-0.42,0.855,-46.89,-66.585,-31.524
0.245,-0.455,1.06,-44.329,-43.354,-27.073
0.351,-0.417,1.081,-46.524,-9.756,-26.89
0.221,-0.396,0.968,-48.841,1.524,-14.451
0.055,-0.454,0.841,-44.695,-8.354,0.061
-0.057,-0.491,0.794,-40.976,-19.756,3.232
-0.094,-0.486,0.813,-40.671,-27.195,1.829
-0.084,-0.498,0.852,-40.671,-27.561,-0.732
-0.051,-0.508,0.867,-41.89,-25.793,-2.256
-0.026,-0.491,0.904,-43.963,-26.89,-3.537
0.018,-0.486,0.955,-44.207,-22.195,-4.695
0.077,-0.483,0.917,-44.939,-14.085,-4.268
0.039,-0.463,0.859,-46.402,-9.573,-1.22
0.007,-0.491,0.835,-45.366,-7.805,1.098
0.028,-0.529,0.836,-43.415,-4.024,-0.671
0.027,-0.528,0.836,-42.256,0.549,1.524
0.021,-0.549,0.819,-39.451,2.195,7.5
-0.018,-0.538,0.812,-35.915,4.939,8.232
-0.013,-0.526,0.807,-33.72,7.378,9.146
-0.039,-0.514,0.786,-31.707,9.512,11.098
-0.036,-0.52,0.753,-31.768,13.415,14.634
-0.012,-0.578,0.756,-31.89,18.841,20.671
-0.065,-0.63,0.785,-29.573,22.195,25.793
-0.108,-0.673,0.814,-26.28,21.585,27.683
-0.077,-0.701,0.857,-24.512,20.732,24.634
-0.066,-0.69,0.889,-23.11,16.585,19.146
-0.083,-0.654,0.901,-21.402,12.561,9.024
-0.041,-0.593,0.92,-21.22,12.744,-4.268
0.016,-0.59,0.985,-20.976,13.049,-8.659
-0.035,-0.663,1.033,-17.805,8.659,-4.695
-0.112,-0.712,1.023,-12.988,3.476,-7.744
-0.124,-0.737,0.99,-9.817,-0.671,-15.0
-0.093,-0.758,0.957,-6.098,-3.72,-15.61
-0.027,-0.811,0.916,-2.256,-8.841,-10.61
-0.002,-0.794,0.878,0.854,-9.451,-11.89
0.004,-0.72,0.885,2.622,-4.512,-10.488
0.02,-0.704,0.9,3.72,0.488,-3.902
-0.05,-0.706,0.879,6.463,0.305,-1.829
-0.117,-0.695,0.836,9.817,-1.951,-1.098
-0.134,-0.668,0.799,12.439,-5.122,1.829
-0.111,-0.645,0.78,13.537,-7.378,1.89
-0.074,-0.621,0.784,12.988,-6.951,1.037
-0.078,-0.593,0.799,11.159,-5.671,2.134
-0.084,-0.593,0.802,8.78,-5.122,1.768
-0.064,-0.6,0.803,7.805,-2.378,-1.524
-0.049,-0.597,0.786,7.317,0.0,-1.951
-0.047,-0.577,0.784,7.378,0.305,-0.488
-0.04,-0.564,0.797,8.11,-0.122,0.671
-0.036,-0.549,0.784,8.78,-1.402,1.524
-0.019,-0.54,0.795,8.598,-2.012,2.988
-0.02,-0.534,0.816,8.963,-2.683,5.549
-0.022,-0.546,0.832,10.122,-2.927,8.476
-0.027,-0.562,0.846,10.671,-1.585,11.28
-0.049,-0.568,0.853,9.634,-1.037,11.951
-0.064,-0.566,0.86,7.866,-1.829,10.427
-0.035,-0.568,0.875,6.098,-1.402,9.329
-0.037,-0.569,0.876,4.085,-0.854,8.902
-0.052,-0.575,0.854,3.171,-2.195,8.354
-0.031,-0.588,0.836,3.415,-2.317,8.11
-0.023,-0.589,0.828,3.841,0.305,9.573
-0.036,-0.58,0.806,4.268,2.927,11.098
-0.061,-0.578,0.786,4.268,5.366,11.585
-0.101,-0.573,0.786,4.634,4.573,11.341
-0.091,-0.571,0.796,4.756,2.744,10.488
-0.048,-0.568,0.798,3.902,3.476,9.146
-0.041,-0.558,0.805,3.78,4.634,9.085
-0.071,-0.545,0.8,5.0,4.573,10.305
-0.083,-0.549,0.78,5.915,4.817,11.707
-0.075,-0.553,0.784,6.037,5.61,12.378
-0.067,-0.565,0.796,5.305,7.012,12.439
-0.06,-0.584,0.812,4.451,8.78,12.134
-0.064,-0.59,0.812,4.573,8.72,10.976
-0.077,-0.589,0.803,5.671,8.476,9.573
-0.083,-0.583,0.783,7.683,9.146,9.329
-0.049,-0.571,0.77,10.244,12.683,10.549
-0.004,-0.556,0.76,12.866,19.817,13.049
0.002,-0.54,0.759,15.976,29.817,16.829
-0.008,-0.529,0.765,19.146,38.902,21.28
-0.02,-0.517,0.796,22.988,46.22,24.085
-0.032,-0.497,0.832,24.268,53.537,27.134
-0.06,-0.493,0.853,23.659,58.049,30.549
-0.097,-0.492,0.876,23.049,58.598,30.061
-0.137,-0.492,0.91,22.5,55.427,27.622
-0.156,-0.488,0.942,20.915,48.963,25.793
-0.144,-0.5,0.967,21.037,43.537,27.927
-0.084,-0.492,0.953,19.207,40.976,27.683
-0.076,-0.46,0.932,15.61,38.78,22.744
-0.136,-0.442,0.904,13.354,33.415,17.927
-0.164,-0.437,0.879,11.463,24.207,21.037
-0.143,-0.426,0.863,11.829,15.915,25.122
-0.109,-0.392,0.853,11.585,11.159,26.341
-0.11,-0.341,0.869,9.085,8.963,27.073
-0.11,-0.301,0.896,6.159,4.39,30.976
-0.122,-0.278,0.917,1.89,-5.61,37.5
-0.163,-0.249,0.923,-5.915,-19.268,46.768
-0.158,-0.268,0.894,-13.11,-33.659,58.354
-0.12,-0.315,0.9,-17.317,-40.671,66.159
-0.097,-0.33,0.924,-19.268,-37.561,70.793
-0.063,-0.266,0.918,-21.768,-34.207,74.817
-0.051,-0.163,0.914,-27.439,-39.939,82.927
-0.078,-0.264,0.938,-25.061,-48.841,97.195
-0.089,-0.469,0.962,-16.89,-48.293,110.732
-0.091,-0.43,0.987,-15.61,-41.768,116.89
-0.086,-0.24,1.0,-20.0,-37.805,118.842
-0.099,-0.123,1.009,-24.939,-37.683,117.561
-0.148,-0.123,1.032,-30.305,-38.78,112.927
-0.206,-0.192,1.044,-34.817,-42.256,112.439
-0.24,-0.28,1.031,-34.817,-48.659,123.537
-0.253,-0.266,1.003,-35.305,-52.866,130.854
-0.249,-0.189,0.977,-40.61,-54.39,133.659
-0.235,-0.167,0.95,-47.073,-55.549,141.159
