acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.196,-0.373,0.594,-38.476,-10.183,-40.0
0.215,-0.356,0.86,-41.646,4.695,-20.732
0.012,-0.363,1.009,-37.805,4.329,-17.134
-0.122,-0.404,1.028,-35.244,-8.293,-20.976
-0.084,-0.469,0.993,-31.585,-18.476,-12.927
0.011,-0.499,0.925,-28.841,-17.195,-4.756
0.068,-0.493,0.857,-27.683,-7.561,-5.122
0.085,-0.486,0.83,-25.915,4.878,-7.134
0.065,-0.458,0.83,-25.671,13.598,-4.695
0.011,-0.43,0.853,-26.707,15.061,-3.11
-0.066,-0.417,0.87,-26.585,10.549,-3.72
-0.118,-0.419,0.854,-27.5,4.573,-1.585
-0.114,-0.438,0.835,-27.866,1.463,2.073
-0.08,-0.469,0.823,-27.256,1.89,3.963
-0.075,-0.478,0.817,-26.768,2.5,3.659
-0.09,-0.483,0.828,-26.341,1.159,3.598
-0.07,-0.5,0.837,-25.976,2.195,5.061
0.01,-0.516,0.844,-25.0,7.561,4.878
0.046,-0.498,0.847,-24.756,13.354,3.415
0.014,-0.472,0.84,-26.037,16.768,3.354
-0.027,-0.467,0.838,-27.195,16.707,4.817
-0.049,-0.46,0.828,-29.024,14.817,6.22
-0.089,-0.454,0.807,-31.707,11.707,8.354
-0.104,-0.467,0.791,-33.78,9.634,10.793
-0.059,-0.504,0.759,-34.817,10.366,15.915
-0.011,-0.542,0.728,-35.549,12.744,19.024
-0.066,-0.513,0.75,-36.463,17.439,17.622
-0.079,-0.513,0.803,-37.5,22.195,17.805
-0.067,-0.546,0.856,-37.439,23.171,15.549
-0.13,-0.557,0.89,-36.585,19.451,11.402
-0.099,-0.583,0.893,-35.61,15.061,8.902
-0.042,-0.596,0.875,-35.366,16.159,4.512
-0.066,-0.625,0.854,-34.268,17.988,5.366
-0.119,-0.689,0.824,-30.183,21.037,7.683
-0.158,-0.75,0.825,-25.915,26.159,5.671
-0.215,-0.788,0.862,-24.695,23.476,-1.707
-0.25,-0.854,0.88,-21.768,10.671,-11.22
-0.19,-0.862,0.902,-16.646,4.329,-25.061
-0.084,-0.764,0.938,-14.573,8.171,-32.927
