acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.094,-0.964,0.682,-24.634,29.39,67.561
-0.084,-0.941,0.686,-24.695,28.415,64.146
-0.121,-0.948,0.666,-22.744,23.11,58.537
-0.198,-0.972,0.629,-20.061,19.39,52.988
-0.22,-1.024,0.618,-17.805,18.963,48.11
-0.196,-1.084,0.641,-15.976,20.732,42.256
-0.219,-1.119,0.666,-14.939,21.524,35.122
-0.258,-1.144,0.676,-13.72,21.037,27.744
-0.284,-1.152,0.674,-13.11,20.244,21.707
-0.285,-1.133,0.664,-12.561,18.659,17.195
-0.276,-1.111,0.646,-12.012,16.524,14.085
-0.282,-1.081,0.618,-11.28,11.951,11.524
-0.295,-1.042,0.574,-10.244,7.561,9.085
-0.337,-1.013,0.538,-8.476,5.305,6.951
-0.365,-0.982,0.505,-7.439,4.817,5.061
-0.375,-0.944,0.496,-7.012,4.817,3.049
-0.391,-0.926,0.48,-6.22,3.659,0.915
-0.392,-0.909,0.463,-5.366,2.317,-0.915
-0.368,-0.885,0.453,-4.39,0.793,-1.646
-0.331,-0.879,0.441,-3.171,-0.854,-1.768
-0.328,-0.87,0.44,-2.683,-1.524,-2.073
-0.325,-0.844,0.435,-2.988,-1.585,-2.195
-0.307,-0.836,0.43,-2.805,-2.561,-1.951
-0.312,-0.832,0.417,-2.317,-4.146,-2.439
-0.348,-0.817,0.392,-1.89,-5.122,-2.988
-0.358,-0.808,0.386,-1.829,-4.39,-2.805
-0.351,-0.806,0.393,-2.439,-3.598,-2.744
-0.347,-0.796,0.4,-3.476,-3.72,-2.744
-0.327,-0.801,0.389,-4.39,-3.171,-2.073
-0.307,-0.808,0.375,-5.122,-2.378,-0.854
-0.292,-0.802,0.375,-5.61,-1.707,0.0
-0.293,-0.805,0.381,-5.427,-1.28,0.671
-0.306,-0.809,0.399,-5.305,-0.183,1.341
-0.335,-0.808,0.42,-5.732,0.61,1.402
-0.336,-0.817,0.421,-5.671,0.305,1.098
-0.33,-0.829,0.41,-5.122,-0.854,0.61
-0.327,-0.837,0.401,-4.329,-2.683,0.549
-0.314,-0.853,0.405,-3.354,-4.451,0.244
-0.292,-0.875,0.422,-2.134,-5.427,0.061
-0.281,-0.897,0.438,-1.524,-5.244,-0.793
-0.263,-0.904,0.444,-0.976,-3.659,-1.402
-0.251,-0.91,0.451,-0.427,-3.415,-2.256
-0.268,-0.91,0.463,-0.305,-4.268,-3.841
-0.299,-0.913,0.475,-0.244,-4.634,-4.878
-0.288,-0.912,0.486,-0.061,-5.488,-5.732
-0.254,-0.913,0.484,0.854,-6.524,-6.646
-0.249,-0.925,0.48,1.585,-7.195,-7.195
-0.23,-0.931,0.484,2.195,-7.805,-7.744
-0.212,-0.938,0.488,2.622,-8.232,-8.171
-0.205,-0.945,0.492,2.927,-8.537,-8.963
-0.207,-0.942,0.495,2.866,-8.598,-9.939
-0.209,-0.94,0.494,2.805,-8.598,-11.159
-0.202,-0.933,0.496,3.171,-8.415,-11.951
-0.187,-0.93,0.507,3.537,-8.11,-12.317
-0.177,-0.925,0.519,3.78,-7.744,-12.622
-0.159,-0.918,0.523,4.329,-7.622,-12.927
-0.154,-0.916,0.516,4.39,-7.988,-13.293
-0.164,-0.912,0.505,4.756,-8.537,-13.415
-0.167,-0.911,0.507,4.939,-8.659,-13.415
-0.166,-0.908,0.505,4.695,-8.354,-13.659
-0.148,-0.9,0.502,4.451,-7.439,-13.293
-0.135,-0.902,0.497,4.634,-6.463,-13.11
-0.137,-0.9,0.503,4.695,-6.28,-13.049
-0.138,-0.892,0.51,4.39,-6.585,-12.988
-0.133,-0.889,0.504,4.268,-6.768,-12.561
-0.12,-0.885,0.503,4.268,-6.707,-11.89
-0.114,-0.872,0.5,3.902,-6.707,-11.463
-0.119,-0.875,0.487,3.293,-6.463,-11.037
-0.127,-0.868,0.482,2.866,-5.732,-10.793
-0.125,-0.855,0.49,2.927,-5.061,-10.366
-0.127,-0.858,0.495,2.744,-5.0,-10.244
-0.139,-0.859,0.486,2.378,-4.451,-9.878
-0.13,-0.855,0.48,1.768,-3.232,-9.024
-0.121,-0.855,0.48,1.28,-2.622,-8.598
