acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.202,-1.014,0.466,-13.415,33.171,48.11
-0.206,-1.029,0.474,-13.598,33.902,47.927
-0.174,-1.018,0.53,-14.512,35.0,47.134
-0.171,-0.989,0.596,-15.61,34.207,45.061
-0.185,-0.973,0.64,-16.646,31.28,42.683
-0.203,-0.987,0.664,-17.134,29.39,40.061
-0.234,-1.022,0.684,-18.049,27.683,37.805
-0.242,-1.036,0.69,-18.232,24.695,33.78
-0.249,-1.038,0.659,-16.585,19.878,28.841
-0.281,-1.053,0.617,-13.902,13.476,23.049
-0.322,-1.061,0.57,-10.488,9.146,17.012
-0.376,-1.067,0.554,-8.78,8.11,11.524
-0.396,-1.055,0.552,-8.11,7.317,6.707
-0.397,-1.045,0.545,-7.378,4.817,1.829
-0.409,-1.038,0.532,-7.439,1.89,-2.5
-0.413,-1.019,0.522,-7.195,-0.915,-5.854
-0.386,-0.998,0.515,-6.402,-3.902,-7.866
-0.356,-0.98,0.504,-4.939,-6.707,-9.146
-0.361,-0.966,0.489,-3.232,-8.72,-10.549
-0.365,-0.938,0.472,-1.707,-9.085,-11.037
-0.351,-0.915,0.461,0.183,-9.329,-11.89
-0.352,-0.882,0.45,2.256,-10.244,-13.293
-0.359,-0.855,0.441,3.841,-10.976,-14.024
-0.372,-0.836,0.419,4.39,-11.28,-14.817
-0.35,-0.815,0.399,4.634,-11.829,-14.634
-0.305,-0.801,0.394,4.573,-11.951,-14.085
-0.292,-0.788,0.398,4.39,-12.561,-13.415
-0.291,-0.787,0.395,4.207,-13.171,-12.683
-0.275,-0.794,0.397,4.024,-12.683,-12.195
-0.27,-0.788,0.399,3.598,-11.89,-11.89
-0.257,-0.783,0.409,3.78,-10.061,-10.793
-0.256,-0.792,0.414,3.78,-8.232,-10.305
-0.266,-0.782,0.404,3.049,-7.561,-9.817
-0.261,-0.777,0.397,2.5,-6.707,-8.659
-0.25,-0.792,0.404,1.585,-5.549,-7.744
-0.23,-0.794,0.416,0.61,-4.634,-6.768
-0.215,-0.8,0.435,0.305,-4.268,-5.671
-0.227,-0.819,0.452,0.244,-5.061,-5.244
-0.233,-0.833,0.462,0.061,-6.098,-5.244
-0.221,-0.85,0.469,0.183,-6.585,-5.427
-0.215,-0.866,0.462,0.061,-6.28,-5.854
-0.209,-0.881,0.464,0.122,-6.037,-6.707
-0.202,-0.899,0.472,0.671,-6.22,-7.805
-0.188,-0.916,0.489,1.037,-6.585,-8.476
-0.183,-0.918,0.498,1.341,-7.317,-9.512
-0.164,-0.926,0.504,1.829,-7.988,-10.0
-0.145,-0.932,0.521,2.561,-8.902,-10.549
-0.141,-0.935,0.543,2.927,-9.878,-11.402
-0.146,-0.938,0.557,3.232,-9.756,-12.439
-0.133,-0.949,0.563,2.988,-8.171,-13.293
-0.11,-0.957,0.561,2.866,-5.61,-14.085
-0.096,-0.954,0.558,2.683,-4.329,-14.634
-0.108,-0.948,0.554,2.988,-4.939,-16.28
-0.131,-0.943,0.549,3.171,-5.244,-17.622
-0.125,-0.938,0.545,2.683,-5.244,-18.293
-0.097,-0.921,0.535,2.5,-4.817,-18.415
-0.071,-0.915,0.535,2.5,-4.512,-17.927
-0.057,-0.908,0.536,3.049,-3.902,-17.561
-0.054,-0.906,0.547,3.902,-4.573,-16.829
-0.055,-0.903,0.553,4.695,-6.951,-16.098
-0.074,-0.896,0.551,5.549,-8.841,-16.341
-0.102,-0.89,0.549,5.549,-9.085,-16.463
-0.075,-0.883,0.546,5.0,-7.805,-15.671
-0.041,-0.875,0.537,4.878,-7.195,-15.305
-0.048,-0.869,0.522,5.0,-6.89,-15.183
-0.07,-0.863,0.521,4.512,-6.28,-14.695
-0.064,-0.852,0.512,4.085,-5.061,-14.024
-0.051,-0.838,0.497,3.72,-4.939,-12.927
-0.034,-0.822,0.487,3.171,-6.646,-11.768
-0.037,-0.809,0.485,2.683,-8.476,-10.732
-0.045,-0.792,0.477,2.439,-9.024,-9.085
-0.026,-0.775,0.478,2.744,-9.146,-6.341
-0.012,-0.757,0.475,3.476,-9.695,-3.415
-0.004,-0.738,0.463,4.939,-11.768,0.061
-0.004,-0.717,0.456,7.317,-15.671,4.207
-0.004,-0.688,0.438,8.963,-15.488,10.122
-0.016,-0.659,0.425,10.549,-9.939,18.415
