acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.015,-0.649,0.599,25.793,37.988,15.305
0.042,-0.685,0.566,31.037,40.793,29.878
-0.002,-0.697,0.54,34.634,45.915,39.39
-0.039,-0.7,0.514,36.037,53.963,45.976
0.006,-0.738,0.515,31.341,71.707,50.61
0.076,-0.773,0.501,7.012,59.817,57.5
0.064,-0.7,0.448,-28.232,0.122,71.585
-0.423,-0.477,0.707,-37.012,-3.963,50.854
-0.603,-0.563,1.046,-25.976,17.012,47.561
0.218,-0.9,1.263,-18.354,7.683,58.049
-0.103,-0.824,1.11,-17.439,12.866,40.549
-0.392,-0.74,0.877,-19.268,38.232,51.768
0.074,-0.787,0.703,-16.098,44.634,63.598
-0.082,-0.855,0.578,-11.768,37.073,61.402
-0.484,-0.927,0.468,-8.963,29.512,56.524
-0.523,-0.955,0.391,-6.463,21.22,49.634
-0.518,-0.984,0.365,-4.756,11.829,41.28
-0.534,-1.026,0.389,-4.024,7.805,33.049
-0.477,-1.064,0.458,-3.841,8.476,24.634
-0.436,-1.078,0.55,-3.598,8.537,16.341
-0.418,-1.101,0.636,-4.573,8.72,10.0
-0.398,-1.085,0.667,-5.366,8.232,5.366
-0.371,-1.047,0.667,-6.646,5.549,1.707
-0.366,-1.011,0.64,-7.988,3.78,-0.793
-0.373,-0.972,0.591,-8.293,2.744,-2.622
-0.36,-0.941,0.542,-6.707,-0.061,-4.817
-0.384,-0.93,0.51,-4.329,-3.415,-6.768
-0.449,-0.914,0.495,-2.805,-5.732,-9.085
-0.458,-0.895,0.477,-1.646,-6.829,-10.549
-0.438,-0.874,0.466,-0.061,-7.683,-12.012
-0.416,-0.844,0.453,0.671,-9.573,-12.866
-0.405,-0.825,0.44,1.341,-11.829,-13.537
-0.403,-0.817,0.438,1.646,-13.659,-13.537
-0.389,-0.804,0.429,1.524,-14.634,-13.354
-0.364,-0.805,0.423,1.707,-14.756,-12.256
-0.338,-0.806,0.426,1.89,-14.268,-11.037
-0.34,-0.794,0.431,1.28,-13.78,-10.671
-0.343,-0.778,0.428,0.549,-13.78,-10.61
-0.341,-0.777,0.423,-0.244,-13.293,-9.878
-0.337,-0.784,0.422,-1.037,-11.707,-9.268
-0.34,-0.774,0.428,-1.951,-10.0,-8.537
-0.34,-0.768,0.441,-2.622,-8.72,-7.744
-0.335,-0.771,0.446,-3.415,-9.085,-7.317
-0.314,-0.775,0.444,-3.171,-10.244,-6.768
-0.3,-0.782,0.445,-2.805,-11.037,-5.976
-0.293,-0.786,0.45,-2.744,-10.732,-5.183
-0.28,-0.794,0.452,-2.561,-10.122,-4.024
-0.26,-0.814,0.46,-2.073,-10.183,-2.988
