acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.375,-0.638,0.555,50.549,95.488,-87.317
-0.354,-0.6,0.554,50.305,91.524,-82.073
-0.348,-0.615,0.574,48.232,94.634,-73.78
-0.311,-0.649,0.615,44.817,96.768,-61.768
-0.217,-0.664,0.623,42.195,99.634,-50.0
-0.199,-0.685,0.573,35.366,100.244,-37.012
-0.208,-0.688,0.58,21.951,97.5,-32.988
-0.167,-0.64,0.538,9.024,110.488,-30.244
-0.181,-0.598,0.65,3.293,113.476,-18.049
-0.16,-0.578,0.773,5.427,89.451,-5.793
-0.211,-0.669,0.749,2.134,58.354,0.183
-0.337,-0.697,0.629,4.085,39.695,-1.098
-0.378,-0.761,0.524,7.927,35.244,0.732
-0.445,-0.811,0.49,1.768,27.256,6.89
-0.626,-0.768,0.542,-3.963,14.024,6.585
-0.709,-0.772,0.672,-4.329,6.463,0.854
-0.661,-0.812,0.787,-5.244,0.366,-5.305
-0.618,-0.836,0.791,-7.317,-4.878,-5.366
-0.563,-0.858,0.692,-6.037,-5.854,0.854
-0.463,-0.873,0.627,-1.768,-11.951,9.268
-0.408,-0.847,0.624,1.28,-23.963,11.951
-0.382,-0.825,0.622,2.317,-30.671,10.61
-0.322,-0.821,0.604,2.866,-33.78,6.159
-0.354,-0.818,0.595,3.171,-35.915,-0.122
-0.468,-0.832,0.583,4.634,-34.024,-3.841
-0.53,-0.872,0.588,6.402,-32.683,-7.988
-0.546,-0.892,0.598,6.159,-31.402,-12.378
-0.521,-0.889,0.592,4.817,-28.963,-13.415
-0.472,-0.857,0.549,4.695,-24.512,-13.963
-0.43,-0.833,0.492,6.037,-18.476,-14.146
-0.396,-0.813,0.461,7.744,-13.598,-14.939
-0.404,-0.793,0.446,8.476,-11.037,-16.463
-0.414,-0.788,0.454,8.049,-10.0,-18.415
-0.421,-0.785,0.467,7.012,-10.305,-19.024
-0.425,-0.79,0.479,5.671,-9.939,-17.622
-0.409,-0.785,0.505,4.268,-7.561,-15.244
-0.38,-0.759,0.509,4.146,-4.573,-12.012
-0.357,-0.742,0.501,4.085,-2.866,-6.768
-0.324,-0.713,0.485,3.415,-2.134,-2.561
-0.309,-0.705,0.458,2.744,-3.11,-1.159
-0.333,-0.717,0.458,2.317,-5.976,-0.854
-0.393,-0.732,0.476,0.854,-8.659,-0.366
-0.428,-0.752,0.484,-1.341,-10.427,-0.488
-0.413,-0.767,0.496,-3.537,-10.61,-0.183
-0.395,-0.778,0.503,-5.549,-9.512,0.549
-0.375,-0.787,0.513,-7.5,-6.524,1.098
-0.354,-0.792,0.522,-9.024,-1.829,2.012
-0.35,-0.791,0.517,-9.634,2.927,2.988
-0.366,-0.789,0.499,-8.963,6.28,4.024
-0.376,-0.79,0.479,-8.049,8.049,5.061
-0.376,-0.788,0.467,-7.561,8.598,5.61
-0.372,-0.788,0.468,-6.28,6.829,4.878
-0.383,-0.801,0.481,-5.0,4.939,3.963
-0.402,-0.815,0.489,-4.634,4.329,3.902
-0.41,-0.823,0.495,-4.451,4.573,3.841
-0.405,-0.826,0.491,-4.146,5.366,3.72
