acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.719,-0.993,0.407,-22.073,78.232,45.732
-0.747,-1.082,0.439,-18.171,71.829,40.488
-0.76,-1.14,0.472,-16.341,65.793,35.61
-0.767,-1.169,0.516,-15.976,57.5,30.183
-0.769,-1.183,0.555,-14.146,47.134,23.476
-0.784,-1.184,0.583,-12.317,35.61,17.683
-0.797,-1.138,0.585,-11.098,24.756,14.573
-0.803,-1.08,0.54,-9.451,19.817,13.415
-0.802,-1.046,0.483,-8.537,20.183,14.268
-0.785,-1.01,0.428,-8.476,19.817,15.61
-0.797,-0.977,0.388,-7.927,15.366,15.427
-0.844,-0.948,0.351,-5.976,8.659,13.72
-0.869,-0.948,0.313,-3.72,1.829,12.073
-0.874,-0.958,0.266,-1.524,-3.902,10.671
-0.885,-0.968,0.235,0.549,-8.476,8.78
-0.882,-0.974,0.243,2.134,-10.183,7.134
-0.86,-0.964,0.25,3.659,-8.963,6.037
-0.843,-0.939,0.254,4.573,-8.415,4.939
-0.824,-0.91,0.269,6.098,-10.549,3.354
-0.805,-0.888,0.275,8.354,-13.841,1.646
-0.783,-0.87,0.273,9.939,-16.829,-0.366
-0.757,-0.853,0.268,11.341,-19.878,-1.89
-0.727,-0.836,0.279,12.744,-22.561,-3.415
-0.708,-0.828,0.279,14.329,-24.451,-5.305
-0.688,-0.824,0.27,14.939,-26.402,-6.585
-0.669,-0.811,0.27,15.366,-28.476,-7.805
-0.651,-0.795,0.275,15.671,-30.244,-9.024
-0.637,-0.771,0.272,14.939,-31.585,-9.695
-0.618,-0.743,0.262,14.024,-31.829,-10.427
-0.6,-0.732,0.255,13.232,-31.159,-10.732
-0.584,-0.732,0.251,12.378,-29.512,-10.366
-0.572,-0.723,0.247,11.402,-26.829,-10.244
-0.57,-0.705,0.25,9.817,-24.024,-10.244
-0.57,-0.688,0.25,8.354,-21.951,-9.939
-0.569,-0.673,0.251,7.195,-19.939,-9.512
-0.566,-0.665,0.242,5.61,-17.866,-8.72
-0.552,-0.656,0.23,4.268,-16.646,-7.317
-0.54,-0.65,0.228,3.171,-16.829,-6.037
-0.539,-0.645,0.231,2.683,-16.646,-5.122
-0.544,-0.641,0.225,1.89,-14.451,-4.268
-0.553,-0.64,0.212,0.549,-13.11,-2.744
-0.548,-0.646,0.206,0.061,-12.5,-2.195
-0.551,-0.671,0.204,-0.183,-12.012,-1.768
-0.556,-0.685,0.207,-1.402,-12.012,-1.037
-0.56,-0.669,0.216,-2.805,-12.012,-0.122
-0.559,-0.655,0.232,-4.146,-11.463,0.488
-0.56,-0.656,0.238,-5.671,-10.915,1.22
-0.57,-0.662,0.24,-7.561,-11.28,1.951
-0.576,-0.677,0.25,-9.573,-12.805,2.561
-0.576,-0.693,0.268,-11.768,-15.671,3.232
-0.584,-0.704,0.293,-14.512,-20.366,4.268
-0.591,-0.711,0.315,-16.951,-24.573,5.0
-0.6,-0.729,0.328,-19.207,-27.439,5.915
-0.61,-0.744,0.324,-22.134,-31.829,8.171
-0.616,-0.749,0.333,-23.293,-37.927,9.573
-0.64,-0.753,0.367,-22.683,-46.89,9.695
-0.679,-0.757,0.411,-23.598,-59.695,9.817
-0.698,-0.736,0.473,-25.427,-70.244,11.159
-0.683,-0.702,0.528,-28.11,-77.805,13.78
-0.622,-0.687,0.579,-28.476,-85.0,17.195
-0.577,-0.692,0.605,-29.939,-96.402,23.902
