acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.407,-0.739,0.261,16.524,81.159,4.939
-0.388,-0.747,0.249,12.683,80.0,6.585
-0.355,-0.735,0.236,7.988,79.329,5.61
-0.38,-0.729,0.206,6.28,77.439,8.415
-0.414,-0.743,0.207,5.976,74.878,15.671
-0.396,-0.752,0.216,2.5,82.134,22.256
-0.378,-0.742,0.205,-5.61,94.512,31.402
-0.334,-0.72,0.204,-13.902,103.781,38.78
-0.368,-0.689,0.227,-19.573,104.451,39.39
-0.49,-0.64,0.293,-22.866,100.061,36.951
-0.559,-0.616,0.336,-26.22,97.012,37.988
-0.562,-0.616,0.354,-30.122,97.256,40.183
-0.582,-0.607,0.369,-33.841,99.878,39.39
-0.596,-0.614,0.389,-36.768,103.781,38.171
-0.582,-0.649,0.395,-37.805,109.756,39.268
-0.596,-0.696,0.381,-37.5,114.451,42.012
-0.62,-0.72,0.363,-36.341,116.159,42.683
-0.633,-0.723,0.362,-34.268,112.317,42.256
-0.59,-0.765,0.356,-32.073,103.659,42.134
-0.563,-0.825,0.351,-29.695,89.329,42.195
-0.574,-0.884,0.346,-26.098,70.854,39.512
-0.602,-0.962,0.371,-21.707,54.085,36.22
-0.657,-1.014,0.376,-19.756,42.5,34.268
-0.676,-1.035,0.373,-18.11,37.012,31.098
-0.666,-1.063,0.375,-15.732,35.244,27.378
-0.689,-1.073,0.365,-13.72,32.439,23.598
-0.723,-1.057,0.339,-11.341,28.11,20.488
-0.745,-1.038,0.295,-9.207,24.085,18.841
-0.758,-1.021,0.263,-7.5,20.549,18.293
-0.775,-0.997,0.236,-6.341,16.646,17.256
-0.795,-0.965,0.214,-5.244,12.683,15.122
-0.804,-0.953,0.198,-4.146,9.451,13.232
-0.798,-0.942,0.187,-3.659,6.463,12.744
-0.782,-0.923,0.176,-3.293,4.451,11.89
-0.76,-0.911,0.157,-3.049,3.415,11.22
-0.745,-0.902,0.145,-2.622,3.72,10.305
-0.743,-0.898,0.14,-2.256,3.78,9.512
-0.751,-0.894,0.129,-1.341,2.561,8.537
-0.763,-0.886,0.128,0.122,0.915,7.256
-0.753,-0.885,0.131,1.341,-0.305,6.341
-0.732,-0.873,0.133,2.5,-2.195,5.366
-0.714,-0.858,0.137,4.268,-4.512,3.659
-0.698,-0.848,0.139,5.488,-6.768,2.317
-0.684,-0.831,0.139,6.341,-9.573,1.037
-0.671,-0.814,0.146,7.5,-11.89,0.061
-0.651,-0.807,0.149,8.293,-12.927,-0.305
-0.632,-0.806,0.148,8.841,-13.598,-0.61
-0.628,-0.799,0.153,9.146,-14.146,-1.402
-0.639,-0.795,0.154,9.39,-14.817,-2.256
-0.64,-0.79,0.164,9.756,-15.183,-2.805
-0.635,-0.782,0.172,9.939,-15.183,-3.11
-0.633,-0.765,0.161,9.695,-16.037,-3.049
-0.617,-0.75,0.156,9.512,-16.768,-2.744
-0.608,-0.746,0.154,9.451,-17.5,-2.256
-0.608,-0.74,0.152,9.085,-18.902,-1.768
-0.608,-0.732,0.162,8.963,-19.878,-1.037
-0.605,-0.73,0.172,8.902,-20.61,-0.244
-0.616,-0.722,0.175,8.171,-22.988,0.915
-0.617,-0.71,0.17,7.866,-26.098,1.707
-0.607,-0.714,0.174,7.561,-29.512,2.927
-0.592,-0.717,0.184,6.768,-33.171,4.512
-0.587,-0.702,0.199,5.549,-37.317,5.61
-0.599,-0.69,0.213,3.963,-41.341,6.768
-0.614,-0.696,0.225,2.988,-44.146,8.049
-0.634,-0.709,0.234,2.073,-46.646,9.695
-0.64,-0.724,0.236,1.463,-49.268,11.22
-0.645,-0.741,0.247,1.524,-50.305,12.378
-0.657,-0.75,0.252,2.073,-49.695,13.841
-0.669,-0.753,0.246,2.744,-49.512,14.573
-0.689,-0.763,0.234,3.415,-51.768,15.183
-0.696,-0.769,0.233,4.085,-55.854,15.549
