acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.137,0.623,0.834,57.256,-124.634,-8.11
-0.029,0.633,0.761,58.049,-131.89,-10.915
0.017,0.702,0.672,55.671,-123.293,-9.024
-0.013,0.773,0.585,51.463,-103.415,-7.927
-0.019,0.805,0.559,46.037,-74.451,-7.622
-0.039,0.812,0.533,39.39,-39.878,-4.756
-0.043,0.799,0.501,33.232,-10.0,-3.11
-0.039,0.81,0.462,24.756,9.878,-1.646
-0.049,0.815,0.442,14.268,21.463,-0.366
-0.077,0.787,0.452,3.72,27.561,0.549
-0.128,0.754,0.502,-5.122,30.61,0.305
-0.14,0.709,0.561,-11.646,30.488,-0.366
-0.154,0.697,0.663,-22.012,29.451,-0.427
-0.228,0.664,0.795,-33.11,28.415,-1.159
-0.319,0.575,0.895,-41.159,26.341,-3.598
-0.387,0.526,0.98,-48.415,25.549,-6.707
-0.318,0.435,1.043,-47.866,30.366,-7.012
-0.169,0.325,1.072,-41.89,40.671,-3.72
-0.042,0.237,1.111,-31.22,58.78,-1.768
-0.032,0.138,1.167,-12.195,75.671,5.671
-0.272,0.104,1.131,4.451,65.183,19.512
-0.548,0.182,1.015,12.439,21.951,23.415
-0.596,0.255,0.908,18.049,-20.244,19.146
-0.409,0.284,0.83,23.598,-38.171,14.207
-0.244,0.327,0.782,30.122,-37.622,13.049
-0.142,0.409,0.716,39.512,-27.195,14.878
-0.043,0.519,0.612,47.866,-10.122,13.659
-0.005,0.614,0.538,55.488,4.573,9.146
-0.044,0.716,0.53,60.793,1.89,3.415
-0.101,0.85,0.541,59.512,-21.098,0.671
-0.09,0.938,0.532,52.866,-47.195,0.0
0.015,1.003,0.51,42.439,-56.585,0.488
0.114,1.091,0.513,25.61,-46.341,-0.671
0.171,1.079,0.537,9.146,-24.207,-7.5
0.225,0.966,0.542,-1.037,-0.122,-12.378
0.15,0.867,0.533,-7.866,15.549,-12.683
-0.026,0.777,0.548,-13.659,20.915,-11.159
-0.213,0.686,0.609,-18.232,19.512,-10.671
-0.328,0.598,0.706,-22.317,17.927,-9.756
-0.407,0.58,0.832,-29.756,18.354,-8.354
-0.485,0.558,0.961,-39.695,18.841,-8.78
-0.565,0.515,1.056,-48.78,20.549,-14.024
-0.572,0.466,1.099,-51.28,25.427,-20.061
-0.477,0.372,1.098,-45.0,34.695,-22.012
-0.338,0.33,1.08,-39.634,47.988,-23.415
-0.145,0.318,1.042,-31.524,58.293,-21.037
-0.053,0.276,0.989,-20.671,57.134,-5.549
-0.24,0.282,0.942,-12.744,37.622,11.768
-0.444,0.307,0.87,-5.793,4.756,16.402
-0.405,0.302,0.813,5.915,-18.415,17.073
-0.252,0.338,0.768,18.11,-18.171,20.61
-0.123,0.441,0.694,25.061,-5.305,23.232
-0.123,0.544,0.617,28.598,10.244,20.488
-0.123,0.587,0.58,39.451,20.732,12.561
-0.085,0.634,0.553,52.378,23.598,7.866
-0.133,0.734,0.539,61.098,17.561,4.024
-0.126,0.842,0.472,65.183,1.037,0.0
-0.059,0.952,0.423,56.951,-17.805,-2.866
-0.018,1.011,0.353,44.939,-35.061,-5.488
0.047,1.013,0.314,33.841,-38.232,-6.829
0.135,1.028,0.368,21.585,-20.122,-7.195
0.197,1.023,0.448,8.415,10.183,-6.951
0.143,0.985,0.53,-5.854,34.939,-6.22
-0.059,0.89,0.587,-18.171,47.134,-4.451
-0.254,0.758,0.636,-24.39,52.805,-1.341
-0.394,0.692,0.748,-32.134,57.256,0.549
-0.513,0.648,0.894,-42.805,55.366,-0.549
-0.659,0.565,1.031,-51.646,43.476,-3.415
-0.789,0.478,1.09,-57.927,25.366,-8.293
-0.767,0.411,1.113,-59.756,10.427,-14.146
-0.522,0.304,1.111,-54.634,7.561,-17.012
-0.244,0.209,1.096,-41.89,21.098,-15.915
-0.149,0.126,1.084,-20.244,40.061,-6.524
-0.311,0.109,1.016,2.5,32.195,11.646
-0.596,0.242,0.872,13.78,-9.878,21.768
-0.606,0.377,0.743,19.024,-41.463,19.207
-0.379,0.398,0.643,24.451,-41.707,17.195
-0.228,0.431,0.53,31.28,-25.305,19.085
-0.115,0.537,0.473,36.463,-6.341,18.537
-0.042,0.654,0.446,45.549,6.89,12.195
0.017,0.722,0.429,53.78,12.012,5.549
-0.027,0.858,0.426,49.451,3.354,-1.707
-0.103,0.926,0.413,43.476,-18.659,-5.122
-0.117,0.907,0.416,42.073,-38.476,-7.317
-0.059,0.942,0.42,35.671,-46.707,-9.146
0.001,1.008,0.472,22.378,-41.89,-10.061
0.033,1.021,0.561,4.756,-26.829,-11.829
-0.038,0.953,0.678,-13.659,-3.537,-13.415
-0.191,0.826,0.829,-27.5,19.756,-11.768
-0.392,0.687,0.919,-33.11,32.012,-7.866
-0.564,0.627,1.014,-39.634,33.963,-8.232
-0.692,0.601,1.077,-48.598,26.159,-13.598
-0.709,0.559,1.065,-55.61,12.012,-20.244
-0.574,0.448,1.036,-54.756,1.89,-25.427
-0.24,0.319,1.012,-47.012,5.305,-26.159
-0.045,0.228,1.057,-32.622,25.183,-15.671
-0.202,0.173,1.085,-13.049,36.159,3.78
-0.451,0.222,0.983,1.829,6.037,20.366
-0.58,0.348,0.862,6.524,-32.378,24.451
-0.448,0.433,0.805,7.378,-41.159,22.378
-0.269,0.428,0.691,17.805,-25.366,28.11
-0.096,0.44,0.549,31.463,1.341,34.573
0.036,0.559,0.442,37.317,23.476,31.28
0.0,0.685,0.374,40.61,27.5,17.927
-0.096,0.708,0.373,51.22,10.061,5.793
