acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.13,0.748,0.747,44.329,-28.902,2.866
-0.104,0.86,0.67,40.854,-54.085,4.085
-0.09,0.888,0.652,37.012,-75.183,2.256
-0.043,0.862,0.663,34.451,-83.537,-2.012
-0.027,0.855,0.651,29.207,-79.512,-5.183
-0.085,0.847,0.63,22.561,-69.634,-5.305
-0.128,0.81,0.6,19.146,-52.622,-4.817
-0.161,0.787,0.587,12.561,-30.244,-4.817
-0.241,0.753,0.561,6.402,-13.232,-5.305
-0.265,0.724,0.583,-1.402,-5.671,-7.073
-0.302,0.682,0.614,-8.963,-5.0,-9.39
-0.36,0.646,0.662,-14.329,-6.768,-11.037
-0.367,0.634,0.724,-18.902,-4.573,-14.695
-0.386,0.625,0.772,-25.366,-0.244,-17.622
-0.456,0.625,0.806,-33.902,0.732,-18.354
-0.481,0.583,0.826,-39.39,-2.744,-18.902
-0.408,0.53,0.861,-41.585,-2.195,-15.671
-0.234,0.474,0.919,-40.366,6.159,-10.671
-0.095,0.418,0.934,-35.549,22.378,-7.866
0.008,0.361,0.972,-28.415,45.671,-9.573
0.066,0.306,1.054,-22.012,65.488,-6.098
-0.061,0.294,1.072,-21.829,59.207,8.293
-0.309,0.29,0.994,-20.488,25.061,20.427
-0.482,0.25,0.928,-10.366,-9.695,17.927
-0.405,0.216,0.908,1.28,-28.537,13.293
-0.289,0.243,0.888,9.695,-33.902,18.476
-0.259,0.311,0.832,20.366,-31.22,24.878
-0.246,0.354,0.685,32.561,-21.463,29.085
-0.255,0.428,0.553,45.427,-5.488,26.463
-0.251,0.521,0.436,57.561,5.183,17.317
-0.268,0.656,0.436,63.415,0.061,7.195
-0.206,0.786,0.499,60.976,-21.707,1.829
-0.146,0.858,0.544,54.268,-42.195,-0.854
-0.011,0.896,0.528,46.646,-43.902,-4.451
0.104,0.999,0.494,31.707,-27.561,-1.463
0.145,1.107,0.476,10.0,0.488,-1.22
0.135,1.078,0.481,-9.512,26.768,-4.878
0.043,0.961,0.469,-22.439,41.402,-5.549
-0.076,0.819,0.487,-26.524,45.976,-0.976
-0.206,0.733,0.56,-30.061,42.5,1.037
-0.328,0.666,0.669,-32.927,31.646,-2.256
-0.363,0.589,0.759,-32.134,19.939,-4.878
-0.358,0.574,0.878,-34.939,13.72,-6.098
-0.422,0.552,0.999,-38.902,10.488,-8.659
-0.513,0.512,1.068,-40.183,8.415,-13.049
-0.589,0.493,1.081,-41.463,5.427,-17.927
-0.61,0.473,1.056,-40.61,2.134,-20.854
