acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.511,0.46,0.426,2.5,-19.756,19.024
0.522,0.442,0.429,-5.671,-14.512,15.061
0.474,0.416,0.412,-7.378,-12.927,18.841
0.438,0.393,0.437,-2.927,-11.037,21.768
0.387,0.388,0.489,0.061,-6.646,23.415
0.337,0.399,0.525,2.622,-4.085,26.159
0.349,0.417,0.58,1.463,-1.829,28.78
0.357,0.419,0.657,-4.573,-0.671,25.549
0.398,0.414,0.69,-8.841,-0.671,14.817
0.574,0.379,0.716,-10.854,3.232,5.061
0.674,0.352,0.714,-10.793,6.951,0.305
0.645,0.352,0.688,-7.683,4.634,0.0
0.536,0.365,0.689,-2.622,-1.646,-0.183
0.424,0.418,0.715,-1.707,-9.085,-0.549
0.406,0.427,0.731,3.476,-16.951,0.732
0.469,0.371,0.733,12.195,-24.451,6.89
0.493,0.386,0.751,22.683,-25.488,13.232
0.504,0.407,0.796,33.72,-14.634,17.866
0.525,0.432,0.838,34.207,-0.244,19.817
0.423,0.488,0.827,28.11,4.512,18.476
0.438,0.516,0.75,26.22,0.0,16.341
0.646,0.516,0.69,24.939,-5.854,14.39
0.776,0.507,0.673,26.707,-6.89,12.988
0.807,0.5,0.681,32.073,-0.122,12.012
0.776,0.525,0.679,33.598,9.878,10.0
0.739,0.555,0.666,39.39,15.976,9.39
0.722,0.543,0.644,45.793,15.976,12.073
0.601,0.614,0.654,46.463,14.695,12.378
0.487,0.661,0.677,47.073,11.402,8.232
0.454,0.676,0.69,44.329,9.512,6.768
0.467,0.713,0.672,36.341,4.329,6.22
0.396,0.746,0.638,28.354,-7.012,5.549
0.348,0.757,0.577,15.305,-24.939,4.878
0.355,0.761,0.532,5.366,-46.402,3.293
0.375,0.709,0.528,-4.939,-67.866,3.598
0.346,0.685,0.539,-16.341,-85.122,1.463
0.335,0.675,0.539,-21.585,-89.573,-6.28
0.461,0.671,0.504,-29.573,-84.939,-11.951
0.549,0.691,0.46,-40.061,-77.744,-15.183
0.521,0.677,0.449,-44.024,-70.244,-18.415
0.528,0.641,0.445,-46.037,-62.805,-19.268
0.547,0.635,0.413,-45.244,-55.427,-17.927
0.572,0.595,0.354,-38.293,-53.476,-14.939
0.53,0.585,0.366,-37.073,-53.659,-10.549
0.445,0.605,0.417,-36.463,-52.073,-11.159
0.479,0.558,0.442,-32.744,-48.171,-11.037
0.593,0.5,0.482,-34.207,-42.5,-6.707
0.545,0.463,0.53,-28.476,-32.012,-3.537
0.506,0.367,0.559,-18.354,-20.061,4.329
0.519,0.361,0.597,-18.537,-7.988,10.915
0.458,0.415,0.577,-18.963,-0.427,10.488
0.511,0.343,0.554,-10.183,2.012,10.61
0.587,0.302,0.582,-8.963,8.963,10.976
0.564,0.353,0.62,-12.5,18.11,4.695
0.569,0.339,0.608,-10.183,20.366,1.707
0.607,0.304,0.588,-4.024,19.695,6.28
0.658,0.298,0.541,7.683,17.561,14.695
0.712,0.333,0.501,19.085,17.378,22.439
0.757,0.364,0.53,28.293,24.817,25.854
0.804,0.317,0.59,35.976,39.39,29.634
0.868,0.326,0.651,39.939,53.354,33.415
0.733,0.407,0.711,43.78,54.329,33.476
0.426,0.485,0.705,49.573,42.195,30.305
0.412,0.574,0.679,49.634,33.415,22.988
0.643,0.622,0.639,49.878,26.098,11.646
0.775,0.594,0.601,48.841,16.28,3.598
0.739,0.646,0.601,39.024,-0.976,-4.695
0.646,0.714,0.611,39.634,-25.0,-12.805
0.658,0.671,0.619,43.902,-41.28,-11.22
0.66,0.695,0.615,40.976,-47.744,-8.659
0.627,0.723,0.577,36.585,-51.585,-8.78
0.635,0.732,0.498,32.439,-53.415,-9.878
0.606,0.743,0.446,19.817,-56.341,-10.732
0.564,0.734,0.422,10.061,-63.049,-12.683
0.559,0.667,0.412,3.902,-65.671,-13.293
0.538,0.663,0.484,-10.915,-60.915,-14.817
0.466,0.658,0.569,-25.671,-53.78,-21.707
0.436,0.638,0.556,-36.524,-47.073,-29.512
0.492,0.651,0.526,-49.451,-37.256,-36.22
0.54,0.656,0.466,-59.573,-23.232,-38.476
0.558,0.619,0.422,-66.89,-8.171,-36.585
0.494,0.628,0.398,-72.988,6.037,-34.39
0.517,0.599,0.333,-62.5,15.549,-24.268
