acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.731,0.307,0.812,51.768,-43.232,17.073
0.643,0.347,0.884,63.841,-24.512,30.305
0.486,0.444,0.862,67.805,-12.256,29.268
0.379,0.544,0.732,53.841,-17.866,8.415
0.616,0.604,0.53,38.598,-36.341,-16.951
0.921,0.584,0.362,33.659,-55.671,-22.683
0.925,0.601,0.362,28.293,-62.805,-15.854
0.754,0.661,0.458,22.744,-59.268,-14.451
0.695,0.658,0.475,23.902,-57.927,-16.89
0.737,0.63,0.457,20.061,-60.366,-15.854
0.734,0.642,0.436,15.305,-67.5,-13.78
0.699,0.649,0.39,13.171,-75.061,-14.024
0.697,0.673,0.392,4.512,-78.293,-14.695
0.652,0.669,0.425,-2.195,-79.268,-17.073
0.603,0.635,0.448,-6.341,-74.939,-20.305
0.603,0.627,0.469,-15.61,-66.463,-22.683
0.557,0.631,0.494,-27.012,-56.463,-25.61
0.475,0.617,0.468,-31.768,-46.402,-27.988
0.491,0.599,0.424,-36.463,-33.902,-26.768
0.501,0.605,0.368,-42.988,-20.488,-25.244
0.466,0.591,0.316,-44.878,-6.951,-22.988
0.456,0.569,0.287,-48.232,3.902,-18.232
0.437,0.541,0.322,-48.963,13.049,-11.098
0.426,0.453,0.328,-42.195,16.829,-2.195
0.366,0.419,0.386,-37.073,20.732,6.341
0.33,0.445,0.466,-35.0,29.451,10.488
0.446,0.384,0.519,-22.927,40.366,15.122
0.562,0.316,0.508,-14.024,49.634,25.183
0.558,0.367,0.53,-12.744,58.232,30.427
0.614,0.341,0.604,-8.415,65.122,29.634
0.67,0.272,0.648,-10.305,72.012,31.22
0.7,0.268,0.641,-11.524,73.049,32.317
0.757,0.236,0.612,-1.402,62.622,34.207
0.774,0.208,0.594,9.695,42.744,34.634
0.771,0.258,0.642,16.341,22.683,22.073
0.956,0.265,0.675,21.646,8.902,-0.732
1.197,0.221,0.691,29.817,5.915,-13.78
1.138,0.219,0.717,41.159,9.695,-10.183
0.882,0.301,0.743,54.024,11.646,0.976
0.599,0.388,0.76,63.293,6.037,6.402
0.482,0.454,0.78,65.61,-5.976,-2.988
0.616,0.527,0.726,60.244,-24.512,-15.366
0.733,0.599,0.579,54.39,-45.488,-17.683
0.745,0.678,0.451,46.341,-56.341,-17.012
0.696,0.741,0.385,35.61,-54.634,-15.488
0.668,0.792,0.34,24.878,-48.537,-15.488
0.697,0.778,0.291,18.293,-43.841,-14.268
0.69,0.768,0.289,9.634,-39.024,-10.061
0.641,0.782,0.324,-0.671,-35.732,-7.744
0.582,0.771,0.341,-8.293,-33.354,-8.537
0.55,0.741,0.372,-18.476,-27.012,-9.756
0.531,0.707,0.399,-29.024,-17.073,-10.122
0.517,0.674,0.415,-37.378,-5.183,-11.646
0.489,0.635,0.439,-46.098,7.012,-13.659
0.432,0.596,0.464,-55.671,17.256,-16.22
0.387,0.578,0.477,-66.524,24.695,-18.354
0.442,0.546,0.521,-72.256,31.707,-14.512
0.546,0.442,0.56,-72.012,36.646,-6.524
0.565,0.407,0.529,-67.317,40.732,2.622
0.603,0.347,0.52,-50.244,43.902,11.463
0.587,0.297,0.553,-36.22,51.463,21.098
0.53,0.345,0.553,-29.39,58.78,25.732
0.537,0.332,0.521,-15.061,59.573,29.268
0.65,0.222,0.515,2.439,53.841,34.634
0.781,0.207,0.599,13.902,48.476,28.415
0.934,0.19,0.646,29.512,37.622,14.146
1.063,0.106,0.661,47.866,19.39,7.744
1.041,0.109,0.748,62.744,6.22,4.146
0.833,0.232,0.827,72.927,6.098,2.378
0.616,0.4,0.782,75.061,4.207,6.951
0.406,0.511,0.714,72.988,-10.915,4.878
0.431,0.645,0.606,58.049,-22.866,-6.463
0.755,0.634,0.458,48.537,-37.5,-12.5
0.828,0.624,0.355,42.988,-47.134,-9.085
0.735,0.723,0.354,32.622,-42.256,-8.415
0.686,0.756,0.354,26.463,-34.512,-11.22
0.706,0.759,0.38,20.183,-26.341,-12.073
0.72,0.762,0.407,9.146,-24.329,-11.524
0.623,0.741,0.395,3.171,-32.378,-10.732
0.56,0.722,0.395,-7.012,-40.915,-10.305
0.513,0.708,0.438,-19.329,-46.524,-12.073
0.453,0.665,0.461,-26.098,-44.451,-15.183
0.488,0.629,0.469,-34.329,-33.537,-17.927
0.475,0.616,0.495,-46.159,-18.902,-22.195
0.382,0.605,0.479,-55.732,-7.073,-27.5
0.385,0.576,0.474,-63.293,5.61,-27.378
0.486,0.53,0.504,-71.951,20.305,-20.366
0.511,0.469,0.512,-68.171,34.512,-10.244
0.623,0.358,0.432,-51.89,40.061,2.073
0.625,0.316,0.443,-40.061,47.561,16.646
0.5,0.314,0.489,-28.902,57.561,27.073
0.465,0.299,0.501,-15.976,63.841,31.524
0.448,0.289,0.542,-6.768,72.317,36.22
0.498,0.243,0.547,11.159,79.756,44.451
0.583,0.206,0.514,29.878,79.756,52.256
