acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.493,0.619,0.429,9.451,-17.378,51.89
0.513,0.6,0.378,13.171,-18.293,48.659
0.462,0.625,0.342,8.293,-29.268,45.305
0.366,0.665,0.336,2.378,-47.5,40.915
0.33,0.685,0.357,-0.427,-70.488,37.5
0.312,0.668,0.395,0.793,-97.5,32.561
0.287,0.645,0.428,0.0,-124.207,23.293
0.321,0.633,0.446,-12.256,-141.037,11.768
0.42,0.648,0.446,-25.305,-138.72,5.854
0.563,0.678,0.488,-24.512,-116.829,8.171
0.667,0.646,0.477,-9.634,-88.476,11.707
0.707,0.604,0.409,20.793,-77.195,12.866
0.616,0.595,0.324,32.927,-92.195,12.927
0.385,0.615,0.211,14.146,-128.781,11.524
0.224,0.726,0.107,-15.488,-169.146,11.037
0.182,0.853,0.15,-37.805,-195.427,11.22
0.173,0.873,0.192,-45.732,-198.232,11.768
0.302,0.809,0.27,-43.841,-174.817,9.756
0.554,0.729,0.303,-35.183,-136.768,4.024
0.787,0.644,0.324,-17.805,-98.841,-0.427
0.789,0.538,0.417,-1.646,-69.329,1.22
0.557,0.511,0.451,6.402,-57.378,3.232
0.437,0.614,0.41,-2.683,-55.854,-0.244
0.431,0.773,0.311,-12.378,-51.159,-2.012
0.466,0.844,0.278,-11.768,-36.402,-4.268
0.516,0.781,0.308,-3.171,-15.915,-9.329
0.602,0.675,0.333,4.39,3.354,-12.988
0.639,0.621,0.377,9.207,17.195,-10.366
0.573,0.625,0.445,10.793,26.585,-5.732
0.509,0.642,0.479,9.085,38.476,-3.841
0.518,0.68,0.479,7.439,54.573,-4.695
0.574,0.705,0.452,9.207,70.427,-5.061
0.575,0.685,0.456,15.976,79.39,-1.341
0.542,0.645,0.421,20.427,82.927,0.793
0.525,0.652,0.401,16.524,90.671,1.585
0.505,0.719,0.45,15.976,99.939,5.549
0.522,0.725,0.503,17.317,104.024,5.427
0.473,0.676,0.524,16.22,100.488,1.646
0.436,0.664,0.486,16.829,94.573,2.195
0.478,0.678,0.429,14.207,93.049,4.146
0.488,0.74,0.402,11.524,86.524,5.854
