acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.34,0.553,0.388,27.622,-57.561,9.268
0.263,0.668,0.324,4.939,-81.037,8.476
0.258,0.803,0.313,-17.378,-89.024,7.683
0.285,0.856,0.36,-25.244,-78.78,6.646
0.368,0.796,0.373,-11.646,-65.061,4.268
0.442,0.662,0.349,9.024,-61.22,-2.622
0.384,0.581,0.303,19.756,-73.902,-10.793
0.29,0.57,0.244,11.951,-98.049,-15.122
0.29,0.595,0.217,-1.037,-112.195,-9.512
0.335,0.669,0.437,-1.829,-112.378,-0.915
0.38,0.705,0.622,-1.037,-111.585,-6.951
0.449,0.693,0.601,-1.341,-103.659,-17.683
0.549,0.692,0.562,-0.488,-79.634,-19.695
0.673,0.706,0.566,6.707,-45.549,-17.378
0.751,0.696,0.544,16.707,-13.78,-14.817
0.704,0.678,0.474,21.585,6.524,-13.841
0.63,0.693,0.397,17.927,15.488,-12.988
0.602,0.725,0.345,15.549,17.439,-9.817
0.54,0.718,0.319,12.744,18.049,-7.744
0.468,0.708,0.352,9.39,23.841,-6.098
0.506,0.703,0.407,6.646,42.134,-4.573
0.547,0.687,0.481,6.707,73.415,-3.78
0.556,0.687,0.515,15.793,100.061,-2.073
0.614,0.667,0.429,26.098,110.305,-1.707
0.566,0.637,0.374,25.915,107.988,0.488
0.401,0.664,0.406,17.866,94.756,3.72
0.358,0.703,0.428,6.585,80.488,5.488
0.354,0.73,0.466,0.671,68.293,8.354
0.393,0.73,0.462,-1.28,65.854,9.878
0.4,0.721,0.498,-0.854,77.744,9.817
0.458,0.725,0.542,2.256,96.341,10.244
0.574,0.743,0.53,5.488,117.683,10.732
0.597,0.733,0.49,3.476,147.622,12.622
0.593,0.753,0.465,7.622,179.695,14.939
0.582,0.763,0.474,19.085,199.573,11.341
0.473,0.734,0.462,31.341,202.317,4.817
0.353,0.705,0.433,33.049,189.939,0.854
0.277,0.765,0.405,21.037,167.134,0.183
0.234,0.864,0.435,-0.488,145.61,2.561
0.254,0.904,0.482,-16.707,135.915,9.085
0.321,0.87,0.565,-13.537,139.39,11.951
0.406,0.758,0.651,3.902,145.183,10.671
0.483,0.646,0.641,20.488,144.939,6.28
0.435,0.623,0.6,25.915,133.232,2.012
0.262,0.693,0.564,20.427,108.659,-2.012
0.078,0.787,0.55,11.951,78.902,-5.366
-0.023,0.839,0.569,4.146,47.012,-6.098
-0.018,0.83,0.615,1.89,14.329,-8.354
0.037,0.762,0.683,0.61,-14.512,-12.073
0.066,0.709,0.734,-0.549,-41.951,-12.5
0.096,0.698,0.802,2.805,-69.756,-8.598
0.124,0.687,0.805,9.573,-105.793,-0.488
0.123,0.674,0.71,20.0,-149.756,2.317
0.045,0.707,0.539,22.012,-198.354,1.646
-0.072,0.783,0.389,6.829,-244.329,-1.707
-0.173,0.886,0.242,-25.671,-276.342,0.244
-0.123,1.01,0.278,-61.524,-278.171,8.049
0.175,1.039,0.32,-78.354,-246.037,8.232
0.564,0.923,0.333,-59.817,-186.768,-3.902
0.863,0.725,0.421,-5.61,-121.829,-15.0
0.934,0.504,0.528,52.195,-83.537,-14.817
0.713,0.364,0.542,67.683,-97.744,-10.549
0.322,0.479,0.421,24.451,-148.171,-4.085
0.046,0.823,0.275,-36.89,-196.524,1.28
0.075,1.104,0.254,-72.256,-207.622,-3.659
0.438,1.047,0.267,-63.537,-171.098,-17.317
0.877,0.719,0.321,-13.841,-109.085,-14.39
0.886,0.426,0.509,33.659,-69.451,0.793
0.494,0.379,0.493,38.476,-77.256,0.061
0.212,0.648,0.319,1.463,-111.707,-7.988
0.129,0.972,0.182,-31.28,-131.463,-5.976
0.237,1.032,0.226,-35.427,-120.976,-1.829
0.44,0.848,0.261,-23.902,-86.585,-7.866
0.654,0.691,0.298,-5.122,-41.707,-11.463
0.782,0.641,0.338,13.78,-8.293,-7.805
0.749,0.642,0.354,18.598,-1.463,-6.22
0.543,0.688,0.34,7.805,-11.951,-5.183
0.349,0.769,0.365,-4.207,-20.366,-5.244
0.359,0.792,0.386,-6.341,-13.72,-7.866
0.519,0.742,0.417,-0.427,6.89,-7.988
0.628,0.691,0.437,6.89,27.927,-4.329
0.664,0.662,0.403,10.854,44.451,1.159
0.66,0.67,0.354,9.878,59.207,7.805
0.657,0.708,0.352,5.366,84.207,12.683
0.628,0.738,0.4,0.915,124.146,14.817
0.576,0.764,0.464,6.037,162.134,16.646
0.527,0.746,0.476,14.085,180.061,13.841
0.455,0.694,0.415,18.415,177.5,7.683
0.383,0.659,0.376,21.159,163.232,8.659
0.353,0.673,0.381,21.829,138.049,11.037
0.347,0.697,0.375,13.537,110.976,11.463
0.316,0.755,0.369,-2.561,96.159,13.537
0.377,0.837,0.435,-13.232,98.049,16.463
0.501,0.852,0.475,-11.829,113.598,17.256
0.533,0.799,0.478,1.402,131.768,14.085
0.518,0.739,0.469,15.915,139.573,6.646
0.493,0.715,0.437,22.805,134.207,2.256
0.411,0.719,0.396,17.317,120.61,4.329
0.333,0.786,0.404,1.646,103.902,7.561
0.333,0.85,0.432,-12.317,93.049,9.756
0.328,0.821,0.489,-17.134,98.537,14.756
0.329,0.749,0.577,-10.732,117.195,20.061
0.388,0.682,0.616,4.756,144.573,20.427
0.456,0.648,0.615,23.78,168.72,14.756
0.512,0.645,0.571,39.207,179.024,4.085
0.5,0.677,0.531,45.549,172.622,-2.378
0.39,0.72,0.513,39.146,154.817,-1.098
0.217,0.796,0.506,23.415,133.354,2.927
0.11,0.873,0.478,10.305,114.451,3.963
0.102,0.892,0.478,6.402,99.634,2.378
0.163,0.818,0.458,8.171,89.268,-0.854
0.2,0.745,0.445,11.463,82.317,-4.146
0.168,0.722,0.458,14.39,70.0,-8.537
0.111,0.718,0.476,13.415,46.829,-18.841
0.061,0.722,0.541,9.817,11.037,-26.524
0.009,0.749,0.706,0.61,-36.28,-22.744
-0.001,0.77,0.891,1.585,-90.915,-12.622
-0.028,0.727,0.909,8.049,-143.659,-1.098
-0.122,0.695,0.756,3.963,-189.573,5.244
-0.14,0.792,0.499,-14.268,-223.781,7.683
0.024,0.938,0.353,-37.927,-241.098,5.793
0.25,0.995,0.333,-43.841,-251.829,-0.61
0.377,0.882,0.366,-33.232,-252.378,-9.634
0.326,0.71,0.401,-20.427,-247.073,-13.902
0.252,0.653,0.386,-18.598,-235.732,-12.439
0.272,0.746,0.399,-25.488,-221.403,-9.451
0.383,0.851,0.396,-32.561,-200.854,-12.073
0.559,0.866,0.345,-26.524,-170.061,-21.28
0.738,0.794,0.361,-9.573,-137.317,-24.024
0.826,0.617,0.277,-0.549,-114.939,-14.451
0.638,0.471,0.233,6.22,-99.512,4.207
0.247,0.507,0.445,6.28,-95.427,10.549
0.085,0.701,0.552,-11.037,-99.085,-3.354
0.297,0.854,0.511,-22.134,-83.11,-13.049
0.55,0.882,0.526,-7.378,-44.268,-8.415
0.618,0.735,0.588,13.293,-7.195,-5.976
0.584,0.594,0.568,17.012,21.646,-9.146
0.571,0.667,0.507,7.561,47.866,-7.378
0.587,0.801,0.388,3.659,66.585,-1.768
0.6,0.819,0.225,-2.927,85.366,0.488
0.508,0.796,0.245,-6.829,105.732,4.207
0.456,0.753,0.316,-3.049,125.915,5.793
0.441,0.654,0.374,7.622,141.829,2.744
0.424,0.598,0.428,21.707,151.524,2.744
0.387,0.573,0.568,33.293,146.89,11.768
0.303,0.602,0.637,33.293,115.488,10.183
0.31,0.646,0.529,22.439,75.915,-1.585
0.238,0.708,0.501,14.695,39.756,-3.902
0.211,0.736,0.482,11.037,12.439,-1.585
0.312,0.737,0.427,13.72,-6.585,-4.024
0.351,0.765,0.395,9.39,-22.805,-7.073
0.299,0.792,0.354,-2.439,-32.317,-5.427
0.306,0.807,0.352,-10.427,-30.366,-0.244
0.366,0.794,0.351,-9.146,-20.366,-0.732
