acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
1.353,0.399,-0.098,-9.695,-233.659,-22.622
1.154,0.435,-0.035,-11.646,-200.549,22.012
1.046,0.472,0.165,-8.902,-144.573,38.049
1.107,0.493,0.325,0.244,-81.646,23.232
1.2,0.526,0.461,8.171,-24.512,4.39
1.115,0.56,0.566,12.988,8.293,-6.159
0.932,0.572,0.504,16.037,27.317,-10.793
0.819,0.602,0.32,18.415,61.646,-2.744
0.877,0.622,0.202,20.854,112.927,11.89
1.022,0.622,0.168,25.366,160.183,21.768
1.088,0.608,0.047,35.793,198.842,24.695
1.046,0.593,-0.017,56.28,238.049,30.61
0.907,0.519,0.021,83.902,280.0,40.427
0.772,0.467,0.086,88.537,319.451,35.793
0.679,0.652,0.165,79.207,357.805,25.0
0.663,0.816,0.204,65.976,391.159,17.073
0.689,0.836,0.19,48.171,410.915,13.537
0.669,0.822,0.159,41.22,422.744,13.963
0.56,0.786,0.113,46.951,439.573,22.744
0.437,0.727,0.116,42.866,440.122,28.171
0.401,0.789,0.339,29.329,417.134,27.988
0.313,0.851,0.549,21.646,376.951,30.427
0.165,0.728,0.676,26.159,327.073,28.902
0.043,0.638,0.713,35.122,275.183,22.439
-0.119,0.628,0.769,34.756,221.951,14.878
-0.288,0.693,0.821,23.293,157.927,8.72
-0.328,0.794,0.802,8.537,93.659,10.488
-0.269,0.812,0.743,-3.902,39.512,15.183
-0.205,0.758,0.706,-13.354,-12.134,12.195
-0.182,0.709,0.688,-21.646,-67.744,5.976
-0.202,0.69,0.699,-31.341,-125.732,4.817
-0.181,0.674,0.681,-43.232,-186.707,1.22
-0.148,0.67,0.618,-52.195,-251.707,-9.939
-0.139,0.646,0.598,-50.183,-311.402,-16.89
-0.068,0.54,0.573,-38.598,-350.488,-18.354
0.1,0.422,0.506,-22.927,-367.317,-18.659
0.281,0.356,0.435,-12.561,-371.524,-19.817
0.415,0.378,0.404,-9.329,-370.122,-29.573
0.424,0.502,0.368,-12.927,-375.732,-45.732
0.218,0.686,0.367,-23.963,-399.146,-51.159
-0.024,0.833,0.282,-35.244,-431.159,-54.817
0.007,0.873,0.176,-40.488,-446.646,-67.683
0.359,0.797,0.122,-37.5,-432.378,-83.78
0.681,0.688,0.102,-22.683,-395.061,-82.988
0.664,0.618,0.026,2.439,-345.732,-62.866
0.672,0.621,-0.105,0.122,-277.012,-40.976
1.09,0.729,-0.181,-18.537,-158.354,-31.524
1.613,0.75,0.152,-9.939,-32.439,-37.073
1.767,0.551,0.529,18.11,18.476,-35.366
1.199,0.385,0.485,37.378,-7.866,-16.341
0.412,0.461,0.216,38.902,-46.341,-7.561
0.235,0.637,0.191,33.476,-52.5,-23.963
0.624,0.729,0.23,29.817,-34.268,-39.817
0.971,0.717,0.217,23.476,-20.915,-35.183
1.046,0.66,0.172,21.22,-12.927,-23.11
0.998,0.617,0.144,27.317,1.524,-14.207
0.935,0.609,0.145,27.744,18.171,-13.293
1.084,0.648,0.043,17.622,37.256,-10.976
1.094,0.742,0.014,13.171,50.244,-3.841
0.922,0.728,0.032,12.988,47.988,4.756
0.696,0.628,0.115,17.134,43.293,15.793
0.477,0.56,0.286,29.939,51.646,18.537
0.526,0.542,0.415,37.073,78.659,13.11
0.754,0.642,0.471,35.976,122.134,18.963
0.831,0.722,0.534,36.098,162.622,28.354
0.731,0.709,0.555,34.756,184.207,28.659
0.63,0.703,0.453,28.598,184.695,21.951
0.668,0.742,0.227,18.841,186.768,25.305
0.667,0.75,0.122,14.756,193.781,32.805
0.617,0.683,0.153,16.341,211.951,33.902
0.65,0.654,0.181,8.659,249.39,38.841
0.797,0.682,0.305,-0.366,285.549,32.744
0.928,0.688,0.354,1.524,288.354,19.695
0.899,0.629,0.371,13.171,253.963,12.866
0.728,0.596,0.446,26.341,233.963,17.195
0.611,0.628,0.571,26.159,278.659,41.463
0.644,0.644,0.705,8.537,340.61,53.293
0.677,0.659,0.733,11.89,348.049,34.024
0.553,0.631,0.545,15.305,321.585,24.268
0.467,0.685,0.418,13.11,306.402,39.939
0.357,0.696,0.475,20.183,295.122,52.683
0.207,0.681,0.641,26.951,278.232,57.744
0.097,0.681,0.794,24.756,254.573,48.598
0.103,0.706,0.851,14.878,219.207,22.988
0.228,0.713,0.797,2.744,173.963,-13.11
0.336,0.692,0.647,-0.549,138.171,-35.427
0.361,0.633,0.72,2.439,129.756,-36.037
0.336,0.586,0.827,9.939,134.329,-32.073
0.354,0.606,0.734,9.329,134.085,-30.366
0.33,0.685,0.568,-0.122,113.049,-26.585
0.165,0.78,0.384,-14.939,56.951,-23.293
-0.123,0.882,0.237,-32.012,-39.878,-20.915
-0.426,0.947,0.147,-44.268,-152.012,-20.61
-0.657,0.933,0.133,-51.829,-253.903,-17.927
-0.65,0.821,0.236,-46.524,-332.866,-9.573
-0.403,0.63,0.339,-33.415,-380.366,0.793
-0.148,0.47,0.427,-26.951,-398.902,4.451
0.042,0.441,0.415,-32.683,-398.842,-10.122
0.227,0.509,0.265,-41.037,-396.463,-41.341
0.458,0.54,0.054,-31.037,-394.695,-67.683
0.499,0.489,-0.056,-10.61,-424.268,-73.232
0.208,0.528,-0.129,-3.11,-501.89,-63.841
-0.181,0.73,-0.349,-20.305,-589.146,-44.756
-0.263,0.962,-0.521,-50.0,-625.305,-3.415
0.145,1.05,-0.412,-88.902,-568.476,35.0
0.788,1.029,-0.165,-115.976,-404.451,24.329
1.64,0.861,0.178,-70.854,-147.256,-14.573
2.589,0.34,0.711,-7.988,72.988,-43.049
2.917,-0.063,0.915,26.28,122.744,-44.573
1.888,-0.017,0.6,35.305,36.22,-21.341
0.566,0.268,0.137,29.39,-41.89,13.354
0.214,0.537,0.083,19.634,-56.098,15.976
0.667,0.701,0.19,10.427,-52.622,-11.098
1.029,0.76,0.213,2.683,-56.463,-17.439
0.809,0.738,0.328,11.402,-56.829,-4.146
0.588,0.603,0.465,31.768,-40.793,-3.415
0.704,0.522,0.506,35.793,-15.183,-12.5
0.929,0.62,0.499,22.622,7.439,-13.963
0.851,0.735,0.473,19.817,15.183,-7.317
0.69,0.656,0.341,25.427,20.488,-2.744
0.785,0.594,0.171,20.183,37.744,6.646
0.771,0.661,0.169,13.598,60.0,16.646
0.665,0.716,0.151,9.573,92.378,25.122
0.689,0.735,0.139,0.61,130.061,35.976
0.775,0.733,0.203,-9.512,150.976,35.244
0.833,0.727,0.217,-17.195,155.366,28.841
0.751,0.709,0.305,-16.463,146.646,27.988
0.651,0.644,0.412,-6.524,140.793,24.634
0.584,0.591,0.478,5.122,143.415,19.817
0.557,0.576,0.515,12.988,139.085,11.585
0.684,0.608,0.435,16.159,130.915,1.707
0.754,0.646,0.35,16.829,125.915,-0.915
0.632,0.656,0.318,17.744,121.829,4.085
0.511,0.645,0.33,17.439,120.305,6.707
0.493,0.638,0.396,15.793,130.244,0.366
0.534,0.64,0.492,16.037,155.671,-7.988
0.596,0.622,0.603,20.549,190.976,-13.537
0.67,0.581,0.688,28.963,230.0,-19.39
0.759,0.549,0.703,30.976,260.0,-20.183
0.884,0.57,0.479,25.244,251.403,-12.805
0.979,0.645,0.177,13.902,222.622,-0.244
0.708,0.692,0.168,12.073,192.439,11.402
0.258,0.668,0.241,16.585,137.988,12.317
0.119,0.634,0.35,21.768,85.915,2.683
0.208,0.628,0.477,25.549,73.598,-7.439
0.282,0.644,0.617,25.488,80.122,-10.732
0.407,0.673,0.673,26.098,92.012,-6.89
0.472,0.691,0.68,24.268,103.963,-2.378
0.403,0.681,0.685,18.415,97.683,-1.951
0.373,0.706,0.494,16.037,73.171,-2.866
0.371,0.72,0.34,16.402,51.037,0.122
0.292,0.674,0.398,17.927,31.22,1.22
0.3,0.63,0.446,17.805,18.476,-3.598
0.368,0.619,0.516,16.402,21.646,-7.683
0.355,0.626,0.583,13.232,25.793,-9.085
0.337,0.647,0.584,10.183,20.732,-10.0
0.315,0.667,0.541,10.244,14.695,-8.78
0.233,0.648,0.528,12.378,1.646,-10.122
0.241,0.639,0.482,12.988,-13.659,-11.524
0.319,0.641,0.472,12.439,-22.744,-11.402
0.329,0.636,0.466,12.622,-29.878,-14.573
0.35,0.629,0.413,10.671,-33.476,-19.878
0.368,0.636,0.374,8.354,-39.146,-22.927
0.371,0.628,0.306,6.707,-53.537,-23.963
