acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.75,0.828,0.082,-53.476,-210.915,25.427
-0.634,0.848,0.083,-49.939,-210.854,19.573
-0.455,0.83,0.118,-48.354,-221.342,15.915
-0.17,0.768,0.208,-42.134,-241.524,20.488
0.018,0.708,0.274,-39.329,-271.098,19.512
0.063,0.631,0.394,-37.317,-304.146,19.085
0.114,0.592,0.507,-35.854,-315.732,22.988
0.033,0.575,0.467,-37.622,-302.378,20.854
-0.032,0.589,0.472,-40.122,-278.049,11.89
0.087,0.608,0.443,-40.427,-249.268,1.098
0.207,0.613,0.462,-40.488,-220.732,-7.5
0.348,0.63,0.485,-35.61,-189.756,-17.622
0.563,0.657,0.451,-29.756,-159.268,-22.317
0.834,0.658,0.414,-22.927,-141.707,-22.256
1.069,0.642,0.455,-17.744,-133.902,-27.439
1.131,0.559,0.615,-11.951,-121.585,-32.805
0.957,0.49,0.839,-2.744,-98.963,-32.378
0.679,0.474,0.858,6.707,-75.305,-29.207
0.442,0.546,0.843,10.976,-56.951,-26.585
0.313,0.626,0.844,13.841,-49.39,-20.671
0.298,0.623,0.818,15.427,-58.598,-14.268
0.325,0.61,0.739,12.622,-73.171,-14.939
0.275,0.66,0.666,9.756,-78.659,-22.805
0.056,0.737,0.639,10.732,-69.085,-28.72
-0.159,0.817,0.623,11.28,-45.976,-26.28
-0.21,0.919,0.603,9.39,-22.073,-20.793
-0.096,0.975,0.539,3.598,-6.159,-13.841
0.145,0.937,0.462,-3.11,2.927,-9.573
0.341,0.883,0.396,-6.89,8.902,-9.512
0.366,0.855,0.289,-3.659,23.232,-7.927
0.279,0.848,0.238,4.085,51.707,-2.683
0.164,0.86,0.281,12.805,88.537,-0.488
0.203,0.854,0.378,17.805,126.524,-0.488
0.293,0.822,0.514,20.183,162.073,2.439
0.375,0.755,0.688,19.695,185.366,7.256
0.552,0.7,0.804,15.732,193.11,11.524
0.642,0.696,0.819,12.988,192.744,15.305
0.544,0.651,0.79,13.537,188.293,13.841
0.553,0.598,0.664,13.171,188.72,12.683
0.536,0.63,0.581,15.183,199.756,17.195
0.41,0.67,0.633,20.244,204.085,22.439
0.355,0.665,0.693,16.646,171.403,25.427
0.344,0.676,0.736,8.72,101.646,26.768
0.268,0.678,0.759,4.634,11.524,22.012
0.081,0.632,0.763,-7.866,-83.963,13.171
-0.106,0.67,0.738,-35.244,-165.732,9.207
-0.347,0.798,0.729,-64.024,-217.134,3.78
-0.614,0.906,0.66,-67.927,-221.951,-15.61
-0.752,0.97,0.434,-48.232,-183.781,-27.5
-0.754,1.054,0.12,-21.22,-124.512,-11.585
-0.533,1.117,-0.037,0.427,-82.378,10.976
-0.039,0.993,0.128,4.024,-86.951,15.183
0.545,0.698,0.482,-4.329,-120.061,10.061
0.788,0.48,0.72,-10.732,-151.037,12.256
0.578,0.413,0.765,-13.171,-156.646,15.305
0.217,0.533,0.705,-12.5,-124.085,14.085
-0.087,0.707,0.618,-11.646,-72.378,11.098
-0.119,0.761,0.513,-13.232,-22.5,10.549
0.138,0.746,0.451,-16.707,1.585,10.366
0.471,0.758,0.47,-26.159,-29.146,-0.488
0.804,0.783,0.433,-36.463,-86.951,-18.171
0.989,0.742,0.412,-30.976,-102.073,-33.049
0.978,0.669,0.342,-14.329,-64.573,-33.415
0.852,0.703,0.262,3.354,-25.061,-25.488
0.731,0.637,0.337,17.622,-10.305,-23.293
0.884,0.479,0.568,22.744,-15.549,-16.89
0.945,0.569,0.861,20.671,-28.293,-10.61
0.503,0.718,0.915,16.463,-41.585,-13.11
0.052,0.748,0.78,13.72,-50.549,-17.866
-0.147,0.834,0.654,12.012,-52.256,-20.854
-0.174,0.904,0.546,8.354,-45.915,-22.5
-0.052,0.878,0.469,4.756,-28.415,-20.244
0.124,0.786,0.418,7.195,-5.061,-14.817
0.26,0.714,0.382,6.402,15.0,-13.659
0.373,0.674,0.335,2.134,31.829,-17.134
0.401,0.679,0.329,0.793,55.671,-17.012
0.301,0.682,0.344,2.805,81.89,-9.695
0.232,0.714,0.34,8.78,114.451,-3.963
0.23,0.785,0.32,17.683,155.122,-0.793
0.209,0.762,0.389,27.378,179.512,-4.512
0.256,0.748,0.478,32.012,180.488,-10.854
0.275,0.739,0.582,26.524,160.549,-12.012
0.26,0.691,0.773,14.878,135.915,-7.378
0.394,0.7,0.792,7.073,127.256,0.488
0.507,0.741,0.713,10.366,133.476,5.061
