acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.312,0.796,0.349,-36.585,-228.781,40.854
-0.293,0.795,0.247,-26.829,-224.573,32.134
-0.215,0.744,0.276,-17.561,-218.842,17.073
-0.089,0.68,0.391,-9.939,-205.061,-0.549
0.04,0.615,0.488,-9.634,-185.488,-2.134
0.17,0.525,0.655,-13.354,-190.854,10.366
0.417,0.434,0.753,-24.085,-235.976,6.829
0.794,0.369,0.714,-38.476,-282.744,-6.951
0.945,0.378,0.617,-44.634,-287.012,-15.122
0.704,0.473,0.436,-37.378,-228.049,-17.073
0.312,0.666,0.245,-21.768,-137.256,-15.061
0.084,0.813,0.199,-5.732,-64.512,-16.951
0.23,0.782,0.352,7.561,-29.268,-20.549
0.545,0.684,0.636,12.805,-32.073,-22.073
0.778,0.644,0.902,9.39,-49.695,-22.927
0.801,0.619,1.006,3.72,-63.171,-24.939
0.52,0.552,0.915,0.61,-67.866,-24.817
0.301,0.499,0.734,0.732,-68.902,-21.524
0.239,0.526,0.602,4.085,-69.329,-20.671
0.245,0.611,0.509,7.134,-63.963,-25.915
0.227,0.674,0.487,11.707,-48.293,-29.756
0.134,0.746,0.496,13.598,-32.683,-27.012
0.094,0.842,0.515,12.744,-19.878,-23.537
0.176,0.921,0.557,12.805,-9.329,-21.22
0.26,0.903,0.609,11.89,-0.915,-13.598
0.265,0.841,0.573,12.012,4.024,-9.695
0.187,0.805,0.465,10.61,9.268,-12.256
0.195,0.765,0.379,9.024,18.72,-16.768
0.195,0.766,0.413,9.817,37.439,-18.902
0.153,0.762,0.474,9.512,58.537,-17.439
0.242,0.753,0.56,3.963,79.268,-13.11
0.382,0.765,0.627,3.841,115.122,-5.122
0.547,0.704,0.655,8.354,170.061,0.854
0.655,0.607,0.572,11.28,227.683,6.037
0.53,0.647,0.538,16.341,275.183,14.207
0.445,0.649,0.567,20.854,308.293,19.939
0.482,0.649,0.634,23.476,323.902,21.951
0.482,0.697,0.692,26.463,314.756,21.707
0.43,0.71,0.743,25.366,278.049,19.085
0.374,0.699,0.735,20.0,222.012,17.378
0.243,0.729,0.679,12.134,157.622,15.183
0.044,0.738,0.657,2.439,95.549,12.256
-0.052,0.739,0.628,-11.646,45.427,11.341
-0.085,0.768,0.608,-28.659,2.683,8.415
-0.169,0.805,0.624,-42.866,-33.232,-4.939
-0.256,0.833,0.598,-48.72,-58.354,-19.573
-0.312,0.862,0.458,-44.878,-82.988,-22.073
-0.432,0.939,0.33,-37.561,-110.488,-17.5
-0.491,0.979,0.248,-26.28,-135.488,-10.549
-0.371,0.946,0.297,-16.829,-170.549,-1.28
-0.116,0.859,0.467,-14.146,-212.988,8.963
0.036,0.794,0.627,-14.939,-244.573,18.78
-0.061,0.715,0.695,-15.305,-251.585,22.805
-0.17,0.633,0.648,-15.671,-227.927,20.549
-0.191,0.628,0.586,-14.573,-180.305,18.293
-0.104,0.648,0.562,-15.976,-123.781,17.195
0.141,0.649,0.558,-15.793,-81.585,10.061
0.437,0.68,0.571,-22.561,-76.524,-2.866
0.706,0.692,0.575,-30.549,-97.134,-13.72
0.889,0.662,0.594,-25.122,-98.232,-27.256
0.932,0.616,0.538,-14.573,-69.39,-37.805
0.817,0.66,0.348,-4.573,-42.378,-40.488
0.684,0.595,0.365,7.5,-36.28,-31.951
0.848,0.485,0.621,14.939,-43.415,-17.439
1.007,0.595,0.822,15.915,-53.841,-10.976
0.714,0.713,0.859,16.22,-56.89,-11.28
0.162,0.69,0.808,17.378,-54.634,-12.317
-0.232,0.744,0.729,12.744,-49.39,-17.012
-0.283,0.875,0.642,7.866,-35.915,-20.732
-0.162,0.894,0.603,4.268,-15.854,-16.646
-0.028,0.819,0.536,1.28,2.683,-10.366
0.156,0.783,0.42,2.927,16.768,-7.988
0.315,0.776,0.325,4.39,29.878,-7.683
0.353,0.747,0.308,4.207,48.537,-2.866
0.263,0.783,0.331,6.524,77.866,0.244
0.144,0.817,0.355,17.256,113.415,-5.305
0.148,0.806,0.413,30.366,156.89,-7.195
0.137,0.82,0.513,38.415,199.512,-2.195
0.145,0.793,0.683,38.72,217.195,0.305
0.423,0.773,0.786,27.744,210.793,3.049
0.609,0.74,0.909,12.927,205.427,9.512
0.572,0.64,0.882,4.329,213.171,15.915
0.557,0.606,0.667,4.451,235.488,19.878
0.416,0.688,0.471,9.39,259.39,18.78
0.21,0.744,0.431,16.341,265.305,15.549
0.27,0.709,0.523,20.732,251.768,11.524
0.43,0.652,0.622,20.732,217.012,12.134
0.414,0.666,0.644,14.329,163.476,12.927
0.287,0.695,0.658,2.744,102.073,12.561
0.076,0.675,0.767,-2.561,35.0,12.134
-0.194,0.659,0.823,-14.695,-36.585,5.915
-0.375,0.707,0.8,-36.707,-114.878,2.317
-0.472,0.788,0.772,-56.646,-188.11,4.085
-0.599,0.839,0.572,-63.659,-243.415,-4.573
-0.696,0.851,0.382,-54.268,-270.061,-15.854
-0.758,0.928,0.2,-32.744,-267.744,-10.793
-0.762,0.973,0.075,-13.598,-248.354,3.049
-0.524,0.94,0.144,-2.256,-223.659,10.61
-0.12,0.823,0.495,3.354,-200.671,11.89
0.268,0.651,0.779,2.317,-183.293,9.695
0.409,0.521,0.78,0.61,-155.305,5.0
0.326,0.549,0.705,3.78,-107.988,-1.524
0.247,0.622,0.673,4.878,-57.439,-5.671
0.358,0.65,0.611,7.622,-24.39,-9.207
0.572,0.674,0.536,10.488,-24.878,-10.0
0.746,0.692,0.513,6.707,-46.28,-12.317
0.877,0.676,0.553,5.061,-59.451,-20.305
0.849,0.615,0.604,10.061,-53.476,-24.268
0.66,0.581,0.531,18.171,-36.707,-25.122
0.427,0.646,0.477,23.415,-23.476,-26.402
0.363,0.742,0.524,25.976,-20.122,-26.159
0.381,0.777,0.575,26.22,-23.659,-23.78
