acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.441,0.853,0.201,-62.5,-312.927,41.646
-0.489,0.833,0.107,-59.329,-293.354,39.146
-0.475,0.803,0.084,-51.28,-260.61,32.744
-0.27,0.774,0.088,-41.585,-223.659,25.305
-0.006,0.747,0.157,-34.268,-188.72,17.378
0.226,0.674,0.313,-26.037,-163.781,11.707
0.417,0.576,0.52,-21.829,-159.024,7.256
0.564,0.472,0.743,-26.463,-183.232,3.841
0.745,0.398,0.907,-35.0,-220.732,-0.427
0.887,0.352,0.819,-41.159,-245.61,-10.976
0.76,0.383,0.626,-43.232,-240.061,-18.171
0.535,0.522,0.415,-39.085,-202.378,-18.293
0.386,0.649,0.259,-28.537,-144.817,-19.146
0.37,0.702,0.3,-15.0,-89.085,-21.89
0.522,0.658,0.472,-2.012,-57.012,-23.537
0.715,0.616,0.69,4.39,-49.756,-23.598
0.763,0.585,0.853,6.463,-51.768,-21.951
0.595,0.573,0.941,6.402,-58.171,-18.049
0.408,0.566,0.896,3.598,-63.72,-15.61
0.274,0.58,0.818,1.402,-62.012,-18.598
0.145,0.621,0.73,1.341,-54.085,-23.598
0.086,0.659,0.597,2.134,-45.732,-25.366
0.127,0.723,0.489,4.573,-37.073,-24.451
0.223,0.782,0.46,7.988,-24.939,-24.39
0.322,0.782,0.467,9.451,-6.402,-24.39
0.344,0.779,0.517,10.366,16.829,-20.366
0.297,0.792,0.6,9.207,34.695,-16.28
0.279,0.794,0.627,5.976,41.159,-12.744
0.313,0.809,0.578,3.354,40.61,-8.232
0.261,0.803,0.509,6.159,49.573,-5.061
0.186,0.804,0.418,12.805,76.89,-0.732
0.128,0.824,0.39,21.89,118.049,1.768
0.118,0.813,0.466,30.549,152.012,-0.366
0.221,0.781,0.606,29.024,176.463,-0.122
0.411,0.716,0.779,24.878,197.866,2.012
0.554,0.654,0.895,21.341,213.72,2.744
0.61,0.624,0.857,14.573,229.207,6.037
0.559,0.635,0.738,12.195,240.61,9.207
0.431,0.649,0.649,9.817,246.524,9.695
0.413,0.643,0.582,8.598,248.903,10.305
0.425,0.668,0.548,9.634,240.244,10.244
0.401,0.674,0.55,10.793,217.744,10.0
0.316,0.67,0.508,12.622,182.012,11.037
0.139,0.69,0.521,8.415,136.89,12.134
-0.026,0.684,0.603,2.073,90.122,11.524
-0.125,0.701,0.682,-0.244,49.329,7.134
-0.229,0.75,0.748,-5.122,9.329,0.976
-0.327,0.813,0.797,-20.061,-31.524,-4.512
-0.403,0.875,0.768,-30.366,-72.805,-8.171
-0.42,0.884,0.631,-35.488,-114.878,-11.28
-0.404,0.896,0.515,-34.695,-150.305,-8.476
-0.386,0.939,0.402,-26.951,-178.354,-0.183
-0.346,0.964,0.316,-19.085,-193.232,6.768
-0.24,0.909,0.348,-11.646,-194.695,10.122
-0.178,0.799,0.463,-7.805,-187.012,11.463
-0.158,0.697,0.532,-4.878,-175.244,13.537
-0.088,0.648,0.579,-1.646,-159.817,14.939
0.038,0.64,0.596,-1.646,-148.476,14.268
0.204,0.656,0.636,-4.268,-141.585,11.89
0.32,0.679,0.609,-7.805,-137.195,9.39
0.32,0.673,0.621,-12.683,-130.366,6.037
0.376,0.647,0.625,-16.524,-121.281,2.988
0.488,0.64,0.575,-22.012,-125.244,-3.415
0.548,0.639,0.511,-32.561,-140.793,-15.549
0.597,0.636,0.473,-40.61,-138.902,-24.024
0.625,0.613,0.48,-34.39,-109.207,-28.476
0.601,0.678,0.412,-21.585,-70.854,-31.89
0.617,0.765,0.291,-8.841,-39.207,-33.049
0.645,0.716,0.349,4.329,-26.89,-28.659
0.7,0.581,0.604,14.024,-33.415,-19.207
0.731,0.551,0.809,16.037,-44.695,-8.415
0.498,0.607,0.852,14.207,-60.61,-6.768
0.14,0.633,0.815,11.341,-71.341,-11.341
-0.041,0.675,0.761,8.902,-63.049,-16.768
-0.155,0.789,0.707,8.78,-40.549,-20.793
-0.137,0.856,0.604,8.78,-15.976,-20.061
0.038,0.856,0.538,3.293,4.634,-16.585
0.296,0.835,0.487,-2.744,22.927,-11.707
0.491,0.778,0.415,-3.476,38.415,-7.683
0.499,0.707,0.326,-0.244,58.476,-4.146
0.373,0.708,0.301,5.122,87.805,-4.085
0.212,0.724,0.366,10.793,121.159,-11.22
0.114,0.719,0.456,16.402,166.89,-8.72
0.118,0.708,0.601,19.085,206.829,0.793
0.204,0.732,0.73,19.207,227.073,4.817
0.422,0.761,0.679,17.134,230.122,4.695
0.52,0.692,0.711,13.963,228.11,4.878
0.441,0.613,0.775,14.451,232.134,7.012
0.333,0.634,0.784,19.329,239.878,9.329
0.244,0.677,0.757,24.634,237.256,9.817
0.197,0.704,0.733,25.366,219.756,8.841
0.22,0.706,0.75,22.927,188.781,6.402
0.232,0.688,0.753,15.427,153.537,4.573
0.191,0.693,0.729,8.476,119.634,4.634
0.097,0.724,0.681,5.854,84.939,7.683
0.013,0.756,0.603,2.134,58.232,9.817
-0.024,0.76,0.557,0.976,46.707,10.0
-0.062,0.773,0.539,5.488,44.207,11.22
-0.063,0.756,0.55,9.695,43.841,8.415
-0.079,0.733,0.584,13.598,44.451,6.037
-0.064,0.725,0.651,18.11,39.146,7.378
-0.011,0.694,0.69,20.915,30.732,11.341
