acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.522,0.732,0.235,-18.11,-1.22,0.976
-0.439,0.753,0.262,-21.89,19.207,6.707
-0.504,0.774,0.243,-20.976,23.049,8.659
-0.584,0.75,0.266,-15.488,13.78,9.878
-0.564,0.661,0.421,-10.0,5.61,10.061
-0.472,0.595,0.622,-7.317,0.0,9.817
-0.387,0.552,0.752,-4.451,-9.146,8.049
-0.425,0.526,0.736,-1.159,-23.354,2.134
-0.465,0.537,0.664,-4.634,-30.183,-0.244
-0.465,0.601,0.6,-11.28,-20.366,0.061
-0.493,0.681,0.47,-12.134,-8.841,-1.22
-0.496,0.707,0.356,-7.439,-9.939,-2.012
-0.485,0.665,0.386,-4.268,-19.268,-3.232
-0.484,0.629,0.532,-4.451,-20.122,-4.756
-0.436,0.636,0.626,-3.841,-7.5,-5.183
-0.354,0.624,0.653,-2.744,3.049,-3.902
-0.375,0.626,0.639,-3.537,4.146,-5.549
-0.45,0.677,0.579,-4.329,0.671,-7.988
-0.472,0.707,0.546,-1.098,-9.756,-6.768
-0.518,0.68,0.551,3.293,-25.427,-5.244
-0.577,0.7,0.548,5.793,-44.634,-3.537
-0.575,0.73,0.557,4.207,-67.866,0.61
-0.617,0.737,0.58,0.854,-87.378,2.439
-0.586,0.75,0.549,-0.854,-92.073,3.11
-0.495,0.74,0.509,-2.561,-74.39,4.451
-0.365,0.729,0.51,-4.329,-48.537,5.427
-0.224,0.713,0.513,-3.963,-30.366,7.927
-0.23,0.692,0.44,0.183,-23.293,10.488
-0.302,0.67,0.413,6.951,-20.366,9.085
-0.397,0.638,0.471,12.134,-15.793,3.293
-0.46,0.626,0.583,13.78,-11.585,-0.793
-0.465,0.645,0.649,14.573,-15.671,-1.951
-0.472,0.625,0.669,15.0,-22.561,0.244
-0.5,0.581,0.694,13.415,-22.744,2.073
-0.493,0.597,0.661,10.732,-13.598,0.366
-0.413,0.658,0.626,7.561,-2.622,-3.415
-0.347,0.722,0.604,5.549,-0.122,-5.183
-0.396,0.713,0.578,3.354,-1.829,-5.671
-0.424,0.7,0.552,-0.244,0.793,-6.524
-0.378,0.719,0.54,-4.39,5.854,-5.244
-0.35,0.719,0.542,-6.463,6.585,-4.451
-0.389,0.707,0.543,-7.744,5.366,-6.341
-0.4,0.728,0.568,-9.39,8.902,-8.841
-0.37,0.745,0.603,-11.341,15.183,-10.549
-0.345,0.747,0.617,-14.817,18.537,-10.183
-0.381,0.736,0.636,-19.634,21.768,-8.902
-0.42,0.72,0.621,-24.817,28.476,-9.146
-0.441,0.731,0.591,-27.256,35.61,-9.024
-0.434,0.725,0.581,-19.024,26.707,-7.988
-0.487,0.659,0.541,-5.976,-1.951,-7.256
-0.539,0.569,0.601,3.293,-25.061,-3.293
-0.506,0.519,0.753,7.317,-18.72,-6.402
-0.414,0.552,0.78,3.78,10.61,-13.049
-0.252,0.616,0.752,-2.927,35.488,-10.61
-0.276,0.627,0.619,-7.256,36.341,-5.732
-0.44,0.65,0.375,-7.195,13.902,-8.415
-0.494,0.771,0.124,-10.122,-0.488,-9.512
-0.367,0.855,0.342,-3.293,-16.768,3.476
-0.562,0.625,0.58,4.573,-27.256,5.671
-0.571,0.584,0.689,5.915,-27.256,8.415
-0.462,0.644,0.699,7.073,-22.5,12.256
-0.404,0.658,0.646,3.78,-17.256,13.171
-0.395,0.72,0.583,-0.549,-15.061,11.28
-0.407,0.755,0.506,-2.683,-16.098,11.159
-0.409,0.732,0.439,-1.037,-21.28,11.037
-0.414,0.7,0.414,3.72,-28.171,8.354
-0.474,0.649,0.45,10.732,-30.793,3.598
-0.476,0.599,0.527,15.305,-33.476,-0.427
-0.461,0.594,0.614,17.378,-40.122,-2.256
-0.456,0.591,0.68,17.134,-49.146,-2.073
-0.454,0.598,0.716,16.646,-47.439,-2.012
-0.42,0.602,0.7,17.073,-33.049,-3.415
-0.336,0.632,0.719,18.049,-15.183,-4.39
-0.314,0.671,0.738,13.537,-5.976,-4.756
-0.344,0.733,0.663,8.232,4.878,-6.28
-0.36,0.733,0.562,2.378,15.61,-5.061
-0.338,0.729,0.517,-2.317,12.744,1.037
-0.402,0.694,0.461,-6.341,5.61,1.037
-0.473,0.708,0.444,-10.427,7.5,-1.646
-0.433,0.713,0.508,-12.988,6.22,-1.585
-0.439,0.678,0.561,-13.049,0.488,-1.524
-0.434,0.663,0.587,-13.232,-7.622,-1.098
-0.409,0.665,0.613,-14.817,-10.793,-2.073
-0.378,0.692,0.667,-18.476,-2.012,-3.537
-0.307,0.73,0.678,-22.195,6.28,-4.329
-0.332,0.743,0.61,-24.207,5.915,-6.89
-0.39,0.73,0.584,-20.732,-2.439,-10.244
-0.432,0.683,0.611,-13.232,-13.902,-11.524
-0.431,0.619,0.666,-6.829,-29.085,-7.683
-0.415,0.566,0.717,-2.683,-40.305,-8.293
-0.465,0.555,0.719,0.549,-32.805,-11.463
-0.403,0.579,0.714,-1.768,-17.134,-8.659
-0.359,0.586,0.653,-11.341,-3.171,-8.293
-0.41,0.64,0.485,-16.89,-6.037,-4.695
-0.424,0.672,0.28,-13.415,-17.378,-14.573
-0.332,0.743,0.249,-12.012,-30.915,-6.159
-0.298,0.644,0.691,-5.061,-44.329,-9.268
-0.513,0.52,0.816,-5.061,-24.39,-12.683
-0.247,0.601,0.851,-0.732,2.012,-10.61
-0.125,0.546,0.842,1.341,12.5,-12.683
-0.234,0.553,0.824,-1.098,13.902,-15.366
