acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.065,-0.885,0.526,20.366,144.268,-6.646
0.101,-0.894,0.544,22.317,177.195,-0.854
0.124,-0.877,0.548,22.317,203.963,6.768
0.074,-0.845,0.501,22.683,220.732,12.378
-0.055,-0.829,0.44,22.073,222.622,14.939
-0.193,-0.826,0.375,20.427,208.659,16.89
-0.355,-0.828,0.323,17.256,182.134,18.049
-0.479,-0.82,0.31,13.659,146.768,16.585
-0.534,-0.814,0.322,9.817,115.671,14.268
-0.563,-0.826,0.339,7.561,93.415,10.183
-0.596,-0.832,0.344,5.793,75.549,6.707
-0.613,-0.841,0.334,5.549,60.0,4.024
-0.621,-0.852,0.319,5.427,45.122,1.585
-0.618,-0.867,0.32,5.61,31.707,-0.244
-0.599,-0.872,0.325,6.28,19.756,-1.89
-0.572,-0.861,0.332,6.098,8.78,-2.744
-0.538,-0.856,0.34,5.854,-2.927,-3.11
-0.53,-0.853,0.346,6.159,-17.134,-4.207
-0.555,-0.836,0.327,4.756,-36.037,-5.854
-0.588,-0.817,0.305,1.341,-59.634,-6.829
-0.606,-0.811,0.303,-2.134,-88.354,-7.561
-0.604,-0.803,0.312,-7.012,-118.902,-9.878
-0.578,-0.801,0.35,-10.244,-148.049,-13.171
-0.543,-0.809,0.354,-13.537,-172.866,-15.915
-0.494,-0.814,0.372,-15.793,-192.622,-17.744
-0.433,-0.839,0.357,-16.28,-208.537,-18.476
-0.384,-0.876,0.357,-16.159,-223.963,-19.512
-0.356,-0.864,0.339,-19.756,-236.707,-20.61
-0.309,-0.858,0.364,-23.902,-254.085,-21.585
-0.293,-0.844,0.34,-27.744,-275.793,-24.268
-0.294,-0.838,0.322,-31.28,-297.622,-27.256
-0.247,-0.847,0.311,-33.232,-314.451,-29.512
-0.135,-0.865,0.329,-32.317,-320.122,-30.0
0.051,-0.871,0.346,-26.341,-310.427,-30.488
0.224,-0.883,0.375,-19.146,-280.305,-30.976
0.362,-0.857,0.479,-14.024,-233.11,-28.354
0.471,-0.798,0.569,-10.915,-177.561,-20.305
0.452,-0.759,0.618,-6.951,-120.488,-10.854
0.396,-0.813,0.636,1.28,-65.671,-4.695
0.416,-0.841,0.666,0.61,-17.012,-0.671
0.347,-0.829,0.652,-0.061,23.049,2.134
0.262,-0.848,0.622,1.646,53.659,4.451
0.313,-0.868,0.637,2.561,88.293,8.72
0.47,-0.86,0.682,1.646,133.232,15.244
0.479,-0.842,0.655,-0.244,185.976,22.683
0.406,-0.835,0.647,0.976,241.524,29.817
0.363,-0.845,0.681,5.488,291.585,34.146
0.236,-0.826,0.636,10.976,329.085,33.171
0.057,-0.821,0.524,16.037,348.963,29.207
-0.063,-0.844,0.432,18.232,347.683,26.524
