acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.313,-0.612,0.458,2.378,-44.024,-10.793
-0.343,-0.632,0.426,-2.256,-62.195,-7.073
-0.406,-0.667,0.38,-5.915,-78.659,-3.537
-0.468,-0.712,0.354,-7.805,-91.646,-1.951
-0.52,-0.755,0.341,-7.561,-98.78,-2.256
-0.551,-0.766,0.357,-8.232,-102.378,-4.146
-0.603,-0.763,0.386,-8.841,-102.866,-7.561
-0.633,-0.769,0.414,-9.634,-102.805,-11.646
-0.626,-0.786,0.432,-9.939,-103.537,-14.329
-0.622,-0.794,0.447,-9.268,-109.878,-17.012
-0.612,-0.792,0.417,-11.22,-123.902,-19.817
-0.587,-0.78,0.385,-13.476,-144.146,-20.915
-0.572,-0.792,0.349,-17.073,-170.732,-22.439
-0.56,-0.781,0.348,-22.622,-204.939,-21.768
-0.526,-0.774,0.299,-30.061,-238.293,-20.305
-0.422,-0.802,0.343,-34.573,-265.854,-19.573
-0.247,-0.851,0.416,-36.037,-282.256,-19.878
-0.105,-0.857,0.457,-36.402,-284.39,-21.768
-0.056,-0.841,0.48,-36.28,-274.207,-22.866
0.003,-0.838,0.515,-33.78,-255.61,-20.854
0.113,-0.848,0.557,-29.756,-228.293,-18.476
0.196,-0.862,0.608,-27.988,-193.659,-16.585
0.201,-0.867,0.588,-27.988,-158.415,-13.78
0.136,-0.852,0.561,-28.11,-130.549,-10.549
0.068,-0.849,0.536,-26.585,-112.683,-9.39
0.026,-0.862,0.511,-24.329,-104.146,-8.537
-0.011,-0.867,0.483,-21.646,-96.463,-7.012
0.028,-0.854,0.519,-18.476,-85.0,-6.28
0.113,-0.837,0.568,-15.61,-64.573,-5.915
0.201,-0.834,0.625,-10.915,-34.39,-4.817
0.3,-0.853,0.693,-7.439,4.207,-1.463
0.414,-0.851,0.721,-7.134,51.037,4.634
0.478,-0.862,0.712,-6.402,104.329,11.707
0.448,-0.887,0.68,-5.122,155.61,18.232
0.436,-0.869,0.636,-4.573,198.476,24.268
0.387,-0.842,0.631,-4.146,233.842,27.439
0.267,-0.82,0.618,-3.659,259.146,28.598
0.122,-0.814,0.539,-0.366,277.073,28.049
0.011,-0.831,0.466,3.537,294.146,25.732
-0.039,-0.852,0.404,6.159,313.476,25.976
-0.072,-0.873,0.316,8.598,333.232,28.659
-0.106,-0.872,0.241,10.549,345.732,31.341
-0.165,-0.873,0.156,13.598,347.134,33.415
-0.234,-0.877,0.097,15.854,332.988,35.061
-0.333,-0.89,0.049,17.317,306.342,38.415
-0.479,-0.903,0.014,18.354,271.768,39.329
-0.664,-0.906,0.008,17.744,232.683,34.268
-0.848,-0.897,0.057,15.854,190.427,26.341
-0.977,-0.903,0.102,14.939,145.61,19.817
-1.021,-0.904,0.12,13.902,97.5,13.902
-1.006,-0.896,0.148,13.232,45.61,8.171
-0.984,-0.88,0.173,10.915,-9.634,2.683
-0.951,-0.854,0.202,6.341,-64.878,-0.244
-0.888,-0.857,0.232,3.11,-113.537,-2.683
-0.833,-0.856,0.239,-1.707,-150.244,-5.366
-0.743,-0.853,0.285,-6.89,-177.622,-7.866
-0.607,-0.866,0.354,-10.0,-194.817,-9.329
-0.497,-0.855,0.41,-10.854,-201.585,-10.183
-0.453,-0.832,0.415,-9.817,-201.159,-12.256
-0.449,-0.836,0.42,-6.402,-201.585,-14.939
-0.485,-0.827,0.454,-8.963,-209.878,-18.476
-0.573,-0.772,0.366,-18.902,-231.463,-25.366
-0.681,-0.75,0.355,-25.976,-267.683,-28.963
-0.612,-0.777,0.33,-28.902,-298.537,-27.927
-0.41,-0.813,0.353,-30.793,-317.866,-27.866
-0.235,-0.849,0.343,-32.134,-327.622,-30.366
-0.188,-0.884,0.284,-30.671,-324.39,-33.293
-0.106,-0.897,0.3,-29.939,-317.317,-34.268
-0.006,-0.89,0.293,-28.537,-302.683,-33.537
0.079,-0.89,0.301,-24.451,-285.244,-30.671
0.22,-0.893,0.329,-16.463,-267.195,-26.89
0.353,-0.855,0.29,-8.476,-239.939,-22.561
0.419,-0.817,0.376,-1.341,-201.707,-15.0
0.433,-0.826,0.425,6.22,-151.707,-6.22
0.414,-0.849,0.484,10.244,-98.171,-0.915
0.441,-0.85,0.552,11.341,-46.463,2.805
0.384,-0.84,0.581,10.244,0.488,4.512
0.28,-0.854,0.575,8.659,34.451,5.488
0.266,-0.869,0.578,7.622,60.427,7.988
0.317,-0.864,0.653,5.0,89.329,11.402
0.363,-0.844,0.779,2.195,119.024,16.037
0.282,-0.848,0.804,-0.061,142.988,20.427
0.133,-0.852,0.802,-6.037,160.488,22.134
0.167,-0.828,0.828,-13.293,180.0,22.683
0.219,-0.839,0.836,-16.585,207.012,22.622
0.2,-0.875,0.797,-13.841,238.354,22.195
0.169,-0.899,0.698,-9.268,275.427,20.122
0.168,-0.906,0.553,-3.78,317.866,17.439
0.181,-0.92,0.384,3.171,360.671,18.049
0.171,-0.923,0.264,8.11,392.012,21.463
0.036,-0.909,0.134,13.293,404.024,25.244
-0.139,-0.925,-0.032,21.28,395.732,28.171
-0.285,-0.938,-0.104,27.805,371.402,31.098
-0.41,-0.924,-0.115,32.683,340.854,33.841
-0.509,-0.889,-0.098,35.488,304.695,34.939
-0.633,-0.852,-0.085,35.305,261.89,37.195
-0.76,-0.835,-0.043,34.268,212.317,36.037
-0.891,-0.838,0.033,32.134,157.988,29.695
-0.996,-0.842,0.094,27.622,100.793,21.89
-1.018,-0.853,0.163,22.622,46.037,15.244
-0.983,-0.851,0.229,18.72,-7.256,8.293
-0.983,-0.842,0.279,14.634,-67.744,-0.793
-1.041,-0.815,0.248,5.0,-129.085,-8.049
-1.061,-0.775,0.243,-9.939,-197.073,-13.415
-1.025,-0.772,0.236,-22.805,-270.915,-18.598
-0.972,-0.793,0.219,-31.829,-341.098,-22.561
-0.873,-0.805,0.207,-41.768,-403.537,-25.915
-0.739,-0.805,0.247,-46.89,-454.695,-31.646
-0.607,-0.858,0.158,-40.915,-485.122,-39.573
-0.436,-0.911,0.16,-32.866,-488.415,-44.268
-0.093,-0.916,0.282,-27.744,-450.915,-39.817
0.278,-0.864,0.466,-27.073,-372.561,-35.244
0.43,-0.824,0.561,-25.488,-278.049,-36.037
0.355,-0.833,0.511,-21.646,-196.646,-35.488
0.309,-0.876,0.395,-15.915,-143.293,-27.134
0.372,-0.87,0.333,-10.976,-112.134,-20.854
0.317,-0.821,0.306,-6.28,-90.488,-18.537
0.21,-0.815,0.311,0.915,-80.427,-13.049
0.198,-0.833,0.371,6.646,-72.5,-6.28
0.229,-0.833,0.454,8.841,-55.61,-4.085
0.192,-0.837,0.535,8.78,-28.537,-2.439
0.212,-0.848,0.604,8.293,0.427,0.244
0.299,-0.861,0.659,7.744,30.549,2.805
0.413,-0.874,0.691,8.11,66.768,7.744
0.519,-0.882,0.724,5.488,107.866,15.488
0.535,-0.855,0.725,1.402,140.366,23.293
0.35,-0.846,0.658,-1.037,162.866,26.951
