acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.077,-0.819,0.512,-1.707,46.463,-3.293
-0.146,-0.85,0.507,0.549,64.268,-1.829
-0.206,-0.828,0.496,2.805,79.634,-0.671
-0.236,-0.819,0.517,3.78,95.915,1.524
-0.238,-0.829,0.539,5.427,112.5,2.683
-0.278,-0.819,0.542,6.402,125.61,2.073
-0.302,-0.799,0.534,5.305,129.268,1.89
-0.337,-0.798,0.515,4.878,127.805,3.171
-0.389,-0.802,0.466,3.72,120.488,3.232
-0.445,-0.814,0.416,2.378,107.073,3.049
-0.501,-0.831,0.378,1.037,88.902,2.012
-0.532,-0.849,0.368,0.488,68.232,0.305
-0.55,-0.87,0.335,0.915,47.683,-1.28
-0.579,-0.886,0.304,1.89,27.317,-3.537
-0.588,-0.906,0.287,4.146,3.537,-4.573
-0.608,-0.914,0.261,5.915,-22.378,-6.098
-0.624,-0.89,0.245,7.012,-49.024,-7.805
-0.631,-0.889,0.22,8.171,-72.744,-10.244
-0.606,-0.878,0.229,8.841,-93.598,-11.768
-0.527,-0.858,0.289,8.78,-112.012,-10.915
-0.476,-0.825,0.34,7.561,-126.646,-10.305
-0.446,-0.807,0.395,6.585,-144.146,-9.512
-0.437,-0.779,0.401,1.646,-162.744,-7.988
-0.432,-0.736,0.428,-7.5,-187.805,-7.561
-0.479,-0.714,0.444,-16.098,-224.329,-12.683
-0.541,-0.729,0.403,-21.341,-269.817,-17.744
-0.489,-0.776,0.337,-23.963,-317.439,-21.707
-0.351,-0.814,0.32,-25.793,-352.683,-24.207
-0.178,-0.843,0.368,-29.024,-370.854,-26.585
-0.051,-0.848,0.376,-25.427,-369.451,-29.634
0.123,-0.845,0.442,-18.659,-346.524,-32.195
0.359,-0.814,0.53,-15.976,-299.939,-29.817
0.54,-0.787,0.589,-4.451,-234.451,-22.622
0.612,-0.867,0.669,5.061,-154.756,-15.183
0.581,-0.837,0.708,5.366,-79.207,-7.012
0.441,-0.792,0.698,6.037,-23.659,-1.829
0.291,-0.786,0.653,6.098,9.695,-1.098
0.213,-0.787,0.634,4.817,28.476,1.098
0.241,-0.778,0.657,3.537,43.72,6.037
0.287,-0.777,0.716,2.866,66.951,10.915
0.301,-0.787,0.781,0.671,97.073,15.244
0.239,-0.791,0.789,-3.049,121.89,18.598
0.086,-0.793,0.747,-6.646,138.171,19.939
0.037,-0.816,0.73,-8.049,153.963,21.037
0.1,-0.839,0.738,-7.256,181.22,22.683
0.167,-0.86,0.74,-3.598,221.89,24.939
0.233,-0.878,0.722,0.915,273.354,26.22
0.273,-0.865,0.673,4.451,331.098,25.61
0.259,-0.842,0.577,8.354,389.085,25.732
0.207,-0.834,0.443,13.841,439.573,27.012
0.134,-0.839,0.314,17.317,471.402,30.854
0.03,-0.841,0.182,18.232,474.085,36.768
-0.189,-0.836,0.083,18.415,448.781,39.817
-0.458,-0.824,0.018,16.829,406.159,37.256
-0.657,-0.801,0.037,13.78,364.512,31.28
-0.725,-0.793,0.128,10.244,332.317,25.915
-0.67,-0.811,0.185,8.232,307.378,25.549
-0.606,-0.84,0.157,9.39,287.317,24.207
-0.612,-0.834,0.113,8.78,260.793,20.61
-0.701,-0.835,0.078,6.402,225.549,19.024
-0.818,-0.856,0.087,3.841,181.342,18.049
-0.903,-0.873,0.088,1.28,134.756,16.585
-0.941,-0.871,0.05,-1.341,88.476,13.11
-0.938,-0.868,0.014,-2.683,44.573,9.573
-0.937,-0.856,-0.014,-4.146,-0.427,6.098
-0.986,-0.833,-0.008,-5.61,-48.72,2.683
-1.005,-0.824,0.019,-5.671,-95.305,-0.305
-0.953,-0.816,0.041,-5.976,-134.085,-3.78
-0.871,-0.817,0.076,-5.244,-161.707,-7.134
-0.758,-0.828,0.09,-3.78,-180.732,-9.329
-0.667,-0.836,0.085,-2.073,-197.073,-11.463
